Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2017-10-18,MIA,ORL,5:42,0,1,0.000,0,0,0.000,0,0,0.000,0,-1.5,3
2,2,2017-10-25,MIA,SAS,19:35,2,6,33.333,0,0,0.000,0,0,0.000,4,2.9,-12
3,3,2017-10-28,MIA,BOS,24:19,2,4,50.000,0,0,0.000,2,2,100.000,6,4.8,-9
4,4,2017-10-30,MIA,MIN,31:11,5,9,55.556,0,0,0.000,3,6,50.000,13,13.2,-16
5,5,2017-11-01,MIA,CHI,13:04,1,2,50.000,0,0,0.000,2,2,100.000,4,6.2,8
6,6,2017-11-03,MIA,DEN,3:31,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,6
7,7,2017-11-05,MIA,LAC,1:00,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,-5
8,8,2017-11-06,MIA,GSW,13:15,1,1,100.000,0,0,0.000,1,1,100.000,3,6.7,-3
9,9,2017-11-17,MIA,WAS,4:08,0,0,0.000,0,0,0.000,1,2,50.000,1,-0.1,-7
10,10,2017-11-19,MIA,IND,7:42,2,3,66.667,0,0,0.000,0,0,0.000,4,2.3,-14
11,11,2017-11-28,MIA,CLE,18:27,7,7,100.000,0,0,0.000,5,5,100.000,19,21.2,13
12,12,2017-11-29,MIA,NYK,30:33,4,5,80.000,0,0,0.000,1,2,50.000,9,8.4,-20
13,13,2017-12-01,MIA,CHA,18:09,0,3,0.000,0,0,0.000,1,2,50.000,1,2.4,-13
14,14,2017-12-03,MIA,GSW,19:56,3,5,60.000,0,0,0.000,3,4,75.000,9,7.5,-16
15,15,2017-12-06,MIA,SAS,17:45,3,4,75.000,0,0,0.000,0,0,0.000,6,5.7,-12
16,16,2017-12-09,MIA,BKN,19:56,1,3,33.333,0,0,0.000,0,0,0.000,2,3.5,20
17,17,2017-12-11,MIA,MEM,22:55,5,6,83.333,0,0,0.000,4,5,80.000,14,15.4,10
18,18,2017-12-13,MIA,POR,30:16,3,3,100.000,0,0,0.000,6,8,75.000,12,10.8,-10
19,19,2017-12-15,MIA,CHA,21:47,5,6,83.333,0,0,0.000,1,1,100.000,11,7.8,0
20,20,2017-12-16,MIA,LAC,28:14,2,7,28.571,0,0,0.000,3,4,75.000,7,6.5,-5
21,21,2017-12-18,MIA,ATL,30:28,3,6,50.000,0,0,0.000,5,7,71.429,11,10.3,-1
22,22,2017-12-20,MIA,BOS,20:28,3,6,50.000,0,0,0.000,0,1,0.000,6,2.7,5
23,23,2017-12-22,MIA,DAL,37:29,6,9,66.667,0,0,0.000,2,2,100.000,14,15.2,28
24,24,2017-12-23,MIA,NOP,30:20,4,7,57.143,0,1,0.000,1,2,50.000,9,10.3,-17
25,25,2017-12-26,MIA,ORL,25:28,3,4,75.000,0,0,0.000,2,2,100.000,8,13.0,24
26,26,2017-12-29,MIA,BKN,27:46,2,5,40.000,0,0,0.000,3,5,60.000,7,4.7,-21
27,27,2017-12-30,MIA,ORL,15:52,3,5,60.000,0,0,0.000,0,0,0.000,6,2.4,-7
28,28,2018-01-03,MIA,DET,10:14,0,4,0.000,0,0,0.000,0,0,0.000,0,-1.8,-5
29,29,2018-01-05,MIA,NYK,14:53,0,0,0.000,0,0,0.000,2,2,100.000,2,4.9,-5
30,30,2018-01-07,MIA,UTA,7:18,1,1,100.000,0,0,0.000,2,3,66.667,4,2.9,-2
31,31,2018-01-09,MIA,TOR,32:33,8,14,57.143,0,1,0.000,0,0,0.000,16,20.3,9
32,32,2018-01-10,MIA,IND,31:11,4,9,44.444,0,1,0.000,7,9,77.778,15,12.8,-9
33,33,2018-01-14,MIA,MIL,27:51,2,6,33.333,0,0,0.000,2,2,100.000,6,5.4,10
34,34,2018-01-15,MIA,CHI,18:44,2,5,40.000,0,1,0.000,2,2,100.000,6,5.2,10
35,35,2018-01-17,MIA,MIL,18:49,2,6,33.333,0,0,0.000,0,0,0.000,4,4.5,-2
36,36,2018-01-19,MIA,BKN,14:18,3,5,60.000,0,0,0.000,3,4,75.000,9,6.8,0
37,37,2018-01-20,MIA,CHA,23:33,3,4,75.000,0,0,0.000,0,0,0.000,6,11.5,8
38,38,2018-01-22,MIA,HOU,17:18,3,4,75.000,0,0,0.000,1,2,50.000,7,7.9,-1
39,39,2018-01-25,MIA,SAC,20:33,2,4,50.000,0,0,0.000,2,2,100.000,6,6.2,10
40,40,2018-01-27,MIA,CHA,25:38,4,6,66.667,0,0,0.000,0,0,0.000,8,10.1,13
41,41,2018-01-29,MIA,DAL,19:08,1,3,33.333,0,0,0.000,0,0,0.000,2,4.7,0
42,42,2018-01-31,MIA,CLE,18:34,3,5,60.000,0,0,0.000,3,5,60.000,9,5.5,-2
43,43,2018-02-02,MIA,PHI,29:11,5,9,55.556,0,0,0.000,5,10,50.000,15,17.2,9
44,44,2018-02-03,MIA,DET,23:37,2,5,40.000,0,0,0.000,0,2,0.000,4,2.3,-11
45,45,2018-02-05,MIA,ORL,26:16,6,13,46.154,0,2,0.000,6,8,75.000,18,16.6,-7
46,46,2018-02-07,MIA,HOU,15:02,2,2,100.000,0,0,0.000,1,1,100.000,5,7.7,-11
47,47,2018-02-09,MIA,MIL,32:22,3,7,42.857,0,0,0.000,9,10,90.000,15,14.2,-4
48,48,2018-02-13,MIA,TOR,25:10,3,6,50.000,0,0,0.000,5,5,100.000,11,9.5,7
49,49,2018-02-14,MIA,PHI,19:22,0,3,0.000,0,0,0.000,3,4,75.000,3,1.8,-12
50,50,2018-02-23,MIA,NOP,18:57,2,2,100.000,0,0,0.000,2,4,50.000,6,5.8,2
51,51,2018-02-24,MIA,MEM,18:19,5,7,71.429,0,0,0.000,3,4,75.000,13,13.9,24
52,52,2018-02-27,MIA,PHI,6:52,0,2,0.000,0,0,0.000,1,2,50.000,1,1.2,-17
53,53,2018-03-01,MIA,LAL,29:31,6,7,85.714,0,0,0.000,3,4,75.000,15,17.4,5
54,54,2018-03-05,MIA,PHX,4:38,0,0,0.000,0,0,0.000,2,2,100.000,2,2.3,-6
55,55,2018-03-06,MIA,WAS,3:47,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.1,-1
56,56,2018-03-08,MIA,PHI,13:35,1,5,20.000,0,1,0.000,0,0,0.000,2,-0.3,9
57,57,2018-03-10,MIA,WAS,17:42,3,5,60.000,0,0,0.000,0,2,0.000,6,3.2,19
58,58,2018-03-12,MIA,POR,24:40,1,10,10.000,0,0,0.000,2,2,100.000,4,0.9,-8
59,59,2018-03-14,MIA,SAC,27:20,2,9,22.222,0,0,0.000,2,2,100.000,6,7.8,-9
60,60,2018-03-16,MIA,LAL,34:44,5,10,50.000,0,0,0.000,1,3,33.333,11,9.8,0
61,61,2018-03-19,MIA,DEN,27:00,3,9,33.333,0,0,0.000,1,6,16.667,7,3.2,-17
62,62,2018-03-21,MIA,NYK,13:17,3,4,75.000,0,0,0.000,0,0,0.000,6,3.6,-8
63,63,2018-03-23,MIA,OKC,20:46,0,5,0.000,0,0,0.000,0,0,0.000,0,-1.3,-6
64,64,2018-03-25,MIA,IND,20:55,5,7,71.429,0,0,0.000,4,4,100.000,14,9.1,-2
65,65,2018-03-29,MIA,CHI,11:32,1,2,50.000,0,0,0.000,1,2,50.000,3,1.2,10
66,66,2018-04-04,MIA,ATL,19:46,1,6,16.667,0,0,0.000,2,2,100.000,4,5.7,26
67,67,2018-04-06,MIA,NYK,12:23,2,4,50.000,0,0,0.000,0,0,0.000,4,1.2,-2
68,68,2018-04-09,MIA,OKC,13:21,1,3,33.333,0,0,0.000,4,4,100.000,6,5.5,0
69,69,2018-04-11,MIA,TOR,18:17,4,4,100.000,0,0,0.000,2,2,100.000,10,11.8,16
1,1,2018-10-17,MIA,ORL,21:59,4,9,44.444,0,1,0.000,1,2,50.000,9,7.3,-6
2,2,2018-10-18,MIA,WAS,17:07,1,4,25.000,0,0,0.000,2,4,50.000,4,0.9,4
3,3,2018-10-20,MIA,CHA,15:28,3,6,50.000,0,0,0.000,6,6,100.000,12,10.8,-6
4,4,2018-10-24,MIA,NYK,21:06,1,3,33.333,0,1,0.000,2,4,50.000,4,4.0,-7
5,5,2018-10-27,MIA,POR,13:35,3,6,50.000,0,0,0.000,1,1,100.000,7,4.6,5
6,6,2018-10-29,MIA,SAC,18:59,2,4,50.000,0,0,0.000,4,6,66.667,8,7.0,-6
7,7,2018-10-30,MIA,CHA,15:29,4,5,80.000,0,0,0.000,0,0,0.000,8,8.9,0
8,8,2018-11-03,MIA,ATL,30:38,1,2,50.000,0,0,0.000,0,0,0.000,2,4.5,11
9,9,2018-11-05,MIA,DET,29:01,4,5,80.000,0,0,0.000,3,4,75.000,11,15.5,0
