Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2017-10-20,BKN,ORL,14:36,3,3,100.000,0,0,0.000,3,4,75.000,9,8.8,7
2,2,2017-10-22,BKN,ATL,14:45,1,5,20.000,0,1,0.000,2,4,50.000,4,4.5,1
3,3,2017-10-24,BKN,ORL,14:53,2,4,50.000,0,0,0.000,1,2,50.000,5,2.8,-14
4,4,2017-10-25,BKN,CLE,13:47,1,3,33.333,0,0,0.000,0,0,0.000,2,3.6,-7
5,5,2017-10-27,BKN,NYK,15:32,1,4,25.000,0,0,0.000,0,0,0.000,2,1.1,-3
6,6,2017-10-29,BKN,DEN,16:19,1,3,33.333,0,0,0.000,0,0,0.000,2,0.8,1
7,7,2017-11-14,BKN,BOS,8:52,1,2,50.000,0,0,0.000,0,0,0.000,2,1.6,3
8,8,2017-11-19,BKN,GSW,12:21,3,4,75.000,0,0,0.000,0,0,0.000,6,5.0,2
9,9,2017-11-22,BKN,CLE,18:35,3,3,100.000,0,0,0.000,0,0,0.000,6,7.8,10
10,10,2017-11-24,BKN,POR,24:11,3,10,30.000,0,0,0.000,3,4,75.000,9,8.6,-3
11,11,2017-11-26,BKN,MEM,11:15,0,1,0.000,0,0,0.000,2,2,100.000,2,2.6,-7
12,12,2017-11-27,BKN,HOU,18:49,0,0,0.000,0,0,0.000,0,0,0.000,0,1.4,-13
13,13,2017-11-29,BKN,DAL,16:23,3,4,75.000,0,0,0.000,0,0,0.000,6,7.6,-4
14,14,2017-12-02,BKN,ATL,17:08,4,6,66.667,0,0,0.000,4,5,80.000,12,13.0,-10
15,15,2017-12-04,BKN,ATL,20:40,5,6,83.333,1,1,100.000,0,0,0.000,11,10.8,13
16,16,2017-12-07,BKN,OKC,17:58,2,2,100.000,0,0,0.000,0,0,0.000,4,5.7,-9
17,17,2017-12-09,BKN,MIA,22:07,1,3,33.333,0,0,0.000,0,0,0.000,2,2.3,-17
18,18,2017-12-12,BKN,WAS,20:27,4,6,66.667,0,0,0.000,3,4,75.000,11,10.0,0
19,19,2017-12-14,BKN,NYK,10:23,1,4,25.000,0,0,0.000,0,0,0.000,2,-2.3,-15
20,20,2017-12-17,BKN,IND,17:15,3,5,60.000,0,0,0.000,3,3,100.000,9,7.2,-8
21,21,2017-12-20,BKN,SAC,19:51,0,3,0.000,0,0,0.000,0,0,0.000,0,-0.2,-2
22,22,2017-12-22,BKN,WAS,18:17,4,6,66.667,0,0,0.000,2,2,100.000,10,9.9,8
23,23,2017-12-23,BKN,IND,18:08,1,4,25.000,0,1,0.000,2,2,100.000,4,4.6,-10
24,24,2017-12-26,BKN,SAS,21:17,6,11,54.545,0,1,0.000,0,0,0.000,12,8.9,-7
25,25,2017-12-27,BKN,NOP,19:28,1,8,12.500,1,1,100.000,0,0,0.000,3,0.4,-5
26,26,2017-12-29,BKN,MIA,19:38,5,10,50.000,0,1,0.000,2,2,100.000,12,11.0,17
27,27,2017-12-31,BKN,BOS,15:55,1,4,25.000,0,0,0.000,2,2,100.000,4,4.5,-10
28,28,2018-01-01,BKN,ORL,20:00,7,8,87.500,0,0,0.000,2,4,50.000,16,15.6,-5
29,29,2018-01-03,BKN,MIN,16:37,3,5,60.000,0,0,0.000,0,0,0.000,6,5.2,-5
30,30,2018-01-06,BKN,BOS,10:33,0,0,0.000,0,0,0.000,0,0,0.000,0,-3.6,4
31,31,2018-01-08,BKN,TOR,18:28,5,5,100.000,0,0,0.000,4,6,66.667,14,10.8,12
32,32,2018-01-10,BKN,DET,14:39,2,5,40.000,0,0,0.000,0,0,0.000,4,3.6,-12
33,33,2018-01-12,BKN,ATL,15:08,2,4,50.000,0,0,0.000,2,2,100.000,6,5.3,-16
34,34,2018-01-13,BKN,WAS,28:51,6,10,60.000,0,0,0.000,4,5,80.000,16,13.5,8
35,35,2018-01-15,BKN,NYK,15:27,1,3,33.333,0,0,0.000,0,0,0.000,2,2.0,-14
36,36,2018-01-17,BKN,SAS,18:24,3,6,50.000,0,0,0.000,0,0,0.000,6,3.1,-9
37,37,2018-01-19,BKN,MIA,13:12,2,2,100.000,0,0,0.000,2,4,50.000,6,4.3,-6
38,38,2018-01-21,BKN,DET,11:50,1,1,100.000,0,0,0.000,0,0,0.000,2,-1.9,-6
39,39,2018-01-23,BKN,OKC,23:15,4,6,66.667,1,1,100.000,3,6,50.000,12,13.3,4
