Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-,Season
1,1,2013-10-30,MIL,NYK,4:43,0,0,0.000,0,0,0.000,1,2,50.000,1,-1.2,-3,2013-14
2,2,2013-11-01,MIL,BOS,12:27,2,5,40.000,0,1,0.000,1,2,50.000,5,1.3,11,2013-14
3,3,2013-11-02,MIL,TOR,16:57,1,2,50.000,0,0,0.000,0,2,0.000,2,1.4,6,2013-14
4,4,2013-11-12,MIL,MIA,21:35,4,8,50.000,3,5,60.000,0,0,0.000,11,5.6,-1,2013-14
5,5,2013-11-13,MIL,ORL,19:27,1,2,50.000,0,1,0.000,4,4,100.000,6,7.7,-5,2013-14
6,6,2013-11-15,MIL,IND,11:46,2,2,100.000,1,1,100.000,0,0,0.000,5,3.5,-18,2013-14
7,7,2013-11-16,MIL,OKC,15:10,1,3,33.333,0,1,0.000,0,0,0.000,2,1.9,-5,2013-14
8,8,2013-11-23,MIL,CHARLOTTE BOBCATS,12:00,3,7,42.857,0,0,0.000,0,0,0.000,6,3.8,-1,2013-14
9,9,2013-11-25,MIL,DET,12:00,2,6,33.333,0,0,0.000,2,2,100.000,6,3.4,7,2013-14
10,10,2013-11-29,MIL,CHARLOTTE BOBCATS,13:25,2,3,66.667,0,1,0.000,0,1,0.000,4,4.1,-1,2013-14
11,11,2013-11-30,MIL,BOS,27:45,4,6,66.667,2,3,66.667,0,2,0.000,10,10.6,16,2013-14
12,12,2013-12-03,MIL,BOS,15:26,2,4,50.000,0,0,0.000,0,0,0.000,4,2.3,-11,2013-14
13,13,2013-12-04,MIL,DET,27:39,3,5,60.000,0,2,0.000,0,1,0.000,6,9.8,8,2013-14
14,14,2013-12-06,MIL,WAS,19:35,3,6,50.000,0,2,0.000,0,1,0.000,6,4.2,-3,2013-14
15,15,2013-12-07,MIL,BKN,14:08,1,3,33.333,0,2,0.000,1,2,50.000,3,2.5,-1,2013-14
16,16,2013-12-10,MIL,CHI,9:59,0,1,0.000,0,0,0.000,1,2,50.000,1,-2.1,-8,2013-14
17,17,2013-12-11,MIL,SAS,33:12,5,8,62.500,0,1,0.000,5,8,62.500,15,15.0,-5,2013-14
18,18,2013-12-13,MIL,CHI,23:51,2,4,50.000,0,0,0.000,4,4,100.000,8,10.2,1,2013-14
19,19,2013-12-14,MIL,DAL,34:46,3,9,33.333,0,1,0.000,7,8,87.500,13,13.7,0,2013-14
20,20,2013-12-18,MIL,NYK,41:46,2,3,66.667,0,0,0.000,6,7,85.714,10,9.5,-1,2013-14
21,21,2013-12-20,MIL,CLE,22:59,2,4,50.000,1,2,50.000,1,2,50.000,6,1.7,1,2013-14
22,22,2013-12-21,MIL,PHI,34:44,3,7,42.857,0,0,0.000,6,6,100.000,12,12.7,11,2013-14
23,23,2013-12-23,MIL,CHARLOTTE BOBCATS,35:42,4,8,50.000,2,4,50.000,2,2,100.000,12,11.6,3,2013-14
24,24,2013-12-27,MIL,BKN,33:45,5,12,41.667,1,5,20.000,5,6,83.333,16,13.6,12,2013-14
25,25,2013-12-28,MIL,MIN,31:10,3,6,50.000,0,1,0.000,0,0,0.000,6,9.9,-26,2013-14
26,26,2013-12-31,MIL,LAL,37:30,3,7,42.857,0,0,0.000,2,2,100.000,8,7.7,25,2013-14
27,27,2014-01-02,MIL,UTA,33:39,3,6,50.000,1,2,50.000,3,4,75.000,10,9.7,1,2013-14
28,28,2014-01-04,MIL,PHX,13:34,0,2,0.000,0,0,0.000,0,0,0.000,0,-5.7,-18,2013-14
29,29,2014-01-07,MIL,GSW,24:28,1,3,33.333,0,0,0.000,0,0,0.000,2,5.1,-20,2013-14
30,30,2014-01-10,MIL,CHI,11:42,0,5,0.000,0,1,0.000,0,0,0.000,0,-6.7,-5,2013-14
31,31,2014-01-11,MIL,OKC,38:09,5,12,41.667,0,3,0.000,3,4,75.000,13,13.2,-10,2013-14
32,32,2014-01-13,MIL,TOR,32:59,5,10,50.000,0,1,0.000,1,4,25.000,11,7.6,-13,2013-14
33,33,2014-01-15,MIL,MEM,22:18,2,4,50.000,0,2,0.000,2,2,100.000,6,1.4,6,2013-14
34,34,2014-01-18,MIL,HOU,21:16,4,10,40.000,2,4,50.000,0,0,0.000,10,5.0,-5,2013-14
35,35,2014-01-19,MIL,SAS,30:05,4,10,40.000,3,6,50.000,0,0,0.000,11,5.1,-19,2013-14
36,36,2014-01-22,MIL,DET,25:42,1,3,33.333,0,2,0.000,2,2,100.000,4,5.2,-18,2013-14
37,37,2014-01-24,MIL,CLE,26:23,3,5,60.000,2,3,66.667,2,2,100.000,10,10.2,-1,2013-14
38,38,2014-01-25,MIL,ATL,25:21,2,6,33.333,0,2,0.000,1,2,50.000,5,-1.1,3,2013-14
39,39,2014-01-27,MIL,LAC,37:06,3,7,42.857,0,1,0.000,2,4,50.000,8,6.2,-27,2013-14
40,40,2014-01-29,MIL,PHX,25:08,2,7,28.571,0,0,0.000,2,2,100.000,6,4.7,-16,2013-14
41,41,2014-01-31,MIL,ORL,28:49,4,7,57.143,2,4,50.000,5,9,55.556,15,13.3,-5,2013-14
42,42,2014-02-01,MIL,MEM,20:25,1,3,33.333,1,2,50.000,0,0,0.000,3,0.6,2,2013-14
43,43,2014-02-03,MIL,NYK,28:27,5,9,55.556,0,0,0.000,5,8,62.500,15,11.0,-9,2013-14
44,44,2014-02-05,MIL,DEN,33:08,1,4,25.000,0,1,0.000,3,6,50.000,5,-0.6,-1,2013-14
45,45,2014-02-08,MIL,HOU,24:56,0,8,0.000,0,1,0.000,1,2,50.000,1,-3.2,-10,2013-14
46,46,2014-02-10,MIL,BOS,26:13,1,5,20.000,1,2,50.000,1,2,50.000,4,0.3,-20,2013-14
47,47,2014-02-12,MIL,NOP,20:03,1,3,33.333,0,0,0.000,1,2,50.000,3,1.8,4,2013-14
48,48,2014-02-18,MIL,ORL,26:47,2,3,66.667,1,1,100.000,3,6,50.000,8,13.4,16,2013-14
49,49,2014-02-20,MIL,DEN,32:20,3,7,42.857,1,3,33.333,4,5,80.000,11,15.8,4,2013-14
50,50,2014-02-22,MIL,IND,24:17,2,6,33.333,0,2,0.000,4,4,100.000,8,6.7,2,2013-14
51,51,2014-02-24,MIL,PHI,29:04,5,8,62.500,1,2,50.000,2,2,100.000,13,11.8,12,2013-14
52,52,2014-02-27,MIL,IND,21:19,2,4,50.000,1,1,100.000,0,0,0.000,5,4.6,-4,2013-14
53,53,2014-03-01,MIL,BKN,27:30,3,7,42.857,1,2,50.000,5,9,55.556,12,11.4,-1,2013-14
54,54,2014-03-03,MIL,UTA,26:39,3,9,33.333,1,3,33.333,1,1,100.000,8,6.9,7,2013-14
55,55,2014-03-05,MIL,SAC,17:43,2,5,40.000,1,3,33.333,0,0,0.000,5,3.8,-2,2013-14
56,56,2014-03-07,MIL,NOP,20:25,1,5,20.000,0,3,0.000,0,0,0.000,2,0.8,-13,2013-14
57,57,2014-03-08,MIL,WAS,21:51,1,4,25.000,0,1,0.000,2,2,100.000,4,0.9,-11,2013-14
58,58,2014-03-10,MIL,ORL,27:46,2,4,50.000,1,2,50.000,1,2,50.000,6,4.1,4,2013-14
59,59,2014-03-11,MIL,MIN,22:00,0,5,0.000,0,1,0.000,4,4,100.000,4,2.4,4,2013-14
60,60,2014-03-13,MIL,ATL,25:46,1,4,25.000,1,4,25.000,2,4,50.000,5,7.5,0,2013-14
61,61,2014-03-15,MIL,NYK,26:33,2,5,40.000,1,1,100.000,2,2,100.000,7,7.8,-6,2013-14
62,62,2014-03-16,MIL,CHARLOTTE BOBCATS,21:56,0,4,0.000,0,1,0.000,2,2,100.000,2,1.4,8,2013-14
63,63,2014-03-18,MIL,POR,19:36,2,6,33.333,0,1,0.000,0,0,0.000,4,-0.6,-7,2013-14
64,64,2014-03-20,MIL,GSW,30:30,3,6,50.000,0,2,0.000,5,6,83.333,11,12.4,-4,2013-14
65,65,2014-03-23,MIL,SAC,22:55,3,7,42.857,1,2,50.000,2,2,100.000,9,5.3,-3,2013-14
66,66,2014-03-24,MIL,LAC,28:04,4,4,100.000,0,0,0.000,1,3,33.333,9,8.1,-2,2013-14
67,67,2014-03-27,MIL,LAL,25:14,4,6,66.667,1,1,100.000,1,2,50.000,10,7.4,11,2013-14
68,68,2014-03-29,MIL,MIA,21:40,0,5,0.000,0,1,0.000,1,2,50.000,1,-2.0,-12,2013-14
69,69,2014-03-31,MIL,DET,30:28,4,6,66.667,2,2,100.000,4,5,80.000,14,14.6,15,2013-14
70,70,2014-04-02,MIL,MIA,21:45,2,5,40.000,1,1,100.000,0,0,0.000,5,3.3,-6,2013-14
71,71,2014-04-04,MIL,CHI,32:48,1,6,16.667,0,0,0.000,2,4,50.000,4,3.2,-2,2013-14
72,72,2014-04-05,MIL,TOR,24:49,1,6,16.667,0,1,0.000,2,2,100.000,4,1.8,-4,2013-14
73,73,2014-04-09,MIL,IND,21:19,1,4,25.000,0,1,0.000,0,0,0.000,2,-0.6,-10,2013-14
74,74,2014-04-11,MIL,CLE,19:33,0,3,0.000,0,1,0.000,3,6,50.000,3,2.0,5,2013-14
75,75,2014-04-12,MIL,WAS,43:07,3,5,60.000,1,1,100.000,1,4,25.000,8,8.4,-12,2013-14
76,76,2014-04-14,MIL,TOR,23:32,1,3,33.333,1,1,100.000,2,2,100.000,5,6.2,1,2013-14
77,77,2014-04-16,MIL,ATL,26:15,4,6,66.667,2,3,66.667,0,0,0.000,10,9.1,4,2013-14
1,1,2014-10-29,MIL,CHA,24:00,3,6,50.000,1,1,100.000,3,3,100.000,10,9.5,4,2014-15
2,2,2014-10-31,MIL,PHI,25:53,4,8,50.000,0,0,0.000,0,0,0.000,8,3.1,-9,2014-15
3,3,2014-11-01,MIL,WAS,12:42,2,3,66.667,0,1,0.000,0,1,0.000,4,2.2,-3,2014-15
4,4,2014-11-04,MIL,IND,17:15,4,7,57.143,1,2,50.000,2,2,100.000,11,6.9,5,2014-15
5,5,2014-11-05,MIL,CHI,26:56,6,11,54.545,0,1,0.000,1,2,50.000,13,10.4,7,2014-15
6,6,2014-11-07,MIL,DET,27:10,3,8,37.500,0,0,0.000,3,4,75.000,9,5.4,2,2014-15
7,7,2014-11-08,MIL,MEM,30:03,6,11,54.545,0,1,0.000,6,7,85.714,18,13.8,-5,2014-15
8,8,2014-11-11,MIL,OKC,25:40,6,13,46.154,0,0,0.000,2,4,50.000,14,10.3,10,2014-15
9,9,2014-11-14,MIL,ORL,30:52,9,15,60.000,0,2,0.000,1,1,100.000,19,16.3,-10,2014-15
10,10,2014-11-16,MIL,MIA,32:24,4,8,50.000,0,0,0.000,3,7,42.857,11,5.8,9,2014-15
11,11,2014-11-18,MIL,NYK,17:53,3,6,50.000,0,0,0.000,7,7,100.000,13,10.8,-11,2014-15
12,12,2014-11-19,MIL,BKN,47:55,7,11,63.636,0,1,0.000,4,8,50.000,18,17.7,5,2014-15
13,13,2014-11-21,MIL,TOR,15:02,1,4,25.000,0,0,0.000,5,7,71.429,7,5.0,-9,2014-15
14,14,2014-11-22,MIL,WAS,35:48,6,11,54.545,0,0,0.000,8,8,100.000,20,19.6,-10,2014-15
15,15,2014-11-25,MIL,DET,30:30,1,13,7.692,0,2,0.000,0,0,0.000,2,-6.3,2,2014-15
16,16,2014-11-26,MIL,MIN,26:04,6,12,50.000,0,1,0.000,1,2,50.000,13,10.8,10,2014-15
17,17,2014-11-28,MIL,DET,26:46,3,7,42.857,0,0,0.000,1,3,33.333,7,3.8,-1,2014-15
18,18,2014-11-29,MIL,HOU,34:42,7,12,58.333,0,1,0.000,3,3,100.000,17,15.9,-6,2014-15
19,19,2014-12-02,MIL,CLE,25:23,6,14,42.857,0,0,0.000,2,2,100.000,14,7.7,-6,2014-15
20,20,2014-12-03,MIL,DAL,18:23,1,4,25.000,0,0,0.000,1,2,50.000,3,2.4,0,2014-15
21,21,2014-12-05,MIL,MIA,31:35,3,8,37.500,0,0,0.000,8,11,72.727,14,11.3,10,2014-15
22,22,2014-12-07,MIL,DAL,29:50,8,11,72.727,0,0,0.000,2,3,66.667,18,15.3,-10,2014-15
23,23,2014-12-09,MIL,OKC,26:25,4,11,36.364,1,2,50.000,8,11,72.727,17,12.2,-11,2014-15
