Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2020-12-23,ORL,MIA,19:11,3,5,60.000,0,1,0.000,0,0,0.000,6,7.1,3
2,2,2020-12-26,ORL,WAS,16:55,4,11,36.364,1,4,25.000,0,0,0.000,9,7.5,5
3,3,2020-12-27,ORL,WAS,18:57,3,9,33.333,0,2,0.000,6,6,100.000,12,12.3,18
4,4,2020-12-29,ORL,OKC,16:20,1,5,20.000,1,2,50.000,4,4,100.000,7,7.8,2
5,5,2020-12-31,ORL,PHI,30:20,5,18,27.778,1,4,25.000,5,5,100.000,16,6.5,-4
6,6,2021-01-02,ORL,OKC,17:07,1,7,14.286,0,2,0.000,0,0,0.000,2,-0.3,-4
7,7,2021-01-04,ORL,CLE,21:29,2,9,22.222,1,2,50.000,4,5,80.000,9,6.3,14
8,8,2021-01-06,ORL,CLE,32:06,4,12,33.333,0,4,0.000,0,0,0.000,8,1.8,11
9,9,2021-01-08,ORL,HOU,28:06,6,14,42.857,0,3,0.000,3,4,75.000,15,7.9,-27
10,10,2021-01-09,ORL,DAL,32:06,2,8,25.000,1,5,20.000,3,4,75.000,8,2.7,-9
11,11,2021-01-11,ORL,MIL,23:11,4,13,30.769,1,4,25.000,3,3,100.000,12,4.3,-7
12,12,2021-01-15,ORL,BOS,27:24,7,18,38.889,1,6,16.667,0,1,0.000,15,3.3,-22
13,13,2021-01-16,ORL,BKN,29:26,6,15,40.000,2,5,40.000,2,2,100.000,16,15.9,0
14,14,2021-01-18,ORL,NYK,27:42,2,12,16.667,2,5,40.000,0,0,0.000,6,0.1,-14
15,15,2021-01-20,ORL,MIN,27:57,5,7,71.429,3,3,100.000,0,0,0.000,13,12.8,10
16,16,2021-01-22,ORL,IND,35:46,3,7,42.857,1,1,100.000,2,2,100.000,9,8.5,-12
17,17,2021-01-24,ORL,CHA,32:37,6,13,46.154,2,4,50.000,0,0,0.000,14,12.7,0
18,18,2021-01-25,ORL,CHA,30:54,8,12,66.667,4,5,80.000,1,3,33.333,21,14.0,2
19,19,2021-01-27,ORL,SAC,30:29,2,9,22.222,1,2,50.000,2,2,100.000,7,4.8,-3
20,20,2021-01-29,ORL,LAC,30:06,2,10,20.000,0,5,0.000,2,2,100.000,6,0.1,-8
21,21,2021-01-31,ORL,TOR,32:22,5,10,50.000,1,3,33.333,5,6,83.333,16,13.5,-10
22,22,2021-02-02,ORL,TOR,30:35,7,12,58.333,1,3,33.333,1,1,100.000,16,10.9,-19
23,23,2021-02-05,ORL,CHI,32:27,6,10,60.000,2,3,66.667,3,5,60.000,17,16.3,16
24,24,2021-02-06,ORL,CHI,29:19,5,16,31.250,1,3,33.333,0,0,0.000,11,8.0,-34
25,25,2021-02-09,ORL,POR,14:10,2,7,28.571,0,2,0.000,0,0,0.000,4,-0.9,-9
