Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2017-10-19,TOR,CHI,17:14,3,6,50.000,1,3,33.333,2,2,100.000,9,8.7,26
2,2,2017-10-21,TOR,PHI,15:15,1,3,33.333,1,2,50.000,0,0,0.000,3,3.4,4
3,3,2017-10-23,TOR,SAS,14:42,2,5,40.000,0,2,0.000,0,0,0.000,4,0.7,3
4,4,2017-10-25,TOR,GSW,18:05,3,6,50.000,2,4,50.000,0,0,0.000,8,8.2,8
5,5,2017-10-27,TOR,LAL,18:30,2,8,25.000,1,3,33.333,2,3,66.667,7,3.4,-3
6,6,2017-10-30,TOR,POR,21:46,2,8,25.000,0,5,0.000,0,0,0.000,4,2.5,5
7,7,2017-11-01,TOR,DEN,17:00,2,5,40.000,2,3,66.667,0,0,0.000,6,6.2,4
8,8,2017-11-03,TOR,UTA,18:08,2,3,66.667,1,2,50.000,1,2,50.000,6,6.2,5
9,9,2017-11-05,TOR,WAS,13:44,0,2,0.000,0,0,0.000,0,2,0.000,0,-0.4,4
10,10,2017-11-07,TOR,CHI,12:01,2,4,50.000,2,3,66.667,1,2,50.000,7,7.3,-4
11,11,2017-11-09,TOR,NOP,14:21,3,4,75.000,1,2,50.000,1,2,50.000,8,6.2,10
12,12,2017-11-12,TOR,BOS,21:39,2,3,66.667,0,1,0.000,3,4,75.000,7,5.3,-10
13,13,2017-11-14,TOR,HOU,29:34,6,8,75.000,3,4,75.000,1,2,50.000,16,13.1,22
14,14,2017-11-15,TOR,NOP,13:59,2,3,66.667,1,2,50.000,0,0,0.000,5,2.5,-9
15,15,2017-11-17,TOR,NYK,29:30,5,10,50.000,1,6,16.667,0,0,0.000,11,5.9,25
16,16,2017-11-19,TOR,WAS,19:57,2,5,40.000,1,4,25.000,0,0,0.000,5,3.5,-7
17,17,2017-11-22,TOR,NYK,15:51,1,2,50.000,1,2,50.000,0,0,0.000,3,2.6,-4
18,18,2017-11-24,TOR,IND,27:29,3,5,60.000,0,2,0.000,2,2,100.000,8,5.2,-20
19,19,2017-11-25,TOR,ATL,17:25,4,4,100.000,3,3,100.000,0,0,0.000,11,12.3,17
20,20,2017-11-29,TOR,CHA,19:07,0,1,0.000,0,0,0.000,0,0,0.000,0,0.6,3
21,21,2017-12-01,TOR,IND,19:47,2,5,40.000,0,2,0.000,1,1,100.000,5,2.5,3
22,22,2017-12-05,TOR,PHX,24:22,6,9,66.667,4,5,80.000,0,0,0.000,16,10.5,13
23,23,2017-12-08,TOR,MEM,33:46,3,5,60.000,2,3,66.667,0,0,0.000,8,4.5,13
24,24,2017-12-10,TOR,SAC,27:00,2,5,40.000,1,2,50.000,0,0,0.000,5,2.2,24
25,25,2017-12-11,TOR,LAC,26:23,1,4,25.000,1,2,50.000,0,0,0.000,3,0.4,8
26,26,2017-12-13,TOR,PHX,19:20,3,6,50.000,1,2,50.000,2,2,100.000,9,5.4,12
27,27,2017-12-15,TOR,BKN,21:42,1,4,25.000,1,4,25.000,0,0,0.000,3,4.0,33
28,28,2017-12-17,TOR,SAC,29:03,4,8,50.000,3,6,50.000,0,0,0.000,11,9.5,13
29,29,2017-12-20,TOR,CHA,30:59,7,9,77.778,6,7,85.714,0,1,0.000,20,18.3,28
30,30,2017-12-21,TOR,PHI,21:22,2,6,33.333,1,4,25.000,1,2,50.000,6,1.2,2
31,31,2017-12-23,TOR,PHI,20:51,0,3,0.000,0,3,0.000,0,0,0.000,0,0.5,1
32,32,2017-12-26,TOR,DAL,19:52,0,2,0.000,0,2,0.000,0,0,0.000,0,-0.2,7
33,33,2017-12-27,TOR,OKC,19:56,2,6,33.333,2,6,33.333,0,0,0.000,6,0.8,-19
34,34,2017-12-29,TOR,ATL,22:54,4,8,50.000,1,5,20.000,0,0,0.000,9,7.4,-1
35,35,2018-01-01,TOR,MIL,34:51,0,0,0.000,0,0,0.000,1,2,50.000,1,2.4,16
36,36,2018-01-03,TOR,CHI,15:57,1,5,20.000,0,4,0.000,1,1,100.000,3,0.8,-14
37,37,2018-01-05,TOR,MIL,30:52,2,6,33.333,1,5,20.000,0,0,0.000,5,1.9,16
38,38,2018-01-08,TOR,BKN,15:46,1,3,33.333,0,2,0.000,1,1,100.000,3,-0.3,4
39,39,2018-01-09,TOR,MIA,26:28,1,3,33.333,0,0,0.000,0,0,0.000,2,2.4,0
40,40,2018-01-11,TOR,CLE,26:41,2,8,25.000,1,6,16.667,2,2,100.000,7,2.6,13
41,41,2018-01-13,TOR,GSW,25:43,5,7,71.429,1,3,33.333,6,6,100.000,17,15.6,3
42,42,2018-01-15,TOR,PHI,18:37,0,2,0.000,0,1,0.000,0,0,0.000,0,1.5,-14
43,43,2018-01-17,TOR,DET,19:13,1,2,50.000,0,0,0.000,0,0,0.000,2,2.3,-1
44,44,2018-01-19,TOR,SAS,19:06,0,7,0.000,0,3,0.000,0,0,0.000,0,-1.6,-3
45,45,2018-01-20,TOR,MIN,18:13,3,6,50.000,1,3,33.333,0,0,0.000,7,6.0,-4
46,46,2018-01-24,TOR,ATL,23:49,4,5,80.000,2,3,66.667,0,0,0.000,10,11.0,8
47,47,2018-01-26,TOR,UTA,17:20,2,3,66.667,0,1,0.000,1,2,50.000,5,7.0,-1
48,48,2018-01-28,TOR,LAL,21:31,2,5,40.000,0,3,0.000,1,2,50.000,5,4.1,8
49,49,2018-01-30,TOR,MIN,15:36,1,2,50.000,1,2,50.000,0,0,0.000,3,2.4,4
50,50,2018-02-01,TOR,WAS,21:07,4,8,50.000,3,5,60.000,0,0,0.000,11,7.9,1
51,51,2018-02-02,TOR,POR,26:37,0,4,0.000,0,3,0.000,2,2,100.000,2,1.8,15
52,52,2018-02-04,TOR,MEM,18:46,3,9,33.333,0,4,0.000,0,0,0.000,6,1.3,-14
53,53,2018-02-06,TOR,BOS,15:18,2,3,66.667,0,1,0.000,0,0,0.000,4,5.0,6
54,54,2018-02-08,TOR,NYK,20:33,2,5,40.000,1,4,25.000,1,1,100.000,6,4.1,7
