Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2020-12-23,CHA,CLE,15:48,0,5,0.000,0,3,0.000,0,0,0.000,0,-2.9,2
2,2,2020-12-26,CHA,OKC,15:19,5,10,50.000,2,4,50.000,1,2,50.000,13,9.2,-11
3,3,2020-12-27,CHA,BKN,20:01,2,6,33.333,2,3,66.667,0,0,0.000,6,4.0,-4
4,4,2020-12-30,CHA,DAL,29:25,7,10,70.000,4,5,80.000,4,4,100.000,22,23.8,8
5,5,2021-01-01,CHA,MEM,26:42,6,14,42.857,2,7,28.571,1,2,50.000,15,11.9,0
6,6,2021-01-02,CHA,PHI,30:41,4,12,33.333,1,4,25.000,4,6,66.667,13,12.7,-10
7,7,2021-01-04,CHA,PHI,30:25,5,16,31.250,0,5,0.000,2,3,66.667,12,10.8,-9
8,8,2021-01-06,CHA,ATL,23:40,5,11,45.455,1,4,25.000,2,2,100.000,13,12.2,0
9,9,2021-01-08,CHA,NOP,25:34,4,11,36.364,1,5,20.000,3,4,75.000,12,13.2,5
10,10,2021-01-09,CHA,ATL,31:10,9,13,69.231,3,5,60.000,1,2,50.000,22,27.0,18
11,11,2021-01-11,CHA,NYK,29:34,3,13,23.077,2,6,33.333,0,0,0.000,8,11.5,4
12,12,2021-01-13,CHA,DAL,25:25,2,8,25.000,0,4,0.000,0,1,0.000,4,1.2,-15
13,13,2021-01-14,CHA,TOR,26:05,6,14,42.857,2,5,40.000,0,0,0.000,14,14.8,-4
14,14,2021-01-16,CHA,TOR,22:59,4,11,36.364,2,6,33.333,1,2,50.000,11,7.4,-19
15,15,2021-01-22,CHA,CHI,16:34,3,7,42.857,0,2,0.000,1,1,100.000,7,1.6,-15
16,16,2021-01-24,CHA,ORL,27:43,4,11,36.364,2,4,50.000,1,1,100.000,11,8.2,15
17,17,2021-01-25,CHA,ORL,21:06,4,10,40.000,0,5,0.000,1,3,33.333,9,3.4,-7
18,18,2021-01-27,CHA,IND,21:51,2,4,50.000,0,1,0.000,4,4,100.000,8,9.3,-24
19,19,2021-01-29,CHA,IND,29:47,7,13,53.846,0,6,0.000,2,3,66.667,16,13.0,0
20,20,2021-01-30,CHA,MIL,31:01,8,10,80.000,2,3,66.667,9,9,100.000,27,32.6,37
21,21,2021-02-01,CHA,MIA,31:26,3,11,27.273,2,4,50.000,6,6,100.000,14,9.7,-6
22,22,2021-02-03,CHA,PHI,38:18,8,16,50.000,3,6,50.000,3,3,100.000,22,13.8,-3
23,23,2021-02-05,CHA,UTA,39:23,14,27,51.852,4,9,44.444,2,3,66.667,34,29.0,-1
24,24,2021-02-07,CHA,WAS,30:30,7,17,41.176,3,6,50.000,2,2,100.000,19,15.9,14
25,25,2021-02-08,CHA,HOU,31:51,7,18,38.889,7,12,58.333,3,4,75.000,24,17.7,29
26,26,2021-02-10,CHA,MEM,28:14,8,15,53.333,1,4,25.000,0,0,0.000,17,14.9,-9
27,27,2021-02-12,CHA,MIN,36:44,8,15,53.333,2,8,25.000,2,2,100.000,20,16.6,15
28,28,2021-02-14,CHA,SAS,39:00,7,20,35.000,3,8,37.500,0,0,0.000,17,13.3,-16
29,29,2021-02-20,CHA,GSW,31:47,3,10,30.000,1,5,20.000,0,0,0.000,7,3.5,-3
30,30,2021-02-22,CHA,UTA,38:10,8,20,40.000,2,7,28.571,3,3,100.000,21,15.1,-3
31,31,2021-02-24,CHA,PHX,30:07,7,11,63.636,3,7,42.857,3,3,100.000,20,19.7,-5
32,32,2021-02-26,CHA,GSW,37:10,7,16,43.750,3,8,37.500,5,8,62.500,22,15.9,-14
33,33,2021-02-28,CHA,SAC,38:31,7,12,58.333,1,2,50.000,9,10,90.000,24,23.7,6
34,34,2021-03-01,CHA,POR,32:01,10,18,55.556,5,7,71.429,5,6,83.333,30,29.7,-18
35,35,2021-03-03,CHA,MIN,26:21,7,13,53.846,4,5,80.000,1,2,50.000,19,15.9,25
36,36,2021-03-11,CHA,DET,29:22,3,11,27.273,1,5,20.000,0,0,0.000,7,3.1,3
