Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2021-10-20,TOR,WAS,32:32,5,13,38.462,0,1,0.000,2,3,66.667,12,2.1,-11
2,2,2021-10-22,TOR,BOS,35:29,11,17,64.706,1,2,50.000,2,2,100.000,25,23.8,29
3,3,2021-10-23,TOR,DAL,29:34,6,12,50.000,0,2,0.000,5,7,71.429,17,13.6,7
4,4,2021-10-25,TOR,CHI,39:01,6,8,75.000,0,1,0.000,1,2,50.000,13,5.9,-10
5,5,2021-10-27,TOR,IND,36:07,8,17,47.059,0,0,0.000,2,2,100.000,18,15.7,6
6,6,2021-10-29,TOR,ORL,36:47,9,14,64.286,1,2,50.000,2,2,100.000,21,20.3,-13
7,7,2021-10-30,TOR,IND,34:44,9,17,52.941,0,1,0.000,3,6,50.000,21,15.8,1
8,8,2021-11-05,TOR,CLE,38:21,7,19,36.842,0,0,0.000,0,0,0.000,14,13.4,5
9,9,2021-11-07,TOR,BKN,30:36,4,7,57.143,0,1,0.000,0,0,0.000,8,12.0,-7
10,10,2021-11-10,TOR,BOS,31:54,7,11,63.636,0,0,0.000,7,8,87.500,21,16.4,-5
11,11,2021-11-11,TOR,PHI,39:01,6,13,46.154,0,0,0.000,1,1,100.000,13,13.8,11
12,12,2021-11-13,TOR,DET,38:07,4,10,40.000,0,0,0.000,3,4,75.000,11,7.4,-5
13,13,2021-11-15,TOR,POR,39:30,6,14,42.857,0,1,0.000,6,6,100.000,18,11.0,-7
14,14,2021-11-18,TOR,UTA,35:08,5,11,45.455,0,2,0.000,0,0,0.000,10,10.5,-10
15,15,2021-11-19,TOR,SAC,33:09,1,8,12.500,0,0,0.000,0,0,0.000,2,4.4,2
16,16,2021-11-21,TOR,GSW,28:17,3,11,27.273,2,3,66.667,2,7,28.571,10,9.3,-18
17,17,2021-11-24,TOR,MEM,39:05,8,14,57.143,1,3,33.333,0,0,0.000,17,13.0,18
18,18,2021-11-26,TOR,IND,35:29,5,9,55.556,0,0,0.000,7,9,77.778,17,18.1,-13
19,19,2021-11-28,TOR,BOS,37:17,7,16,43.750,4,9,44.444,3,4,75.000,21,16.9,-22
20,20,2021-11-30,TOR,MEM,37:50,8,16,50.000,3,6,50.000,0,0,0.000,19,16.4,-11
21,21,2021-12-02,TOR,MIL,38:48,5,9,55.556,3,6,50.000,0,0,0.000,13,16.1,1
22,22,2021-12-05,TOR,WAS,36:54,5,10,50.000,0,2,0.000,1,2,50.000,11,6.2,11
23,23,2021-12-08,TOR,OKC,38:53,8,17,47.059,2,7,28.571,0,0,0.000,18,17.4,-8
24,24,2021-12-10,TOR,NYK,41:16,6,12,50.000,0,1,0.000,0,0,0.000,12,15.0,14
25,25,2021-12-13,TOR,SAC,32:01,6,14,42.857,1,2,50.000,3,4,75.000,16,12.4,19
26,26,2021-12-14,TOR,BKN,44:04,7,13,53.846,3,5,60.000,6,8,75.000,23,22.2,-7
27,27,2021-12-18,TOR,GSW,32:47,8,12,66.667,0,2,0.000,5,7,71.429,21,21.0,26
28,28,2022-01-02,TOR,NYK,29:36,4,9,44.444,2,5,40.000,3,4,75.000,13,6.4,19
29,29,2022-01-04,TOR,SAS,32:49,4,7,57.143,0,2,0.000,3,4,75.000,11,15.5,15
30,30,2022-01-05,TOR,MIL,37:51,2,6,33.333,0,2,0.000,2,4,50.000,6,2.2,4
31,31,2022-01-07,TOR,UTA,30:42,5,14,35.714,0,3,0.000,1,2,50.000,11,12.0,-1
32,32,2022-01-09,TOR,NOP,33:19,3,10,30.000,1,3,33.333,0,0,0.000,7,1.4,4
33,33,2022-01-14,TOR,DET,33:04,4,13,30.769,0,4,0.000,0,0,0.000,8,4.0,-8
34,34,2022-01-17,TOR,MIA,39:15,6,18,33.333,2,5,40.000,2,3,66.667,16,9.8,-5
35,35,2022-01-19,TOR,DAL,28:21,4,9,44.444,1,3,33.333,2,2,100.000,11,8.3,-3
36,36,2022-01-21,TOR,WAS,39:43,12,19,63.158,0,1,0.000,3,4,75.000,27,20.2,-5
37,37,2022-01-23,TOR,POR,33:48,3,14,21.429,3,11,27.273,0,0,0.000,9,7.2,-18
38,38,2022-01-26,TOR,CHI,37:43,6,11,54.545,0,3,0.000,4,6,66.667,16,13.2,-10
39,39,2022-01-29,TOR,MIA,56:20,7,13,53.846,3,6,50.000,5,6,83.333,22,17.7,9
40,40,2022-01-31,TOR,ATL,35:49,3,7,42.857,0,2,0.000,1,1,100.000,7,6.9,9
41,41,2022-02-01,TOR,MIA,41:37,5,13,38.462,1,2,50.000,0,0,0.000,11,6.2,5
42,42,2022-02-03,TOR,CHI,36:57,9,16,56.250,2,4,50.000,1,2,50.000,21,16.9,-8
43,43,2022-02-04,TOR,ATL,38:21,6,11,54.545,1,2,50.000,3,4,75.000,16,12.8,2
44,44,2022-02-07,TOR,CHA,30:59,4,9,44.444,1,2,50.000,6,7,85.714,15,11.4,7
45,45,2022-02-09,TOR,OKC,31:05,5,9,55.556,1,1,100.000,6,6,100.000,17,14.7,22
46,46,2022-02-10,TOR,HOU,33:29,4,9,44.444,1,5,20.000,0,0,0.000,9,10.6,7
47,47,2022-02-12,TOR,DEN,30:12,7,14,50.000,0,1,0.000,3,5,60.000,17,12.6,-8
48,48,2022-02-14,TOR,NOP,20:21,2,10,20.000,0,2,0.000,1,2,50.000,5,1.1,-25
49,49,2022-02-16,TOR,MIN,31:32,4,9,44.444,1,3,33.333,0,0,0.000,9,11.0,0
50,50,2022-02-25,TOR,CHA,31:57,13,18,72.222,0,1,0.000,2,2,100.000,28,22.2,-24
51,51,2022-02-26,TOR,ATL,21:07,3,5,60.000,0,0,0.000,0,0,0.000,6,2.4,-25
52,52,2022-02-28,TOR,BKN,34:07,12,14,85.714,1,1,100.000,3,4,75.000,28,34.1,30
53,53,2022-03-01,TOR,BKN,41:07,8,13,61.538,0,1,0.000,2,2,100.000,18,17.4,0
54,54,2022-03-03,TOR,DET,39:55,7,13,53.846,1,3,33.333,6,8,75.000,21,18.6,-2
55,55,2022-03-04,TOR,ORL,37:30,4,15,26.667,1,5,20.000,1,1,100.000,10,3.8,-8
56,56,2022-03-06,TOR,CLE,41:43,8,14,57.143,0,2,0.000,3,6,50.000,19,22.4,-2
57,57,2022-03-09,TOR,SAS,34:22,8,12,66.667,0,0,0.000,4,4,100.000,20,17.5,11
58,58,2022-03-11,TOR,PHX,36:35,7,17,41.176,1,3,33.333,0,0,0.000,15,13.6,-16
59,59,2022-03-12,TOR,DEN,39:06,11,20,55.000,2,4,50.000,1,3,33.333,25,25.7,15
60,60,2022-03-14,TOR,LAL,39:53,9,17,52.941,1,2,50.000,2,3,66.667,21,19.3,21
61,61,2022-03-16,TOR,LAC,40:21,7,16,43.750,1,2,50.000,0,0,0.000,15,7.5,7
62,62,2022-03-18,TOR,LAL,42:21,14,21,66.667,1,4,25.000,2,2,100.000,31,31.4,5
63,63,2022-03-20,TOR,PHI,42:08,6,21,28.571,1,5,20.000,0,3,0.000,13,3.5,5
