Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2022-10-19,DEN,UTA,1:46,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,-6
2,2,2022-10-21,DEN,GSW,22:46,2,5,40.000,0,1,0.000,0,0,0.000,4,7.3,14
3,3,2022-10-22,DEN,OKC,16:29,3,5,60.000,3,4,75.000,0,0,0.000,9,8.7,-14
4,4,2022-10-24,DEN,POR,12:39,0,2,0.000,0,1,0.000,0,0,0.000,0,-0.5,-6
5,5,2022-10-26,DEN,LAL,25:05,4,6,66.667,0,1,0.000,1,2,50.000,9,6.9,2
6,6,2022-10-28,DEN,UTA,32:25,4,7,57.143,1,3,33.333,1,2,50.000,10,8.9,16
7,7,2022-10-30,DEN,LAL,12:57,0,3,0.000,0,2,0.000,0,0,0.000,0,-1.1,-20
8,8,2022-11-03,DEN,OKC,7:16,1,1,100.000,1,1,100.000,0,0,0.000,3,2.6,2
9,9,2022-11-05,DEN,SAS,14:27,1,4,25.000,0,1,0.000,0,0,0.000,2,0.9,-10
10,10,2022-11-07,DEN,SAS,2:30,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.3,3
11,11,2022-11-11,DEN,BOS,13:18,1,1,100.000,0,0,0.000,0,0,0.000,2,3.7,-7
12,12,2022-11-13,DEN,CHI,26:13,3,6,50.000,1,2,50.000,2,2,100.000,9,8.5,4
13,13,2022-11-16,DEN,NYK,14:55,1,2,50.000,0,0,0.000,0,0,0.000,2,2.7,-3
14,14,2022-11-18,DEN,DAL,13:25,1,5,20.000,0,1,0.000,1,3,33.333,3,-0.1,-6
15,15,2022-11-20,DEN,DAL,16:14,2,5,40.000,1,1,100.000,0,0,0.000,5,3.3,-3
16,16,2022-11-22,DEN,DET,3:26,0,0,0.000,0,0,0.000,0,0,0.000,0,0.7,-7
17,17,2022-11-23,DEN,OKC,13:33,0,3,0.000,0,1,0.000,2,2,100.000,2,1.1,-4
18,18,2022-11-25,DEN,LAC,6:36,0,0,0.000,0,0,0.000,0,2,0.000,0,0.2,-13
19,19,2022-11-28,DEN,HOU,5:57,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,-1
20,20,2022-11-30,DEN,HOU,3:06,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.4,-3
21,21,2022-12-04,DEN,NOP,2:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,2
22,22,2022-12-06,DEN,DAL,15:51,2,4,50.000,1,2,50.000,0,0,0.000,5,1.3,5
23,23,2022-12-08,DEN,POR,20:24,3,4,75.000,0,0,0.000,0,0,0.000,6,6.0,10
24,24,2022-12-10,DEN,UTA,24:55,2,3,66.667,0,0,0.000,1,1,100.000,5,3.3,-12
25,25,2022-12-14,DEN,WAS,23:33,3,6,50.000,0,1,0.000,2,4,50.000,8,4.1,-10
26,26,2022-12-16,DEN,LAL,9:04,0,2,0.000,0,2,0.000,0,0,0.000,0,-2.9,4
27,27,2022-12-18,DEN,CHA,20:40,1,3,33.333,0,2,0.000,0,0,0.000,2,2.2,-11
28,28,2022-12-20,DEN,MEM,28:57,5,11,45.455,2,5,40.000,1,2,50.000,13,8.4,9
29,29,2022-12-25,DEN,PHX,12:58,1,1,100.000,1,1,100.000,0,0,0.000,3,2.6,-6
30,30,2022-12-27,DEN,SAC,13:43,2,4,50.000,0,1,0.000,0,1,0.000,4,5.0,7
31,31,2022-12-28,DEN,SAC,23:57,4,5,80.000,1,1,100.000,0,0,0.000,9,5.6,-7
32,32,2022-12-30,DEN,MIA,2:59,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.7,3
33,33,2023-01-01,DEN,BOS,25:21,1,1,100.000,0,0,0.000,0,0,0.000,2,0.9,7
34,34,2023-01-02,DEN,MIN,3:02,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,3
