Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2017-10-18,MEM,NOP,29:25,7,13,53.846,0,2,0.000,5,7,71.429,19,18.2,17
2,2,2017-10-21,MEM,GSW,32:05,4,7,57.143,1,2,50.000,0,1,0.000,9,5.0,0
3,3,2017-10-23,MEM,HOU,21:12,1,2,50.000,0,1,0.000,1,2,50.000,3,1.2,5
4,4,2017-10-25,MEM,DAL,27:46,2,5,40.000,0,2,0.000,0,0,0.000,4,-3.7,-5
5,5,2017-10-26,MEM,DAL,24:58,3,7,42.857,1,2,50.000,0,1,0.000,7,4.2,13
6,6,2017-10-28,MEM,HOU,28:55,2,7,28.571,1,4,25.000,1,1,100.000,6,5.7,24
7,7,2017-10-30,MEM,CHA,31:19,4,7,57.143,1,2,50.000,2,3,66.667,11,6.6,-4
8,8,2017-11-01,MEM,ORL,37:34,5,13,38.462,2,6,33.333,0,0,0.000,12,3.9,12
9,9,2017-11-04,MEM,LAC,29:22,1,8,12.500,0,2,0.000,0,0,0.000,2,-3.3,-2
10,10,2017-11-05,MEM,LAL,26:03,4,6,66.667,1,3,33.333,4,4,100.000,13,7.0,19
11,11,2017-11-07,MEM,POR,37:44,3,8,37.500,0,1,0.000,1,1,100.000,7,9.3,-3
12,12,2017-11-11,MEM,HOU,27:44,4,8,50.000,1,2,50.000,0,0,0.000,9,7.3,-9
13,13,2017-11-13,MEM,MIL,27:48,6,9,66.667,2,4,50.000,5,5,100.000,19,16.1,-9
14,14,2017-11-15,MEM,IND,24:25,5,10,50.000,0,3,0.000,1,2,50.000,11,7.8,-11
15,15,2017-11-18,MEM,HOU,33:04,3,9,33.333,0,4,0.000,1,2,50.000,7,3.4,-14
16,16,2017-11-20,MEM,POR,29:34,2,3,66.667,0,0,0.000,0,0,0.000,4,4.2,-4
17,17,2017-11-22,MEM,DAL,32:27,5,8,62.500,3,4,75.000,0,0,0.000,13,8.8,0
18,18,2017-11-24,MEM,DEN,35:03,3,8,37.500,1,3,33.333,0,0,0.000,7,3.1,-6
19,19,2017-11-26,MEM,BKN,23:29,1,5,20.000,0,1,0.000,0,0,0.000,2,-0.8,-15
20,20,2017-11-29,MEM,SAS,33:11,3,6,50.000,2,3,66.667,0,0,0.000,8,3.6,-13
21,21,2017-12-01,MEM,SAS,22:36,0,2,0.000,0,0,0.000,0,0,0.000,0,-1.9,-11
22,22,2017-12-02,MEM,CLE,27:47,3,4,75.000,1,1,100.000,2,2,100.000,9,6.1,-3
23,23,2017-12-04,MEM,MIN,27:41,4,6,66.667,1,2,50.000,0,0,0.000,9,5.4,3
24,24,2017-12-06,MEM,NYK,18:18,0,2,0.000,0,1,0.000,0,0,0.000,0,1.1,-20
25,25,2017-12-08,MEM,TOR,17:12,1,2,50.000,0,0,0.000,0,0,0.000,2,-0.6,-6
26,26,2017-12-09,MEM,OKC,37:37,5,8,62.500,2,3,66.667,1,1,100.000,13,11.1,-5
27,27,2017-12-11,MEM,MIA,18:33,0,2,0.000,0,2,0.000,0,0,0.000,0,-4.1,-9
28,28,2017-12-13,MEM,WAS,22:24,2,6,33.333,0,2,0.000,2,2,100.000,6,3.4,-13
29,29,2017-12-15,MEM,ATL,22:02,3,6,50.000,0,2,0.000,2,2,100.000,8,6.6,5
30,30,2017-12-16,MEM,BOS,34:50,5,12,41.667,4,5,80.000,0,0,0.000,14,8.6,5
31,31,2017-12-20,MEM,GSW,21:20,3,6,50.000,3,4,75.000,0,0,0.000,9,4.8,-2
32,32,2017-12-21,MEM,PHX,28:37,5,10,50.000,1,3,33.333,0,0,0.000,11,7.8,11
33,33,2017-12-23,MEM,LAC,23:40,3,7,42.857,3,5,60.000,2,2,100.000,11,6.0,-6
34,34,2017-12-26,MEM,PHX,33:00,3,10,30.000,0,4,0.000,0,0,0.000,6,0.6,-2
35,35,2017-12-27,MEM,LAL,30:06,2,5,40.000,1,2,50.000,0,2,0.000,5,2.3,1
36,36,2017-12-30,MEM,GSW,24:28,1,6,16.667,0,1,0.000,3,4,75.000,5,1.4,-16
37,37,2017-12-31,MEM,SAC,18:39,2,3,66.667,0,0,0.000,1,2,50.000,5,4.9,-6
38,38,2018-01-02,MEM,LAC,17:33,4,6,66.667,3,4,75.000,0,0,0.000,11,8.6,-10
39,39,2018-01-05,MEM,WAS,17:16,3,4,75.000,1,2,50.000,0,1,0.000,7,2.4,-5
40,40,2018-01-10,MEM,NOP,23:09,0,4,0.000,0,2,0.000,0,0,0.000,0,-2.8,13
41,41,2018-01-12,MEM,DEN,35:38,4,11,36.364,0,3,0.000,0,0,0.000,8,2.7,6
42,42,2018-01-15,MEM,LAL,26:44,6,8,75.000,4,5,80.000,3,4,75.000,19,14.4,-11
43,43,2018-01-17,MEM,NYK,31:49,6,11,54.545,3,6,50.000,2,3,66.667,17,12.1,16
44,44,2018-01-19,MEM,SAC,27:54,8,13,61.538,3,6,50.000,3,4,75.000,22,17.6,14
45,45,2018-01-20,MEM,NOP,30:07,4,8,50.000,2,4,50.000,0,0,0.000,10,6.6,-5
46,46,2018-01-22,MEM,PHI,29:00,2,7,28.571,1,3,33.333,2,2,100.000,7,2.9,3
47,47,2018-01-24,MEM,SAS,30:04,5,10,50.000,0,1,0.000,0,1,0.000,10,6.7,-22
48,48,2018-01-26,MEM,LAC,34:45,6,10,60.000,1,2,50.000,2,2,100.000,15,9.9,-2
49,49,2018-01-29,MEM,PHX,25:42,5,8,62.500,1,2,50.000,1,2,50.000,12,5.5,-3
50,50,2018-01-31,MEM,IND,39:55,6,19,31.579,0,4,0.000,0,0,0.000,12,7.6,-10
51,51,2018-02-01,MEM,DET,31:38,5,11,45.455,2,5,40.000,1,1,100.000,13,9.4,-3
52,52,2018-02-04,MEM,TOR,26:45,4,10,40.000,2,5,40.000,2,2,100.000,12,4.1,-9
53,53,2018-02-06,MEM,ATL,32:36,5,14,35.714,0,4,0.000,2,5,40.000,12,3.0,-23
54,54,2018-02-07,MEM,UTA,31:19,4,13,30.769,1,3,33.333,2,2,100.000,11,8.6,7
55,55,2018-02-11,MEM,OKC,23:36,3,6,50.000,0,0,0.000,0,0,0.000,6,0.0,-10
56,56,2018-02-14,MEM,OKC,38:43,6,15,40.000,2,6,33.333,0,0,0.000,14,10.1,9
57,57,2018-02-23,MEM,CLE,31:18,4,11,36.364,0,3,0.000,4,5,80.000,12,5.3,-14
58,58,2018-02-24,MEM,MIA,26:25,3,9,33.333,0,0,0.000,2,2,100.000,8,4.0,-12
59,59,2018-02-26,MEM,BOS,29:50,2,10,20.000,0,2,0.000,2,2,100.000,6,1.2,2
60,60,2018-02-28,MEM,PHX,30:06,3,9,33.333,1,3,33.333,0,0,0.000,7,2.0,4
61,61,2018-03-02,MEM,DEN,33:11,5,11,45.455,1,2,50.000,2,4,50.000,13,8.5,-6
62,62,2018-03-03,MEM,ORL,37:02,4,14,28.571,0,3,0.000,1,2,50.000,9,1.3,-14
63,63,2018-03-05,MEM,SAS,34:42,9,17,52.941,2,5,40.000,1,1,100.000,21,9.2,-3
64,64,2018-03-07,MEM,CHI,28:04,10,18,55.556,5,9,55.556,4,4,100.000,29,23.3,1
65,65,2018-03-09,MEM,UTA,32:24,7,16,43.750,2,6,33.333,2,2,100.000,18,6.4,-2
66,66,2018-03-10,MEM,DAL,30:12,6,15,40.000,1,2,50.000,4,6,66.667,17,9.0,-7
67,67,2018-03-12,MEM,MIL,30:02,7,13,53.846,2,5,40.000,0,0,0.000,16,10.6,-9
68,68,2018-03-15,MEM,CHI,29:58,4,12,33.333,2,6,33.333,5,5,100.000,15,11.9,4
69,69,2018-03-17,MEM,DEN,39:07,8,17,47.059,4,9,44.444,4,4,100.000,24,16.0,7
70,70,2018-03-19,MEM,BKN,30:09,5,15,33.333,1,2,50.000,4,4,100.000,15,5.6,-10
71,71,2018-03-21,MEM,PHI,21:31,6,9,66.667,1,3,33.333,1,2,50.000,14,7.0,-14
