Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2017-12-23,LAL,POR,4:03,0,0,0.000,0,0,0.000,1,2,50.000,1,0.6,-5
2,2,2017-12-29,LAL,LAC,1:19,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,3
3,3,2018-01-07,LAL,ATL,1:04,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,1
4,4,2018-01-21,LAL,NYK,1:01,1,1,100.000,1,1,100.000,0,0,0.000,3,2.7,1
5,5,2018-01-31,LAL,ORL,7:21,0,1,0.000,0,1,0.000,1,2,50.000,1,1.6,6
6,6,2018-02-08,LAL,OKC,4:18,1,3,33.333,0,1,0.000,0,0,0.000,2,1.0,-1
7,7,2018-02-14,LAL,NOP,5:24,1,2,50.000,0,1,0.000,0,0,0.000,2,1.3,-4
8,8,2018-02-23,LAL,DAL,4:36,0,1,0.000,0,0,0.000,2,2,100.000,2,1.9,-1
9,9,2018-03-01,LAL,MIA,1:16,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.8,1
10,10,2018-03-07,LAL,ORL,2:59,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-4
11,11,2018-03-26,LAL,DET,0:38,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
12,12,2018-04-06,LAL,MIN,2:42,1,1,100.000,0,0,0.000,0,0,0.000,2,2.4,2
13,13,2018-04-08,LAL,UTA,9:25,1,1,100.000,0,0,0.000,1,1,100.000,3,5.0,6
14,14,2018-04-10,LAL,HOU,7:54,0,2,0.000,0,0,0.000,0,2,0.000,0,-3.0,-9
15,15,2018-04-11,LAL,LAC,18:16,3,8,37.500,0,5,0.000,0,0,0.000,6,6.1,-5
1,1,2018-10-24,WAS,GSW,9:20,1,5,20.000,0,2,0.000,4,4,100.000,6,4.9,1
2,2,2018-10-28,WAS,LAC,10:39,3,7,42.857,0,2,0.000,1,1,100.000,7,4.3,-12
3,3,2018-11-04,WAS,NYK,1:27,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.0,-2
4,4,2018-11-06,WAS,DAL,1:16,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
5,5,2018-11-14,WAS,CLE,4:06,2,2,100.000,0,0,0.000,2,2,100.000,6,4.9,2
6,6,2018-11-18,WAS,POR,4:57,3,3,100.000,0,0,0.000,0,1,0.000,6,7.7,7
7,7,2018-11-20,WAS,LAC,19:04,3,5,60.000,0,1,0.000,1,2,50.000,7,5.6,-1
8,8,2018-11-23,WAS,TOR,17:35,3,6,50.000,1,4,25.000,0,0,0.000,7,9.7,-2
9,9,2018-11-24,WAS,NOP,16:29,2,2,100.000,0,0,0.000,0,0,0.000,4,5.0,8
10,10,2018-11-26,WAS,HOU,12:02,2,4,50.000,0,0,0.000,0,0,0.000,4,6.1,-17
11,11,2018-11-28,WAS,NOP,14:24,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.2,-9
12,12,2018-11-30,WAS,PHI,18:42,5,7,71.429,0,1,0.000,2,2,100.000,12,12.3,-9
13,13,2018-12-01,WAS,BKN,19:29,1,3,33.333,0,2,0.000,0,0,0.000,2,1.4,-3
14,14,2018-12-03,WAS,NYK,18:46,3,4,75.000,0,1,0.000,2,2,100.000,8,7.1,14
15,15,2018-12-05,WAS,ATL,20:52,5,8,62.500,1,2,50.000,5,5,100.000,16,17.5,-5
16,16,2018-12-08,WAS,CLE,11:25,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,-8
17,17,2018-12-10,WAS,IND,19:46,4,6,66.667,0,0,0.000,2,2,100.000,10,9.7,-15
18,18,2018-12-12,WAS,BOS,18:11,4,4,100.000,0,0,0.000,0,0,0.000,8,9.6,7
19,19,2018-12-14,WAS,BKN,16:32,3,7,42.857,1,4,25.000,0,1,0.000,7,4.5,-7
20,20,2018-12-16,WAS,LAL,28:05,4,8,50.000,0,0,0.000,0,0,0.000,8,11.9,12
21,21,2018-12-18,WAS,ATL,14:17,1,2,50.000,0,0,0.000,2,4,50.000,4,3.4,-7
22,22,2018-12-19,WAS,HOU,23:43,5,6,83.333,2,2,100.000,0,0,0.000,12,12.4,-10
23,23,2018-12-22,WAS,PHX,35:54,14,14,100.000,0,0,0.000,3,3,100.000,31,31.5,12
24,24,2018-12-23,WAS,IND,17:35,3,6,50.000,1,1,100.000,4,4,100.000,11,8.3,-2
25,25,2018-12-26,WAS,DET,13:31,3,3,100.000,0,0,0.000,1,2,50.000,7,5.6,-15
26,26,2018-12-28,WAS,CHI,29:37,4,8,50.000,0,0,0.000,4,5,80.000,12,14.9,-3
27,27,2018-12-29,WAS,CHA,35:43,9,13,69.231,0,2,0.000,3,3,100.000,21,21.3,0
28,28,2019-01-02,WAS,ATL,39:13,5,7,71.429,0,1,0.000,6,6,100.000,16,19.9,20
29,29,2019-01-04,WAS,MIA,23:18,5,7,71.429,0,0,0.000,0,0,0.000,10,7.4,0
30,30,2019-01-06,WAS,OKC,21:16,6,8,75.000,0,0,0.000,2,3,66.667,14,14.3,-7
31,31,2019-01-08,WAS,PHI,17:34,3,5,60.000,1,1,100.000,2,2,100.000,9,8.6,-8
32,32,2019-01-09,WAS,PHI,14:09,4,6,66.667,1,1,100.000,0,0,0.000,9,11.0,13
33,33,2019-01-11,WAS,MIL,24:14,4,7,57.143,1,1,100.000,2,2,100.000,11,9.5,5
34,34,2019-01-13,WAS,TOR,34:09,8,13,61.538,1,2,50.000,1,1,100.000,18,16.4,-13
35,35,2019-01-17,WAS,NYK,15:40,5,7,71.429,0,0,0.000,0,0,0.000,10,11.7,-1
36,36,2019-01-21,WAS,DET,25:46,5,9,55.556,0,0,0.000,1,2,50.000,11,8.9,10
37,37,2019-01-24,WAS,GSW,21:22,6,7,85.714,2,2,100.000,0,1,0.000,14,14.8,-4
38,38,2019-01-25,WAS,ORL,20:00,5,8,62.500,0,0,0.000,1,2,50.000,11,7.7,-7
39,39,2019-01-27,WAS,SAS,30:24,5,7,71.429,1,2,50.000,4,6,66.667,15,14.3,-16
40,40,2019-01-29,WAS,CLE,23:21,1,5,20.000,1,2,50.000,2,2,100.000,5,4.2,12
41,41,2019-01-30,WAS,IND,19:06,3,5,60.000,0,0,0.000,0,0,0.000,6,5.6,14
42,42,2019-02-02,WAS,MIL,18:04,6,9,66.667,0,0,0.000,0,0,0.000,12,7.4,-24
43,43,2019-02-04,WAS,ATL,11:44,1,3,33.333,0,0,0.000,0,0,0.000,2,3.3,-14
44,44,2019-02-06,WAS,MIL,31:45,12,19,63.158,1,3,33.333,1,1,100.000,26,26.3,1
45,45,2019-02-08,WAS,CLE,18:53,6,9,66.667,0,0,0.000,1,1,100.000,13,13.0,-11
46,46,2019-02-09,WAS,CHI,16:46,5,8,62.500,1,2,50.000,2,2,100.000,13,11.0,-5
47,47,2019-02-11,WAS,DET,16:30,4,7,57.143,0,2,0.000,0,0,0.000,8,9.3,-13
48,48,2019-02-13,WAS,TOR,19:14,5,11,45.455,2,4,50.000,1,2,50.000,13,7.5,5
49,49,2019-02-22,WAS,CHA,17:13,1,6,16.667,0,2,0.000,0,0,0.000,2,2.5,1
50,50,2019-02-23,WAS,IND,31:06,9,11,81.818,3,4,75.000,2,4,50.000,23,25.8,-3
51,51,2019-02-27,WAS,BKN,19:33,6,10,60.000,0,2,0.000,6,8,75.000,18,14.3,9
52,52,2019-03-01,WAS,BOS,16:23,1,3,33.333,0,1,0.000,0,0,0.000,2,6.3,0
53,53,2019-03-03,WAS,MIN,19:42,3,7,42.857,1,3,33.333,2,2,100.000,9,5.0,-3
54,54,2019-03-06,WAS,DAL,16:28,3,6,50.000,0,2,0.000,0,0,0.000,6,6.8,2
55,55,2019-03-08,WAS,CHA,15:17,4,5,80.000,1,2,50.000,3,4,75.000,12,10.2,4
56,56,2019-03-09,WAS,MIN,15:15,3,7,42.857,0,2,0.000,2,2,100.000,8,7.6,-2
57,57,2019-03-11,WAS,SAC,13:44,0,2,0.000,0,0,0.000,2,2,100.000,2,-0.9,-3
58,58,2019-03-13,WAS,ORL,25:24,9,12,75.000,1,2,50.000,2,2,100.000,21,21.5,18
59,59,2019-03-15,WAS,CHA,19:28,3,4,75.000,0,1,0.000,0,0,0.000,6,8.7,-2
60,60,2019-03-16,WAS,MEM,19:58,1,5,20.000,0,2,0.000,8,8,100.000,10,11.8,-2
61,61,2019-03-18,WAS,UTA,19:43,2,8,25.000,0,1,0.000,1,2,50.000,5,0.3,-8
62,62,2019-03-20,WAS,CHI,15:12,2,2,100.000,1,1,100.000,0,0,0.000,5,6.6,-2
63,63,2019-03-21,WAS,DEN,35:27,9,11,81.818,0,1,0.000,4,5,80.000,22,20.5,6
64,64,2019-03-23,WAS,MIA,35:31,8,13,61.538,1,3,33.333,0,0,0.000,17,13.5,-21
65,65,2019-03-26,WAS,LAL,27:38,3,7,42.857,1,4,25.000,0,0,0.000,7,1.8,-16
66,66,2019-03-27,WAS,PHX,39:31,7,16,43.750,2,4,50.000,2,6,33.333,18,16.5,14
67,67,2019-03-29,WAS,UTA,27:13,5,11,45.455,1,5,20.000,0,0,0.000,11,8.7,-6
68,68,2019-03-31,WAS,DEN,39:55,9,16,56.250,0,2,0.000,2,3,66.667,20,19.4,4
69,69,2019-04-03,WAS,CHI,38:47,8,11,72.727,0,1,0.000,4,6,66.667,20,21.8,-5
70,70,2019-04-05,WAS,SAS,32:00,8,10,80.000,1,3,33.333,2,3,66.667,19,16.3,-12
71,71,2019-04-07,WAS,NYK,22:38,7,11,63.636,1,2,50.000,2,3,66.667,17,16.0,5
72,72,2019-04-09,WAS,BOS,17:17,6,7,85.714,1,2,50.000,1,1,100.000,14,13.3,22
1,1,2019-10-23,WAS,DAL,30:45,4,9,44.444,0,2,0.000,6,6,100.000,14,13.3,-16
2,2,2019-10-25,WAS,OKC,31:27,9,16,56.250,3,7,42.857,0,0,0.000,21,21.8,3
3,3,2019-10-26,WAS,SAS,30:25,4,11,36.364,1,4,25.000,1,2,50.000,10,4.5,-6
4,4,2019-10-30,WAS,HOU,34:18,5,10,50.000,0,1,0.000,3,4,75.000,13,17.5,-6
5,5,2019-11-02,WAS,MIN,19:47,1,6,16.667,0,2,0.000,1,2,50.000,3,4.1,-27
6,6,2019-11-04,WAS,DET,26:30,6,10,60.000,1,2,50.000,1,2,50.000,14,9.3,-5
7,7,2019-11-06,WAS,IND,34:13,6,10,60.000,1,2,50.000,7,7,100.000,20,19.1,-11
8,8,2019-11-08,WAS,CLE,33:35,11,16,68.750,0,3,0.000,1,2,50.000,23,20.1,-8
9,9,2019-11-13,WAS,BOS,28:59,5,13,38.462,0,2,0.000,4,5,80.000,14,10.7,-10
10,10,2019-11-15,WAS,MIN,22:35,5,9,55.556,0,2,0.000,2,2,100.000,12,11.2,3
11,11,2019-11-17,WAS,ORL,27:36,6,10,60.000,1,2,50.000,1,1,100.000,14,13.9,-4
12,12,2019-11-20,WAS,SAS,22:27,5,7,71.429,1,1,100.000,0,0,0.000,11,11.8,3
13,13,2019-11-22,WAS,CHA,34:23,9,12,75.000,0,1,0.000,3,5,60.000,21,19.4,21
14,14,2019-11-24,WAS,SAC,28:24,7,10,70.000,0,0,0.000,0,2,0.000,14,10.6,-1
15,15,2019-11-26,WAS,DEN,22:45,4,7,57.143,0,1,0.000,2,2,100.000,10,13.1,-14
16,16,2019-11-27,WAS,PHX,29:48,9,11,81.818,2,2,100.000,3,3,100.000,23,23.7,12
17,17,2019-11-29,WAS,LAL,22:04,2,6,33.333,0,0,0.000,1,2,50.000,5,3.0,-23
18,18,2019-12-01,WAS,LAC,30:40,3,11,27.273,0,1,0.000,3,6,50.000,9,5.2,-28
19,19,2020-01-12,WAS,UTA,15:27,4,6,66.667,0,0,0.000,0,0,0.000,8,7.0,-3
20,20,2020-01-15,WAS,CHI,12:24,2,4,50.000,1,1,100.000,0,0,0.000,5,4.0,-6
21,21,2020-01-17,WAS,TOR,16:26,1,3,33.333,0,1,0.000,1,1,100.000,3,-1.2,-11
22,22,2020-01-20,WAS,DET,21:36,6,9,66.667,1,1,100.000,0,0,0.000,13,6.5,-1
23,23,2020-01-22,WAS,MIA,16:36,3,4,75.000,0,0,0.000,0,0,0.000,6,8.6,1
24,24,2020-01-23,WAS,CLE,17:11,4,5,80.000,1,1,100.000,0,0,0.000,9,7.6,5
25,25,2020-01-26,WAS,ATL,18:04,4,6,66.667,1,2,50.000,2,2,100.000,11,8.5,-19
26,26,2020-01-28,WAS,MIL,31:54,7,11,63.636,0,2,0.000,4,4,100.000,18,20.8,-13
27,27,2020-01-30,WAS,CHA,23:22,9,11,81.818,0,0,0.000,3,4,75.000,21,15.6,7
28,28,2020-02-01,WAS,BKN,25:20,7,11,63.636,1,1,100.000,2,5,40.000,17,15.4,1
29,29,2020-02-03,WAS,GSW,29:26,3,3,100.000,0,0,0.000,5,6,83.333,11,14.5,-1
30,30,2020-02-21,WAS,CLE,16:06,4,7,57.143,0,0,0.000,0,2,0.000,8,7.6,1
31,31,2020-02-23,WAS,CHI,14:08,2,2,100.000,0,0,0.000,0,0,0.000,4,5.9,-8
