Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2011-12-27,UTA,LAL,5:35,0,2,0.000,0,0,0.000,0,0,0.000,0,0.7,1
2,2,2011-12-28,UTA,DEN,9:51,6,9,66.667,0,1,0.000,3,3,100.000,15,11.3,7
3,3,2011-12-31,UTA,SAS,2:47,2,2,100.000,0,0,0.000,0,0,0.000,4,2.4,3
4,4,2012-01-02,UTA,NEW ORLEANS HORNETS,10:31,2,4,50.000,1,1,100.000,0,0,0.000,5,2.9,8
5,5,2012-01-03,UTA,MIL,27:39,1,6,16.667,0,2,0.000,7,10,70.000,9,7.9,10
6,6,2012-01-06,UTA,MEM,15:51,2,7,28.571,0,0,0.000,3,5,60.000,7,4.0,14
7,7,2012-01-07,UTA,GSW,13:22,1,6,16.667,0,1,0.000,0,0,0.000,2,-0.8,-11
8,8,2012-01-10,UTA,CLE,8:25,2,2,100.000,0,0,0.000,0,0,0.000,4,1.6,0
9,9,2012-01-11,UTA,LAL,2:48,1,4,25.000,0,0,0.000,0,0,0.000,2,1.3,0
10,10,2012-01-14,UTA,NEW JERSEY NETS,9:11,3,6,50.000,0,0,0.000,0,1,0.000,6,1.9,-8
11,11,2012-01-15,UTA,DEN,18:29,4,7,57.143,0,1,0.000,2,3,66.667,10,5.0,12
12,12,2012-01-17,UTA,LAC,19:16,3,9,33.333,0,0,0.000,5,6,83.333,11,7.6,12
13,13,2012-01-19,UTA,DAL,21:33,3,6,50.000,1,1,100.000,3,3,100.000,10,5.9,-2
14,14,2012-01-21,UTA,MIN,13:07,2,8,25.000,0,1,0.000,0,0,0.000,4,-0.1,-2
15,15,2012-01-25,UTA,TOR,5:25,1,1,100.000,0,0,0.000,0,0,0.000,2,2.0,-3
16,16,2012-01-27,UTA,DAL,3:39,1,4,25.000,0,0,0.000,0,0,0.000,2,0.3,6
17,17,2012-01-28,UTA,SAC,9:59,3,6,50.000,2,3,66.667,0,0,0.000,8,4.7,0
18,18,2012-01-30,UTA,POR,6:21,0,2,0.000,0,0,0.000,1,2,50.000,1,-2.2,-6
19,19,2012-02-01,UTA,LAC,6:02,1,3,33.333,0,0,0.000,0,0,0.000,2,1.3,7
20,20,2012-02-02,UTA,GSW,13:42,2,5,40.000,0,1,0.000,3,3,100.000,7,3.9,-9
21,21,2012-02-12,UTA,MEM,4:37,0,1,0.000,0,0,0.000,1,2,50.000,1,-0.2,1
22,22,2012-02-13,UTA,NEW ORLEANS HORNETS,13:38,1,3,33.333,0,0,0.000,7,10,70.000,9,8.8,11
23,23,2012-02-14,UTA,OKC,19:22,3,9,33.333,0,0,0.000,4,6,66.667,10,5.4,-7
24,24,2012-02-17,UTA,WAS,20:05,6,7,85.714,1,1,100.000,0,0,0.000,13,9.6,-7
25,25,2012-02-19,UTA,HOU,10:12,0,3,0.000,0,0,0.000,0,0,0.000,0,-2.6,2
26,26,2012-02-20,UTA,SAS,16:56,3,6,50.000,0,0,0.000,1,1,100.000,7,6.3,-4
27,27,2012-02-22,UTA,MIN,15:30,3,5,60.000,0,0,0.000,0,2,0.000,6,4.9,-7
28,28,2012-02-28,UTA,SAC,19:11,5,8,62.500,0,0,0.000,1,3,33.333,11,7.3,-11
29,29,2012-02-29,UTA,HOU,18:29,3,6,50.000,0,0,0.000,0,0,0.000,6,5.8,4
30,30,2012-03-02,UTA,MIA,8:17,3,5,60.000,0,1,0.000,0,0,0.000,6,1.6,6
31,31,2012-03-03,UTA,DAL,28:36,3,7,42.857,0,0,0.000,2,2,100.000,8,0.8,2
32,32,2012-03-05,UTA,CLE,13:05,1,1,100.000,0,0,0.000,0,0,0.000,2,0.9,-3
33,33,2012-03-07,UTA,CHARLOTTE BOBCATS,8:37,1,3,33.333,0,0,0.000,0,0,0.000,2,2.0,-6
34,34,2012-03-09,UTA,PHI,10:03,2,5,40.000,0,0,0.000,2,2,100.000,6,5.0,-1
35,35,2012-03-10,UTA,CHI,19:06,4,8,50.000,0,0,0.000,3,4,75.000,11,8.9,-8
36,36,2012-03-15,UTA,MIN,31:10,6,8,75.000,0,1,0.000,3,4,75.000,15,13.4,8
37,37,2012-03-17,UTA,GSW,28:51,4,12,33.333,0,4,0.000,1,1,100.000,9,3.5,7
38,38,2012-03-18,UTA,LAL,19:30,7,10,70.000,1,1,100.000,2,3,66.667,17,12.1,-12
39,39,2012-03-20,UTA,OKC,24:42,1,6,16.667,0,1,0.000,0,0,0.000,2,-3.5,-1
40,40,2012-03-22,UTA,SAC,21:09,3,10,30.000,0,1,0.000,2,3,66.667,8,4.7,1
41,41,2012-03-23,UTA,DEN,18:34,6,10,60.000,1,2,50.000,2,5,40.000,15,11.0,-3
42,42,2012-03-25,UTA,ATL,20:56,3,9,33.333,1,3,33.333,3,4,75.000,10,8.8,-1
43,43,2012-03-26,UTA,NEW JERSEY NETS,30:47,5,11,45.455,0,1,0.000,5,5,100.000,15,11.6,13
44,44,2012-03-28,UTA,BOS,19:24,2,7,28.571,0,0,0.000,5,7,71.429,9,6.3,-11
