Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2012-01-01,CHI,MEM,5:36,1,2,50.000,0,0,0.000,0,0,0.000,2,2.0,-4
2,2,2012-01-03,CHI,ATL,0:33,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
3,3,2012-01-04,CHI,DET,0:51,0,0,0.000,0,0,0.000,2,2,100.000,2,3.0,0
4,4,2012-01-07,CHI,ATL,12:00,3,3,100.000,0,0,0.000,6,6,100.000,12,12.8,8
5,5,2012-01-09,CHI,DET,2:43,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,2
6,6,2012-01-11,CHI,WAS,1:31,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
7,7,2012-01-16,CHI,MEM,3:18,1,1,100.000,0,0,0.000,0,0,0.000,2,2.7,3
8,8,2012-01-17,CHI,PHX,4:02,0,0,0.000,0,0,0.000,1,2,50.000,1,0.6,-1
9,9,2012-01-20,CHI,CLE,4:44,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,2
10,10,2012-01-25,CHI,IND,6:11,1,1,100.000,0,0,0.000,0,0,0.000,2,-0.3,-5
11,11,2012-01-27,CHI,MIL,9:23,0,2,0.000,0,0,0.000,2,2,100.000,2,1.5,-2
12,12,2012-01-30,CHI,WAS,12:54,1,3,33.333,0,0,0.000,0,0,0.000,2,1.3,-9
13,13,2012-02-01,CHI,PHI,19:21,1,3,33.333,1,2,50.000,2,4,50.000,5,4.5,2
14,14,2012-02-02,CHI,NYK,20:43,2,5,40.000,0,0,0.000,3,4,75.000,7,6.4,-1
15,15,2012-02-04,CHI,MIL,9:26,1,1,100.000,0,0,0.000,0,0,0.000,2,4.3,8
16,16,2012-02-06,CHI,NEW JERSEY NETS,2:52,1,1,100.000,0,0,0.000,0,0,0.000,2,2.0,-2
17,17,2012-02-08,CHI,NEW ORLEANS HORNETS,7:54,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,-4
18,18,2012-02-10,CHI,CHARLOTTE BOBCATS,17:33,0,2,0.000,0,0,0.000,4,4,100.000,4,3.8,4
19,19,2012-02-18,CHI,NEW JERSEY NETS,5:06,1,2,50.000,0,0,0.000,1,2,50.000,3,3.0,2
20,20,2012-02-22,CHI,MIL,3:59,0,1,0.000,0,0,0.000,0,0,0.000,0,-1.1,-2
21,21,2012-03-02,CHI,CLE,4:52,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-6
22,22,2012-03-05,CHI,IND,0:31,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.1,2
23,23,2012-03-08,CHI,ORL,8:43,1,2,50.000,0,1,0.000,3,4,75.000,5,4.5,4
24,24,2012-03-10,CHI,UTA,27:45,2,4,50.000,0,0,0.000,4,6,66.667,8,7.2,11
25,25,2012-03-12,CHI,NYK,28:56,3,7,42.857,0,2,0.000,2,3,66.667,8,7.0,-1
26,26,2012-03-14,CHI,MIA,12:13,1,5,20.000,0,1,0.000,6,6,100.000,8,5.5,10
27,27,2012-03-16,CHI,POR,14:35,1,2,50.000,1,1,100.000,0,0,0.000,3,1.3,-7
28,28,2012-03-17,CHI,PHI,6:28,0,0,0.000,0,0,0.000,0,0,0.000,0,1.3,1
29,29,2012-03-19,CHI,ORL,2:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
30,30,2012-03-24,CHI,TOR,8:22,0,3,0.000,0,1,0.000,0,0,0.000,0,-1.8,2
31,31,2012-03-26,CHI,DEN,8:16,2,5,40.000,0,1,0.000,0,0,0.000,4,2.7,1
32,32,2012-03-28,CHI,ATL,1:18,0,0,0.000,0,0,0.000,0,0,0.000,0,0.7,2
33,33,2012-04-01,CHI,OKC,12:00,0,3,0.000,0,0,0.000,2,2,100.000,2,0.8,15
34,34,2012-04-02,CHI,HOU,0:21,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
35,35,2012-04-05,CHI,BOS,0:09,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
36,36,2012-04-08,CHI,NYK,0:22,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
37,37,2012-04-10,CHI,NYK,12:11,1,4,25.000,0,1,0.000,0,0,0.000,2,1.2,8
