Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2022-10-19,HOU,ATL,12:39,3,6,50.000,0,2,0.000,0,0,0.000,6,5.3,-5
2,2,2022-10-21,HOU,MEM,3:26,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.4,-7
3,3,2022-10-22,HOU,MIL,15:55,1,5,20.000,0,2,0.000,1,2,50.000,3,-0.2,-15
4,4,2022-10-24,HOU,UTA,4:23,1,2,50.000,0,1,0.000,0,0,0.000,2,0.6,-4
5,5,2022-10-28,HOU,POR,0:58,1,1,100.000,0,0,0.000,0,0,0.000,2,0.7,0
6,6,2022-10-30,HOU,PHX,12:48,3,7,42.857,1,3,33.333,0,0,0.000,7,2.4,-12
7,7,2022-10-31,HOU,LAC,4:18,0,0,0.000,0,0,0.000,0,0,0.000,0,0.7,7
8,8,2022-11-05,HOU,MIN,14:39,2,6,33.333,0,2,0.000,0,0,0.000,4,2.9,0
9,9,2022-11-12,HOU,NOP,6:04,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.1,-4
10,10,2022-11-14,HOU,LAC,10:15,3,7,42.857,2,2,100.000,0,0,0.000,8,2.4,-6
11,11,2022-11-16,HOU,DAL,4:33,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,-4
12,12,2022-11-18,HOU,IND,3:31,1,1,100.000,0,0,0.000,0,0,0.000,2,2.4,-8
13,13,2022-11-25,HOU,ATL,5:19,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.1,-10
14,14,2022-11-26,HOU,OKC,2:25,1,2,50.000,0,0,0.000,0,0,0.000,2,-0.4,-9
15,15,2022-11-28,HOU,DEN,6:07,1,2,50.000,0,0,0.000,2,2,100.000,4,3.7,4
16,16,2022-11-30,HOU,DEN,3:06,2,2,100.000,0,0,0.000,0,0,0.000,4,3.4,3
17,17,2022-12-03,HOU,GSW,11:10,2,4,50.000,0,0,0.000,2,2,100.000,6,6.4,4
18,18,2022-12-08,HOU,SAS,4:30,1,2,50.000,0,0,0.000,0,0,0.000,2,1.6,11
19,19,2022-12-23,HOU,DAL,4:23,0,1,0.000,0,0,0.000,0,0,0.000,0,0.0,-5
20,20,2022-12-27,HOU,BOS,7:32,0,2,0.000,0,0,0.000,1,2,50.000,1,-0.9,-5
21,21,2022-12-31,HOU,NYK,3:01,0,1,0.000,0,1,0.000,0,0,0.000,0,0.0,-3
22,22,2023-01-04,HOU,NOP,5:08,2,4,50.000,0,2,0.000,0,0,0.000,4,2.6,9
23,23,2023-01-11,HOU,SAC,2:01,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.7,-3
24,24,2023-01-13,HOU,SAC,18:15,2,6,33.333,1,3,33.333,0,0,0.000,5,-0.2,-8
25,25,2023-01-15,HOU,LAC,18:26,2,9,22.222,0,6,0.000,3,4,75.000,7,3.5,-13
26,26,2023-01-16,HOU,LAL,10:23,0,4,0.000,0,2,0.000,0,0,0.000,0,-1.4,4
27,27,2023-01-18,HOU,CHA,10:53,4,6,66.667,0,1,0.000,0,0,0.000,8,4.4,-7
28,28,2023-01-21,HOU,MIN,14:54,5,9,55.556,0,1,0.000,0,0,0.000,10,8.0,2
29,29,2023-01-23,HOU,MIN,3:51,0,2,0.000,0,0,0.000,0,0,0.000,0,-0.7,-6
30,30,2023-01-25,HOU,WAS,8:50,2,2,100.000,0,0,0.000,2,2,100.000,6,7.1,-16
31,31,2023-01-26,HOU,CLE,19:14,2,5,40.000,0,0,0.000,3,3,100.000,7,2.6,-21
32,32,2023-01-28,HOU,DET,16:07,4,8,50.000,1,3,33.333,2,4,50.000,11,5.6,-2
33,33,2023-02-01,HOU,OKC,13:35,4,7,57.143,0,1,0.000,3,4,75.000,11,8.2,-3
34,34,2023-02-03,HOU,TOR,18:46,7,8,87.500,1,1,100.000,0,0,0.000,15,14.2,-1
35,35,2023-02-04,HOU,OKC,28:20,7,11,63.636,2,2,100.000,4,6,66.667,20,15.7,-4
36,36,2023-02-06,HOU,SAC,15:48,2,5,40.000,0,1,0.000,1,2,50.000,5,1.8,-12
37,37,2023-02-08,HOU,SAC,11:31,1,1,100.000,0,0,0.000,2,2,100.000,4,5.3,-1
38,38,2023-02-10,HOU,MIA,10:20,3,7,42.857,1,1,100.000,0,0,0.000,7,5.2,6
39,39,2023-02-13,HOU,PHI,16:04,1,6,16.667,0,2,0.000,0,0,0.000,2,-2.1,1
40,40,2023-02-15,HOU,OKC,22:21,4,6,66.667,1,1,100.000,1,2,50.000,10,5.8,-13
41,41,2023-02-24,HOU,GSW,17:32,6,10,60.000,1,4,25.000,0,0,0.000,13,8.3,-13
42,42,2023-02-26,HOU,POR,14:36,1,5,20.000,1,3,33.333,0,0,0.000,3,0.8,-10
43,43,2023-02-28,HOU,DEN,22:42,5,11,45.455,1,3,33.333,0,0,0.000,11,7.2,6
44,44,2023-03-01,HOU,MEM,15:36,1,3,33.333,1,2,50.000,1,2,50.000,4,3.2,1
