Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2009-10-28,TOR,CLE,23:35,3,6,50.000,0,1,0.000,2,2,100.000,8,7.1,11
2,2,2009-10-30,TOR,MEM,20:02,3,7,42.857,0,0,0.000,0,0,0.000,6,5.6,3
3,3,2009-11-01,TOR,ORL,18:45,3,5,60.000,1,1,100.000,1,2,50.000,8,5.8,-6
4,4,2009-11-04,TOR,DET,18:10,1,5,20.000,0,0,0.000,1,2,50.000,3,3.9,-10
5,5,2009-11-06,TOR,NEW ORLEANS HORNETS,18:03,2,3,66.667,0,0,0.000,0,0,0.000,4,4.0,7
6,6,2009-11-07,TOR,DAL,17:02,1,1,100.000,0,0,0.000,0,2,0.000,2,1.3,-10
7,7,2009-11-09,TOR,SAS,12:58,1,2,50.000,0,0,0.000,0,0,0.000,2,1.6,4
8,8,2009-11-11,TOR,CHI,18:45,4,10,40.000,1,1,100.000,0,0,0.000,9,6.6,9
9,9,2009-11-13,TOR,LAC,11:03,1,4,25.000,0,0,0.000,0,0,0.000,2,-1.5,5
10,10,2009-11-15,TOR,PHX,19:28,3,7,42.857,0,1,0.000,0,0,0.000,6,4.2,-1
11,11,2009-11-17,TOR,DEN,22:34,6,9,66.667,1,2,50.000,4,6,66.667,17,12.2,1
12,12,2009-11-18,TOR,UTA,14:41,1,5,20.000,0,1,0.000,0,0,0.000,2,-0.2,-10
13,13,2009-11-20,TOR,MIA,22:21,2,4,50.000,0,1,0.000,3,3,100.000,7,4.0,-7
14,14,2009-11-22,TOR,ORL,17:04,0,2,0.000,0,0,0.000,1,2,50.000,1,-1.4,-4
15,15,2009-11-24,TOR,IND,10:03,2,4,50.000,0,0,0.000,4,5,80.000,8,5.5,-5
16,16,2009-11-25,TOR,CHARLOTTE BOBCATS,24:45,4,12,33.333,0,0,0.000,4,4,100.000,12,5.1,-25
17,17,2009-11-27,TOR,BOS,16:47,4,8,50.000,1,1,100.000,0,0,0.000,9,5.9,-9
18,18,2009-11-29,TOR,PHX,23:23,4,9,44.444,0,1,0.000,6,6,100.000,14,8.7,-22
19,19,2009-12-01,TOR,WAS,15:48,1,4,25.000,0,0,0.000,0,0,0.000,2,-0.4,-4
20,20,2009-12-02,TOR,ATL,30:00,6,11,54.545,0,0,0.000,9,12,75.000,21,15.6,-15
21,21,2009-12-04,TOR,WAS,27:02,6,10,60.000,0,1,0.000,4,5,80.000,16,10.7,10
22,22,2009-12-05,TOR,CHI,24:53,3,8,37.500,0,1,0.000,5,5,100.000,11,6.8,23
23,23,2009-12-08,TOR,MIN,24:35,4,10,40.000,0,0,0.000,7,7,100.000,15,9.0,13
24,24,2009-12-09,TOR,MIL,24:29,2,4,50.000,0,0,0.000,4,6,66.667,8,5.2,-11
25,25,2009-12-11,TOR,ATL,23:31,0,5,0.000,0,0,0.000,2,4,50.000,2,-2.1,-3
26,26,2009-12-13,TOR,HOU,21:12,1,4,25.000,0,0,0.000,0,0,0.000,2,2.1,22
27,27,2009-12-15,TOR,MIA,27:41,2,9,22.222,0,0,0.000,0,0,0.000,4,1.8,-14
28,28,2009-12-16,TOR,ORL,17:10,2,5,40.000,0,0,0.000,0,0,0.000,4,2.8,-11
29,29,2009-12-18,TOR,NEW JERSEY NETS,24:21,6,8,75.000,0,0,0.000,4,5,80.000,16,13.4,16
30,30,2009-12-20,TOR,NEW ORLEANS HORNETS,20:41,5,8,62.500,0,0,0.000,0,0,0.000,10,6.6,7
31,31,2009-12-23,TOR,DET,18:39,2,5,40.000,0,0,0.000,2,2,100.000,6,2.1,6
32,32,2009-12-27,TOR,DET,15:44,2,4,50.000,0,0,0.000,0,0,0.000,4,3.2,-5
33,33,2009-12-30,TOR,CHARLOTTE BOBCATS,19:39,4,7,57.143,0,0,0.000,2,2,100.000,10,8.2,2
34,34,2010-01-02,TOR,BOS,14:30,1,3,33.333,0,0,0.000,1,2,50.000,3,-0.7,-2
35,35,2010-01-03,TOR,SAS,22:48,5,8,62.500,0,0,0.000,1,1,100.000,11,6.8,-6
36,36,2010-01-06,TOR,ORL,19:16,6,7,85.714,0,0,0.000,0,0,0.000,12,9.7,2
37,37,2010-01-08,TOR,PHI,23:58,4,7,57.143,0,0,0.000,4,4,100.000,12,11.6,-3
38,38,2010-01-10,TOR,BOS,25:07,3,5,60.000,0,0,0.000,1,2,50.000,7,4.1,-7
39,39,2010-01-11,TOR,IND,20:03,3,7,42.857,0,1,0.000,1,2,50.000,7,2.3,-1
40,40,2010-01-15,TOR,NYK,29:25,4,8,50.000,0,0,0.000,11,14,78.571,19,15.0,1
41,41,2010-01-17,TOR,DAL,24:07,4,9,44.444,0,0,0.000,0,0,0.000,8,3.4,-6
42,42,2010-01-19,TOR,CLE,27:23,6,10,60.000,0,1,0.000,2,2,100.000,14,11.4,-4
43,43,2010-01-20,TOR,MIL,26:16,1,6,16.667,0,0,0.000,0,0,0.000,2,1.6,-10
44,44,2010-01-22,TOR,MIL,20:57,5,8,62.500,0,0,0.000,2,2,100.000,12,9.5,-5
