Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2012-10-31,DET,HOU,12:53,1,1,100.000,0,0,0.000,0,0,0.000,2,2.2,0
2,2,2012-11-02,DET,PHX,18:50,2,3,66.667,0,0,0.000,1,3,33.333,5,7.4,3
3,3,2012-11-04,DET,LAL,21:42,2,6,33.333,0,0,0.000,1,2,50.000,5,4.5,2
4,4,2012-11-06,DET,DEN,12:13,3,3,100.000,1,1,100.000,0,0,0.000,7,8.1,-8
5,5,2012-11-07,DET,SAC,5:58,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,-4
6,6,2012-11-09,DET,OKC,20:30,8,10,80.000,0,0,0.000,6,9,66.667,22,21.3,0
7,7,2012-11-10,DET,HOU,20:11,2,2,100.000,0,0,0.000,3,6,50.000,7,8.7,-9
8,8,2012-11-12,DET,OKC,12:49,2,3,66.667,0,0,0.000,0,0,0.000,4,6.5,0
9,9,2012-11-14,DET,PHI,11:14,3,6,50.000,0,0,0.000,0,2,0.000,6,3.8,2
10,10,2012-11-16,DET,ORL,14:52,5,6,83.333,0,0,0.000,0,0,0.000,10,9.5,-9
11,11,2012-11-18,DET,BOS,17:59,2,3,66.667,0,0,0.000,0,0,0.000,4,5.1,11
12,12,2012-11-21,DET,ORL,18:55,2,4,50.000,0,0,0.000,0,0,0.000,4,4.0,0
13,13,2012-11-23,DET,TOR,24:24,6,11,54.545,0,0,0.000,1,6,16.667,13,13.0,-2
14,14,2012-11-25,DET,NYK,19:02,1,6,16.667,0,0,0.000,0,0,0.000,2,3.6,-9
15,15,2012-11-26,DET,POR,14:14,1,6,16.667,0,0,0.000,0,0,0.000,2,0.0,8
16,16,2012-11-28,DET,PHX,24:47,3,7,42.857,0,0,0.000,0,2,0.000,6,5.6,21
17,17,2012-11-30,DET,MEM,18:54,2,3,66.667,0,1,0.000,0,0,0.000,4,5.3,-9
18,18,2012-12-01,DET,DAL,12:28,1,1,100.000,0,0,0.000,0,0,0.000,2,5.4,1
19,19,2012-12-03,DET,CLE,19:31,3,8,37.500,0,0,0.000,1,4,25.000,7,11.6,-1
20,20,2012-12-05,DET,GSW,30:38,6,8,75.000,0,0,0.000,3,7,42.857,15,16.0,17
21,21,2012-12-07,DET,CHI,22:41,3,3,100.000,0,0,0.000,1,2,50.000,7,7.1,3
22,22,2012-12-08,DET,CLE,21:08,4,6,66.667,0,0,0.000,1,3,33.333,9,7.0,10
23,23,2012-12-10,DET,PHI,13:30,0,1,0.000,0,0,0.000,0,0,0.000,0,0.6,1
24,24,2012-12-11,DET,DEN,21:24,3,4,75.000,0,0,0.000,1,2,50.000,7,10.8,-8
25,25,2012-12-14,DET,BKN,18:23,4,8,50.000,0,0,0.000,0,0,0.000,8,9.2,-6
26,26,2012-12-15,DET,IND,29:01,5,7,71.429,0,0,0.000,1,2,50.000,11,14.2,8
27,27,2012-12-17,DET,LAC,19:42,2,8,25.000,0,0,0.000,3,4,75.000,7,6.1,-4
28,28,2012-12-19,DET,TOR,20:23,2,3,66.667,0,0,0.000,2,7,28.571,6,6.2,-4
29,29,2012-12-21,DET,WAS,21:15,5,7,71.429,0,0,0.000,1,4,25.000,11,17.6,10
30,30,2012-12-22,DET,WAS,23:54,2,8,25.000,0,0,0.000,0,0,0.000,4,3.3,-7
31,31,2012-12-26,DET,ATL,36:02,7,9,77.778,0,0,0.000,2,4,50.000,16,17.0,7
32,32,2012-12-28,DET,MIA,23:26,5,7,71.429,0,0,0.000,0,0,0.000,10,9.3,12
33,33,2012-12-30,DET,MIL,19:28,4,4,100.000,0,0,0.000,0,0,0.000,8,11.3,3
34,34,2013-01-01,DET,SAC,21:27,3,6,50.000,0,0,0.000,1,2,50.000,7,10.4,11
35,35,2013-01-04,DET,ATL,19:45,3,5,60.000,0,0,0.000,0,0,0.000,6,6.6,8
36,36,2013-01-06,DET,CHARLOTTE BOBCATS,27:31,5,6,83.333,0,0,0.000,0,2,0.000,10,10.6,-13
37,37,2013-01-11,DET,MIL,17:00,4,7,57.143,0,0,0.000,0,0,0.000,8,13.1,-10
38,38,2013-01-12,DET,UTA,20:53,4,5,80.000,0,0,0.000,1,4,25.000,9,7.4,-5
39,39,2013-01-17,DET,NYK,22:32,5,7,71.429,0,0,0.000,1,2,50.000,11,14.8,-12
40,40,2013-01-20,DET,BOS,20:19,5,6,83.333,0,0,0.000,6,8,75.000,16,16.8,2
