Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2019-10-23,CLE,ORL,31:32,3,9,33.333,2,4,50.000,0,0,0.000,8,5.4,-7
2,2,2019-10-26,CLE,IND,29:23,5,12,41.667,2,5,40.000,0,0,0.000,12,5.3,0
3,3,2019-10-28,CLE,MIL,23:02,4,11,36.364,1,5,20.000,0,0,0.000,9,1.4,-11
4,4,2019-10-30,CLE,CHI,25:17,4,11,36.364,1,4,25.000,0,0,0.000,9,0.1,1
5,5,2019-11-01,CLE,IND,25:31,0,10,0.000,0,2,0.000,2,4,50.000,2,-3.4,2
6,6,2019-11-03,CLE,DAL,26:26,3,8,37.500,1,4,25.000,2,2,100.000,9,8.4,-11
7,7,2019-11-05,CLE,BOS,28:04,2,11,18.182,0,3,0.000,0,0,0.000,4,-2.7,-5
8,8,2019-11-08,CLE,WAS,31:46,6,11,54.545,1,2,50.000,2,2,100.000,15,14.5,13
9,9,2019-11-10,CLE,NYK,34:07,3,8,37.500,0,1,0.000,6,6,100.000,12,9.7,26
10,10,2019-11-12,CLE,PHI,28:16,3,10,30.000,0,2,0.000,0,0,0.000,6,4.7,-1
11,11,2019-11-14,CLE,MIA,24:41,4,10,40.000,3,7,42.857,0,0,0.000,11,5.9,-16
12,12,2019-11-17,CLE,PHI,24:48,4,13,30.769,1,3,33.333,2,2,100.000,11,4.1,-14
13,13,2019-11-18,CLE,NYK,29:23,4,9,44.444,2,5,40.000,0,2,0.000,10,3.3,-27
14,14,2019-11-20,CLE,MIA,24:31,4,12,33.333,2,7,28.571,0,0,0.000,10,1.9,-13
15,15,2019-11-22,CLE,DAL,33:31,9,16,56.250,5,8,62.500,0,0,0.000,23,16.5,-17
16,16,2019-11-23,CLE,POR,26:36,3,12,25.000,1,6,16.667,2,2,100.000,9,2.3,-3
17,17,2019-11-25,CLE,BKN,22:03,4,10,40.000,3,5,60.000,0,0,0.000,11,2.2,-4
18,18,2019-11-27,CLE,ORL,31:23,5,8,62.500,2,4,50.000,4,4,100.000,16,4.2,-12
19,19,2019-11-29,CLE,MIL,35:15,8,14,57.143,5,7,71.429,0,0,0.000,21,17.9,-3
20,20,2019-12-03,CLE,DET,27:49,3,9,33.333,0,2,0.000,1,1,100.000,7,0.8,-15
21,21,2019-12-06,CLE,ORL,30:06,3,8,37.500,1,5,20.000,2,2,100.000,9,3.6,9
22,22,2019-12-07,CLE,PHI,30:35,7,20,35.000,3,9,33.333,0,0,0.000,17,7.8,-32
23,23,2019-12-09,CLE,BOS,24:11,4,11,36.364,1,3,33.333,0,0,0.000,9,2.5,-31
24,24,2019-12-11,CLE,HOU,22:01,4,8,50.000,3,6,50.000,0,0,0.000,11,5.6,-12
25,25,2019-12-12,CLE,SAS,25:05,3,8,37.500,2,6,33.333,0,0,0.000,8,3.8,4
26,26,2019-12-14,CLE,MIL,30:09,4,11,36.364,2,5,40.000,0,0,0.000,10,6.0,0
27,27,2019-12-16,CLE,TOR,37:47,7,14,50.000,4,8,50.000,2,2,100.000,20,17.7,-16
28,28,2019-12-18,CLE,CHA,27:08,3,10,30.000,1,7,14.286,0,0,0.000,7,1.9,6
29,29,2019-12-20,CLE,MEM,29:00,4,10,40.000,2,5,40.000,4,4,100.000,14,11.9,1
30,30,2019-12-23,CLE,ATL,26:11,9,14,64.286,3,5,60.000,0,0,0.000,21,12.6,-1
31,31,2019-12-27,CLE,BOS,27:43,1,7,14.286,0,2,0.000,0,0,0.000,2,-5.1,-21
32,32,2019-12-28,CLE,MIN,28:51,8,11,72.727,2,4,50.000,0,1,0.000,18,11.2,11
33,33,2019-12-31,CLE,TOR,34:13,5,11,45.455,2,7,28.571,0,0,0.000,12,8.6,-14
34,34,2020-01-02,CLE,CHA,34:07,5,12,41.667,3,9,33.333,1,2,50.000,14,14.7,17
35,35,2020-01-04,CLE,OKC,34:48,6,13,46.154,3,7,42.857,5,6,83.333,20,15.3,-9
36,36,2020-01-05,CLE,MIN,35:19,4,12,33.333,2,5,40.000,4,4,100.000,14,6.2,-10
37,37,2020-01-07,CLE,DET,35:39,4,12,33.333,2,5,40.000,4,4,100.000,14,10.5,1
38,38,2020-01-09,CLE,DET,41:28,8,14,57.143,2,4,50.000,2,2,100.000,20,15.9,-1
39,39,2020-01-11,CLE,DEN,37:39,8,16,50.000,2,9,22.222,0,0,0.000,18,14.2,11
40,40,2020-01-13,CLE,LAL,29:21,7,13,53.846,2,6,33.333,0,0,0.000,16,10.9,-5
41,41,2020-01-14,CLE,LAC,27:41,5,16,31.250,2,7,28.571,2,2,100.000,14,8.6,-24
42,42,2020-01-17,CLE,MEM,30:40,4,12,33.333,1,5,20.000,2,2,100.000,11,6.4,-17
43,43,2020-01-18,CLE,CHI,37:36,6,14,42.857,3,7,42.857,1,1,100.000,16,4.6,2
44,44,2020-01-20,CLE,NYK,35:18,4,20,20.000,1,6,16.667,2,3,66.667,11,-0.6,-9
45,45,2020-01-23,CLE,WAS,38:08,4,17,23.529,3,9,33.333,2,2,100.000,13,3.0,6
46,46,2020-01-25,CLE,CHI,34:52,5,12,41.667,2,5,40.000,1,1,100.000,13,3.8,-11
47,47,2020-01-27,CLE,DET,25:02,3,10,30.000,0,2,0.000,0,0,0.000,6,1.0,10
48,48,2020-01-30,CLE,TOR,35:16,7,16,43.750,1,4,25.000,1,2,50.000,16,12.9,-11
49,49,2020-02-01,CLE,GSW,32:03,5,15,33.333,3,7,42.857,2,2,100.000,15,3.4,-13
50,50,2020-02-03,CLE,NYK,39:19,5,10,50.000,4,7,57.143,0,0,0.000,14,13.1,-9
51,51,2020-02-05,CLE,OKC,34:46,5,11,45.455,2,5,40.000,0,0,0.000,12,9.1,-4
52,52,2020-02-09,CLE,LAC,28:27,3,11,27.273,0,4,0.000,0,0,0.000,6,1.9,-23
53,53,2020-02-12,CLE,ATL,31:50,5,12,41.667,0,2,0.000,2,2,100.000,12,7.6,19
54,54,2020-02-21,CLE,WAS,36:12,6,11,54.545,2,4,50.000,1,1,100.000,15,10.3,17
55,55,2020-02-22,CLE,MIA,33:16,6,11,54.545,2,5,40.000,0,0,0.000,14,11.8,-14
56,56,2020-02-24,CLE,MIA,39:42,5,12,41.667,2,4,50.000,2,2,100.000,14,15.1,11
57,57,2020-02-26,CLE,PHI,33:31,5,12,41.667,2,5,40.000,0,0,0.000,12,4.3,9
58,58,2020-02-28,CLE,NOP,35:50,7,15,46.667,1,3,33.333,0,0,0.000,15,9.3,-11
59,59,2020-02-29,CLE,IND,29:45,5,13,38.462,0,2,0.000,0,0,0.000,10,4.6,-14
1,1,2020-12-23,CLE,CHA,32:33,7,13,53.846,4,8,50.000,4,4,100.000,22,19.5,4
2,2,2020-12-26,CLE,DET,43:59,9,14,64.286,3,3,100.000,0,0,0.000,21,25.0,19
3,3,2020-12-27,CLE,PHI,28:56,7,15,46.667,0,3,0.000,0,0,0.000,14,10.4,21
4,4,2020-12-29,CLE,NYK,37:02,6,18,33.333,3,8,37.500,2,2,100.000,17,12.3,-5
5,5,2020-12-31,CLE,IND,38:11,8,14,57.143,5,7,71.429,0,0,0.000,21,11.3,-21
6,6,2021-01-02,CLE,ATL,34:20,3,14,21.429,0,3,0.000,2,3,66.667,8,-3.9,7
7,7,2021-01-22,CLE,BKN,22:08,4,13,30.769,1,4,25.000,2,2,100.000,11,3.2,-4
8,8,2021-01-24,CLE,BOS,23:07,1,9,11.111,0,6,0.000,2,2,100.000,4,0.5,-15
9,9,2021-01-25,CLE,LAL,25:38,5,10,50.000,0,0,0.000,1,1,100.000,11,7.7,-9
10,10,2021-01-27,CLE,DET,31:18,6,11,54.545,2,2,100.000,0,0,0.000,14,11.1,2
11,11,2021-01-29,CLE,NYK,29:06,9,17,52.941,4,6,66.667,2,2,100.000,24,14.9,-7
12,12,2021-01-31,CLE,MIN,31:19,6,14,42.857,1,3,33.333,4,5,80.000,17,9.1,-5
13,13,2021-02-01,CLE,MIN,38:24,9,18,50.000,1,4,25.000,0,0,0.000,19,16.2,7
14,14,2021-02-03,CLE,LAC,34:41,11,18,61.111,1,1,100.000,0,0,0.000,23,16.2,-25
15,15,2021-02-05,CLE,MIL,29:31,6,14,42.857,1,3,33.333,0,1,0.000,13,6.8,-23
16,16,2021-02-06,CLE,MIL,34:24,7,12,58.333,1,5,20.000,2,2,100.000,17,15.2,-20
17,17,2021-02-08,CLE,PHX,37:07,6,18,33.333,1,3,33.333,4,4,100.000,17,11.1,1
18,18,2021-02-10,CLE,DEN,26:24,3,6,50.000,1,3,33.333,0,0,0.000,7,6.6,-28
19,19,2021-02-12,CLE,POR,32:46,7,16,43.750,3,6,50.000,0,0,0.000,17,9.2,-31
20,20,2021-02-14,CLE,LAC,28:26,9,15,60.000,2,4,50.000,0,0,0.000,20,17.4,-14
21,21,2021-02-15,CLE,GSW,39:38,6,20,30.000,1,4,25.000,3,3,100.000,16,2.9,-39
22,22,2021-02-19,CLE,DEN,35:30,6,15,40.000,2,7,28.571,0,0,0.000,14,8.9,-11
23,23,2021-02-21,CLE,OKC,38:22,7,14,50.000,2,5,40.000,5,6,83.333,21,20.7,-6
24,24,2021-02-23,CLE,ATL,42:32,7,19,36.842,1,5,20.000,2,4,50.000,17,9.3,1
25,25,2021-02-24,CLE,HOU,35:23,4,14,28.571,3,10,30.000,0,0,0.000,11,2.2,19
26,26,2021-02-27,CLE,PHI,42:08,9,24,37.500,2,5,40.000,5,7,71.429,25,15.5,-1
27,27,2021-03-01,CLE,HOU,29:41,5,13,38.462,0,3,0.000,4,4,100.000,14,9.9,7
28,28,2021-03-03,CLE,IND,19:24,6,9,66.667,3,4,75.000,1,1,100.000,16,12.2,16
29,29,2021-03-14,CLE,ATL,29:27,4,9,44.444,2,6,33.333,1,2,50.000,11,8.7,-20
30,30,2021-03-16,CLE,MIA,33:38,4,11,36.364,2,4,50.000,1,1,100.000,11,2.9,-17
31,31,2021-03-17,CLE,BOS,37:52,9,16,56.250,2,5,40.000,5,6,83.333,25,19.4,2
32,32,2021-03-19,CLE,SAS,36:03,8,16,50.000,2,4,50.000,11,11,100.000,29,23.1,-2
33,33,2021-03-21,CLE,TOR,35:58,5,10,50.000,1,1,100.000,4,7,57.143,15,9.1,9
34,34,2021-03-22,CLE,SAC,27:55,6,15,40.000,2,4,50.000,3,4,75.000,17,8.3,-26
35,35,2021-03-24,CLE,CHI,36:45,8,20,40.000,4,6,66.667,2,2,100.000,22,15.1,14
36,36,2021-03-26,CLE,LAL,33:26,6,17,35.294,1,6,16.667,1,1,100.000,14,4.8,-10
37,37,2021-03-27,CLE,SAC,33:25,7,18,38.889,1,3,33.333,3,4,75.000,18,10.1,-6
38,38,2021-03-29,CLE,UTA,35:35,8,16,50.000,2,4,50.000,0,0,0.000,18,13.4,-33
39,39,2021-04-01,CLE,PHI,33:25,3,8,37.500,0,3,0.000,0,0,0.000,6,1.6,-15
40,40,2021-04-03,CLE,MIA,38:21,4,8,50.000,2,4,50.000,2,2,100.000,12,13.4,-17
41,41,2021-04-05,CLE,SAS,29:59,14,22,63.636,5,10,50.000,4,4,100.000,37,33.3,20
42,42,2021-04-08,CLE,OKC,31:55,8,15,53.333,3,7,42.857,2,2,100.000,21,14.7,19
43,43,2021-04-10,CLE,TOR,35:36,7,17,41.176,3,7,42.857,2,2,100.000,19,15.1,-9
44,44,2021-04-14,CLE,CHA,35:41,7,13,53.846,3,7,42.857,0,0,0.000,17,15.1,5
45,45,2021-04-15,CLE,GSW,34:46,7,20,35.000,2,7,28.571,4,5,80.000,20,12.9,-2
46,46,2021-04-17,CLE,CHI,40:09,9,21,42.857,4,8,50.000,0,0,0.000,22,19.3,4
47,47,2021-04-19,CLE,DET,36:27,9,19,47.368,2,8,25.000,3,5,60.000,23,16.3,-9
48,48,2021-04-21,CLE,CHI,29:27,8,13,61.538,4,4,100.000,5,5,100.000,25,20.7,18
49,49,2021-04-23,CLE,CHA,37:26,12,20,60.000,2,5,40.000,1,2,50.000,27,22.0,-3
50,50,2021-04-25,CLE,WAS,39:41,9,20,45.000,4,8,50.000,6,6,100.000,28,19.3,3
51,51,2021-04-26,CLE,TOR,33:45,5,13,38.462,1,5,20.000,2,2,100.000,13,11.1,-4
52,52,2021-04-28,CLE,ORL,38:58,10,24,41.667,2,9,22.222,3,4,75.000,25,17.0,0
53,53,2021-04-30,CLE,WAS,20:19,5,11,45.455,0,4,0.000,2,2,100.000,12,6.0,-3
54,54,2021-05-14,CLE,WAS,11:58,1,3,33.333,1,2,50.000,0,0,0.000,3,2.7,5
1,1,2021-10-20,CLE,MEM,31:55,5,15,33.333,3,10,30.000,0,0,0.000,13,10.4,0
2,2,2021-10-25,CLE,DEN,31:07,4,9,44.444,1,3,33.333,0,0,0.000,9,8.1,12
3,3,2021-10-27,CLE,LAC,27:58,5,8,62.500,2,3,66.667,4,4,100.000,16,12.8,10
4,4,2021-10-29,CLE,LAL,32:17,6,14,42.857,3,9,33.333,3,4,75.000,18,13.2,-5
5,5,2021-10-30,CLE,PHX,31:31,5,11,45.455,1,5,20.000,0,0,0.000,11,6.0,-8
6,6,2021-11-01,CLE,CHA,35:07,5,13,38.462,1,6,16.667,5,7,71.429,16,11.4,-9
7,7,2021-11-03,CLE,POR,36:23,6,9,66.667,5,6,83.333,2,2,100.000,19,19.9,4
8,8,2021-11-05,CLE,TOR,36:22,8,12,66.667,2,3,66.667,3,3,100.000,21,18.3,1
9,9,2021-11-07,CLE,NYK,35:17,6,14,42.857,4,5,80.000,0,0,0.000,16,10.6,19
10,10,2021-11-10,CLE,WAS,36:13,8,16,50.000,3,10,30.000,0,0,0.000,19,10.3,5
11,11,2021-11-12,CLE,DET,34:51,8,14,57.143,4,9,44.444,1,1,100.000,21,19.1,29
12,12,2021-11-13,CLE,BOS,35:53,7,15,46.667,2,8,25.000,6,6,100.000,22,17.3,-4
13,13,2021-11-15,CLE,BOS,34:43,6,15,40.000,3,7,42.857,2,3,66.667,17,7.4,-9
14,14,2021-11-17,CLE,BKN,40:04,10,26,38.462,3,13,23.077,1,1,100.000,24,15.9,-11
15,15,2021-11-18,CLE,GSW,38:01,10,22,45.455,4,11,36.364,1,1,100.000,25,12.0,-2
16,16,2021-11-22,CLE,BKN,38:35,9,27,33.333,2,10,20.000,4,4,100.000,24,15.5,13
17,17,2021-11-24,CLE,PHX,30:03,8,19,42.105,0,6,0.000,3,5,60.000,19,10.9,-10
18,18,2021-11-27,CLE,ORL,36:18,11,21,52.381,3,7,42.857,1,2,50.000,26,20.8,16
19,19,2021-11-29,CLE,DAL,32:41,7,13,53.846,1,3,33.333,3,3,100.000,18,12.4,22
