Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2014-10-28,ORL,NOP,28:27,5,8,62.500,1,2,50.000,0,0,0.000,11,6.6,-18
2,2,2014-10-30,ORL,WAS,17:30,2,4,50.000,0,1,0.000,0,1,0.000,4,2.1,-15
3,3,2014-11-01,ORL,TOR,6:36,0,1,0.000,0,0,0.000,0,0,0.000,0,-1.2,-2
4,4,2014-11-04,ORL,CHI,13:43,3,6,50.000,0,2,0.000,0,0,0.000,6,3.6,-2
5,5,2014-11-05,ORL,PHI,7:29,1,2,50.000,0,0,0.000,0,0,0.000,2,0.9,-6
6,6,2014-11-07,ORL,MIN,21:46,6,9,66.667,2,2,100.000,3,3,100.000,17,17.4,7
7,7,2014-11-09,ORL,BKN,16:26,1,3,33.333,0,0,0.000,0,1,0.000,2,0.4,0
8,8,2014-11-11,ORL,TOR,9:47,0,2,0.000,0,0,0.000,1,2,50.000,1,-0.2,-13
9,9,2014-11-12,ORL,NYK,14:10,1,1,100.000,1,1,100.000,4,4,100.000,7,5.2,-4
10,10,2014-11-14,ORL,MIL,14:49,3,3,100.000,0,0,0.000,2,2,100.000,8,11.8,20
11,11,2014-11-15,ORL,WAS,14:17,3,4,75.000,0,0,0.000,0,2,0.000,6,3.5,-7
12,12,2015-01-18,ORL,OKC,11:48,2,4,50.000,1,1,100.000,3,5,60.000,8,5.0,-11
13,13,2015-01-21,ORL,DET,11:58,2,2,100.000,0,0,0.000,0,0,0.000,4,6.4,9
14,14,2015-01-23,ORL,NYK,13:00,2,2,100.000,0,0,0.000,1,3,33.333,5,5.1,1
15,15,2015-01-25,ORL,IND,21:11,3,5,60.000,1,2,50.000,2,2,100.000,9,8.6,2
16,16,2015-01-26,ORL,MEM,20:37,3,7,42.857,0,1,0.000,1,2,50.000,7,3.4,-5
17,17,2015-01-29,ORL,MIL,19:47,1,1,100.000,0,0,0.000,2,4,50.000,4,3.0,-8
18,18,2015-01-31,ORL,DAL,29:39,3,8,37.500,2,3,66.667,3,4,75.000,11,5.5,-5
19,19,2015-02-02,ORL,OKC,25:39,2,7,28.571,0,1,0.000,2,2,100.000,6,4.1,-16
20,20,2015-02-06,ORL,LAL,23:00,3,6,50.000,0,1,0.000,1,1,100.000,7,5.0,5
21,21,2015-02-08,ORL,CHI,11:40,1,2,50.000,1,2,50.000,0,0,0.000,3,1.5,-1
22,22,2015-02-09,ORL,WAS,17:22,2,4,50.000,0,0,0.000,1,1,100.000,5,1.1,-12
23,23,2015-02-11,ORL,NYK,7:19,1,2,50.000,0,0,0.000,0,0,0.000,2,-0.1,-10
24,24,2015-02-20,ORL,NOP,6:54,1,2,50.000,0,0,0.000,0,0,0.000,2,0.9,-2
25,25,2015-02-22,ORL,PHI,10:17,1,5,20.000,0,1,0.000,1,1,100.000,3,2.9,5
26,26,2015-02-25,ORL,MIA,8:55,3,3,100.000,0,0,0.000,0,2,0.000,6,4.5,12
27,27,2015-03-04,ORL,PHX,11:22,0,1,0.000,0,0,0.000,0,0,0.000,0,2.6,-11
28,28,2015-03-06,ORL,SAC,13:43,1,2,50.000,0,1,0.000,0,0,0.000,2,-1.9,-5
29,29,2015-03-08,ORL,BOS,14:56,1,3,33.333,0,2,0.000,0,0,0.000,2,1.2,-6
30,30,2015-03-10,ORL,IND,11:53,1,4,25.000,0,0,0.000,0,0,0.000,2,1.0,-23
31,31,2015-03-11,ORL,MIL,17:59,2,5,40.000,1,2,50.000,2,2,100.000,7,5.5,-4
32,32,2015-03-13,ORL,BOS,19:45,4,8,50.000,1,3,33.333,2,2,100.000,11,9.5,-2
33,33,2015-03-15,ORL,CLE,12:58,1,3,33.333,0,2,0.000,0,0,0.000,2,-0.5,-6
34,34,2015-03-17,ORL,HOU,8:43,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,-1
35,35,2015-03-18,ORL,DAL,14:45,2,5,40.000,0,2,0.000,2,2,100.000,6,5.0,-1
36,36,2015-03-20,ORL,POR,18:28,1,3,33.333,0,0,0.000,2,2,100.000,4,5.1,8
37,37,2015-03-22,ORL,DEN,17:53,3,8,37.500,0,2,0.000,2,2,100.000,8,4.4,-9
38,38,2015-03-25,ORL,ATL,9:37,0,1,0.000,0,1,0.000,0,0,0.000,0,2.5,1
39,39,2015-03-27,ORL,DET,14:07,2,4,50.000,0,0,0.000,0,0,0.000,4,1.7,-8
40,40,2015-04-01,ORL,SAS,11:24,0,1,0.000,0,1,0.000,0,0,0.000,0,-1.2,-7
41,41,2015-04-03,ORL,MIN,30:19,3,10,30.000,1,3,33.333,0,0,0.000,7,5.8,5
42,42,2015-04-04,ORL,MIL,29:16,5,6,83.333,0,1,0.000,0,0,0.000,10,15.1,13
43,43,2015-04-08,ORL,CHI,22:08,2,3,66.667,0,1,0.000,3,4,75.000,7,6.6,0
44,44,2015-04-10,ORL,TOR,24:04,5,8,62.500,0,2,0.000,3,3,100.000,13,12.7,0
45,45,2015-04-11,ORL,NYK,23:20,0,5,0.000,0,1,0.000,0,0,0.000,0,-1.8,-4
46,46,2015-04-13,ORL,MIA,31:56,2,14,14.286,0,2,0.000,1,2,50.000,5,1.6,-13
47,47,2015-04-15,ORL,BKN,34:13,3,11,27.273,1,2,50.000,0,0,0.000,7,3.0,-15
1,1,2015-10-28,ORL,WAS,17:01,4,8,50.000,0,2,0.000,4,6,66.667,12,12.3,2
2,2,2015-10-30,ORL,OKC,17:51,4,4,100.000,1,1,100.000,6,8,75.000,15,13.0,-6
3,3,2015-11-01,ORL,CHI,24:35,2,7,28.571,0,1,0.000,0,0,0.000,4,3.5,-4
4,4,2015-11-03,ORL,NOP,4:28,1,2,50.000,0,0,0.000,0,0,0.000,2,-0.2,3
5,5,2015-11-04,ORL,HOU,32:02,7,11,63.636,0,0,0.000,5,7,71.429,19,17.3,-4
6,6,2015-11-06,ORL,TOR,11:50,2,8,25.000,1,3,33.333,0,0,0.000,5,1.8,4
7,7,2015-11-07,ORL,PHI,22:22,4,7,57.143,1,3,33.333,1,2,50.000,10,11.3,3
8,8,2015-11-09,ORL,IND,17:22,1,5,20.000,0,2,0.000,2,3,66.667,4,-1.0,-2
