Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2008-10-29,LAC,LAL,13:50,0,4,0.000,0,1,0.000,2,2,100.000,2,-0.5,-19
2,2,2008-10-31,LAC,DEN,2:09,1,1,100.000,0,0,0.000,0,0,0.000,2,1.3,-2
3,3,2008-11-01,LAC,UTA,3:41,1,1,100.000,1,1,100.000,1,2,50.000,4,2.3,4
4,4,2008-11-03,LAC,UTA,3:00,0,1,0.000,0,1,0.000,2,2,100.000,2,1.3,1
5,5,2008-11-05,LAC,LAL,4:11,0,1,0.000,0,0,0.000,0,0,0.000,0,-2.7,-3
6,6,2008-11-07,LAC,HOU,17:01,2,5,40.000,1,2,50.000,2,2,100.000,7,2.9,-2
7,7,2008-11-09,LAC,DAL,29:35,4,8,50.000,3,4,75.000,0,0,0.000,11,9.7,5
8,8,2008-11-12,LAC,SAC,13:28,0,1,0.000,0,1,0.000,0,0,0.000,0,3.4,4
9,9,2008-11-15,LAC,GSW,19:29,2,7,28.571,1,3,33.333,2,2,100.000,7,9.3,-15
10,10,2008-11-17,LAC,SAS,13:34,1,3,33.333,0,1,0.000,2,2,100.000,4,2.7,1
11,11,2008-11-19,LAC,OKC,5:30,1,4,25.000,0,2,0.000,1,1,100.000,3,0.1,-4
12,12,2008-11-21,LAC,PHI,29:29,1,5,20.000,1,3,33.333,5,6,83.333,8,5.7,9
13,13,2008-11-22,LAC,NEW JERSEY NETS,21:37,2,5,40.000,1,3,33.333,4,6,66.667,9,3.7,-2
14,14,2008-11-24,LAC,NEW ORLEANS HORNETS,36:12,9,18,50.000,4,8,50.000,3,4,75.000,25,19.9,-8
15,15,2008-11-26,LAC,DEN,41:44,8,14,57.143,4,9,44.444,4,4,100.000,24,23.7,-14
16,16,2008-11-29,LAC,MIA,29:34,2,7,28.571,1,2,50.000,0,1,0.000,5,-0.4,-1
17,17,2008-12-02,LAC,DAL,36:06,5,13,38.462,2,5,40.000,1,2,50.000,13,11.5,-1
18,18,2008-12-03,LAC,HOU,30:33,4,7,57.143,2,4,50.000,0,0,0.000,10,8.9,3
19,19,2008-12-05,LAC,MEM,38:58,2,6,33.333,0,3,0.000,3,4,75.000,7,3.5,-8
20,20,2008-12-06,LAC,MIN,30:14,2,7,28.571,0,3,0.000,4,4,100.000,8,5.6,14
21,21,2008-12-08,LAC,ORL,37:33,4,12,33.333,1,5,20.000,0,0,0.000,9,5.5,-3
22,22,2008-12-12,LAC,POR,45:48,6,9,66.667,3,6,50.000,2,3,66.667,17,17.9,2
23,23,2008-12-13,LAC,HOU,36:42,5,7,71.429,0,2,0.000,0,0,0.000,10,9.8,9
24,24,2008-12-16,LAC,OKC,41:02,7,11,63.636,3,6,50.000,5,7,71.429,22,17.4,18
25,25,2008-12-17,LAC,CHI,47:07,5,9,55.556,2,6,33.333,5,6,83.333,17,9.1,2
26,26,2008-12-19,LAC,IND,50:23,5,13,38.462,1,6,16.667,4,5,80.000,15,7.6,8
27,27,2008-12-20,LAC,MIL,25:54,1,6,16.667,0,1,0.000,2,2,100.000,4,-3.4,-18
28,28,2008-12-22,LAC,TOR,45:05,6,14,42.857,3,4,75.000,4,4,100.000,19,11.5,-25
29,29,2008-12-28,LAC,DAL,40:58,5,12,41.667,0,3,0.000,2,4,50.000,12,6.7,-20
30,30,2008-12-30,LAC,SAC,38:20,9,14,64.286,4,6,66.667,2,3,66.667,24,17.8,10
31,31,2008-12-31,LAC,PHI,42:50,7,16,43.750,1,4,25.000,6,6,100.000,21,12.7,-7
32,32,2009-01-02,LAC,PHX,40:51,7,14,50.000,2,5,40.000,5,5,100.000,21,14.4,-10
33,33,2009-01-04,LAC,DET,44:07,9,21,42.857,1,3,33.333,12,12,100.000,31,22.8,3
34,34,2009-01-06,LAC,DAL,45:50,9,18,50.000,1,4,25.000,13,15,86.667,32,20.3,-5
35,35,2009-01-08,LAC,SAS,39:41,7,17,41.176,2,5,40.000,5,6,83.333,21,13.5,-24
36,36,2009-01-09,LAC,NEW ORLEANS HORNETS,35:40,6,13,46.154,1,3,33.333,2,3,66.667,15,6.8,-21
37,37,2009-01-11,LAC,PHX,39:51,2,14,14.286,0,7,0.000,10,10,100.000,14,3.6,-14
38,38,2009-01-14,LAC,ATL,41:24,6,15,40.000,1,4,25.000,5,6,83.333,18,8.7,-17
39,39,2009-01-17,LAC,MIL,41:03,4,13,30.769,2,5,40.000,4,4,100.000,14,14.4,6
40,40,2009-01-19,LAC,MIN,42:19,10,19,52.632,3,8,37.500,2,2,100.000,25,17.7,-11
41,41,2009-01-21,LAC,LAL,40:51,5,15,33.333,2,8,25.000,4,4,100.000,16,10.2,-9
42,42,2009-01-23,LAC,OKC,43:37,12,19,63.158,5,7,71.429,12,14,85.714,41,32.5,0
43,43,2009-01-25,LAC,GSW,39:05,6,17,35.294,2,4,50.000,7,8,87.500,21,13.2,-5
44,44,2009-01-26,LAC,POR,41:01,4,11,36.364,0,4,0.000,3,3,100.000,11,4.8,-20
45,45,2009-01-28,LAC,CHI,40:48,6,16,37.500,3,5,60.000,4,5,80.000,19,10.9,-17
46,46,2009-01-30,LAC,CLE,42:49,9,19,47.368,5,8,62.500,4,5,80.000,27,22.1,-15
47,47,2009-01-31,LAC,WAS,38:20,8,15,53.333,3,7,42.857,6,6,100.000,25,17.1,0
48,48,2009-02-02,LAC,MIA,30:57,3,10,30.000,2,5,40.000,4,4,100.000,12,4.5,-13
49,49,2009-02-04,LAC,ORL,34:49,4,10,40.000,0,5,0.000,6,6,100.000,14,10.9,-27
50,50,2009-02-06,LAC,MEM,38:11,6,10,60.000,3,5,60.000,8,8,100.000,23,21.1,30
51,51,2009-02-07,LAC,ATL,32:55,5,10,50.000,1,3,33.333,0,0,0.000,11,7.5,5
52,52,2009-02-09,LAC,CHARLOTTE BOBCATS,40:22,7,13,53.846,0,2,0.000,3,5,60.000,17,9.8,-20
53,53,2009-02-11,LAC,NYK,43:15,10,16,62.500,4,8,50.000,6,8,75.000,30,24.0,9
54,54,2009-02-17,LAC,PHX,35:52,8,16,50.000,3,5,60.000,5,6,83.333,24,14.9,-45
55,55,2009-02-18,LAC,PHX,31:27,5,12,41.667,2,3,66.667,11,13,84.615,23,20.3,-20
56,56,2009-02-22,LAC,POR,37:59,6,15,40.000,1,5,20.000,8,8,100.000,21,14.1,-22
57,57,2009-02-23,LAC,GSW,40:18,9,17,52.941,6,7,85.714,3,4,75.000,27,21.6,15
58,58,2009-02-25,LAC,BOS,21:02,1,7,14.286,0,5,0.000,2,3,66.667,4,0.8,4
59,59,2009-03-07,LAC,IND,45:21,12,18,66.667,5,6,83.333,6,8,75.000,35,31.9,3
60,60,2009-03-10,LAC,CLE,39:21,4,10,40.000,0,4,0.000,6,6,100.000,14,11.1,-5
61,61,2009-03-14,LAC,DEN,35:45,6,12,50.000,2,4,50.000,3,6,50.000,17,11.2,-6
62,62,2009-03-15,LAC,NEW JERSEY NETS,35:55,6,11,54.545,0,2,0.000,5,6,83.333,17,13.0,4
63,63,2009-03-17,LAC,GSW,31:49,1,8,12.500,0,2,0.000,8,8,100.000,10,2.5,-7
64,64,2009-03-18,LAC,WAS,40:41,9,17,52.941,4,8,50.000,4,5,80.000,26,24.1,15
65,65,2009-03-20,LAC,DET,34:05,7,9,77.778,2,4,50.000,6,6,100.000,22,17.5,-21
66,66,2009-03-22,LAC,TOR,38:40,3,10,30.000,0,3,0.000,5,7,71.429,11,5.8,-18
67,67,2009-03-23,LAC,BOS,28:54,3,12,25.000,0,4,0.000,2,3,66.667,8,-1.7,-19
68,68,2009-03-25,LAC,NYK,44:26,6,16,37.500,3,5,60.000,4,5,80.000,19,13.8,6
69,69,2009-03-27,LAC,SAS,32:12,5,12,41.667,4,6,66.667,4,4,100.000,18,11.5,-22
70,70,2009-03-28,LAC,HOU,35:51,7,16,43.750,1,4,25.000,2,2,100.000,17,7.9,-13
71,71,2009-04-01,LAC,NEW ORLEANS HORNETS,41:14,10,18,55.556,4,9,44.444,1,2,50.000,25,14.5,-9
72,72,2009-04-04,LAC,DEN,35:23,1,10,10.000,0,3,0.000,5,6,83.333,7,-1.7,-16
73,73,2009-04-05,LAC,LAL,40:36,9,22,40.909,2,8,25.000,4,4,100.000,24,14.4,8
74,74,2009-04-07,LAC,MIN,38:06,10,17,58.824,5,8,62.500,3,4,75.000,28,24.4,-8
75,75,2009-04-10,LAC,SAC,34:20,8,11,72.727,2,3,66.667,2,2,100.000,20,19.5,33
76,76,2009-04-11,LAC,POR,46:06,8,14,57.143,0,2,0.000,2,2,100.000,18,12.8,-18
77,77,2009-04-13,LAC,UTA,37:52,5,10,50.000,1,3,33.333,5,7,71.429,16,9.9,-17
78,78,2009-04-15,LAC,OKC,44:02,10,15,66.667,2,4,50.000,0,0,0.000,22,14.4,-42
1,1,2009-10-27,LAC,LAL,32:39,7,14,50.000,2,5,40.000,5,6,83.333,21,15.1,5
2,2,2009-10-28,LAC,PHX,40:55,6,13,46.154,1,3,33.333,3,7,42.857,16,12.8,5
3,3,2009-10-30,LAC,UTA,40:00,8,15,53.333,4,7,57.143,2,3,66.667,22,17.8,-9
4,4,2009-10-31,LAC,DAL,40:24,5,11,45.455,3,6,50.000,3,3,100.000,16,11.0,1
5,5,2009-11-02,LAC,MIN,37:36,6,12,50.000,2,5,40.000,3,3,100.000,17,17.1,2
6,6,2009-11-06,LAC,GSW,35:58,8,12,66.667,3,5,60.000,6,10,60.000,25,19.0,29
7,7,2009-11-07,LAC,MEM,41:27,5,12,41.667,3,8,37.500,2,2,100.000,15,12.0,5
8,8,2009-11-25,LAC,IND,27:25,2,7,28.571,0,2,0.000,2,3,66.667,6,-1.3,-22
