Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2009-10-28,OKC,SAC,12:59,2,2,100.000,1,1,100.000,0,0,0.000,5,3.8,-5
2,2,2009-10-30,OKC,DET,16:38,1,6,16.667,0,1,0.000,0,0,0.000,2,3.6,17
3,3,2009-11-01,OKC,POR,17:52,2,9,22.222,2,3,66.667,0,0,0.000,6,3.1,4
4,4,2009-11-03,OKC,LAL,17:04,3,9,33.333,1,2,50.000,2,2,100.000,9,6.5,16
5,5,2009-11-06,OKC,HOU,10:02,2,3,66.667,0,0,0.000,0,0,0.000,4,2.3,-8
6,6,2009-11-08,OKC,ORL,19:13,2,5,40.000,0,1,0.000,1,2,50.000,5,7.8,0
7,7,2009-11-10,OKC,SAC,19:24,3,7,42.857,3,5,60.000,0,0,0.000,9,6.7,1
8,8,2009-11-11,OKC,LAC,23:54,3,8,37.500,0,3,0.000,1,2,50.000,7,8.6,9
9,9,2009-11-14,OKC,SAS,19:57,3,6,50.000,0,1,0.000,2,3,66.667,8,4.4,-3
10,10,2009-11-15,OKC,LAC,17:38,0,8,0.000,0,5,0.000,4,4,100.000,4,-0.3,-9
11,11,2009-11-17,OKC,MIA,14:16,1,3,33.333,1,3,33.333,2,2,100.000,5,0.3,6
12,12,2009-11-18,OKC,ORL,30:51,7,14,50.000,6,7,85.714,4,4,100.000,24,19.2,5
13,13,2009-11-20,OKC,WAS,26:24,8,11,72.727,4,6,66.667,5,6,83.333,25,23.2,4
14,14,2009-11-22,OKC,LAL,30:21,2,15,13.333,0,10,0.000,6,6,100.000,10,5.6,-4
15,15,2009-11-24,OKC,UTA,19:38,4,5,80.000,1,2,50.000,1,1,100.000,10,9.0,6
16,16,2009-11-27,OKC,MIL,27:18,6,7,85.714,3,3,100.000,0,2,0.000,15,11.9,1
17,17,2009-11-29,OKC,HOU,19:16,1,4,25.000,0,1,0.000,3,4,75.000,5,2.9,-12
18,18,2009-12-02,OKC,PHI,27:01,3,7,42.857,1,3,33.333,2,2,100.000,9,5.3,12
19,19,2009-12-04,OKC,BOS,23:27,1,6,16.667,0,3,0.000,4,6,66.667,6,3.2,3
20,20,2009-12-07,OKC,GSW,29:40,6,13,46.154,1,4,25.000,13,14,92.857,26,27.1,17
21,21,2009-12-11,OKC,MEM,23:07,2,11,18.182,0,2,0.000,2,2,100.000,6,5.5,5
22,22,2009-12-13,OKC,CLE,20:55,1,3,33.333,0,0,0.000,1,2,50.000,3,0.5,-7
23,23,2009-12-14,OKC,DEN,23:42,3,7,42.857,1,1,100.000,2,2,100.000,9,4.9,1
24,24,2009-12-16,OKC,DAL,28:57,3,9,33.333,0,4,0.000,6,9,66.667,12,6.2,-15
25,25,2009-12-18,OKC,DET,25:48,5,11,45.455,2,3,66.667,2,2,100.000,14,13.6,19
26,26,2009-12-19,OKC,HOU,31:54,5,11,45.455,0,3,0.000,5,5,100.000,15,10.1,8
27,27,2009-12-22,OKC,LAL,26:01,6,14,42.857,2,3,66.667,2,2,100.000,16,8.4,-2
28,28,2009-12-23,OKC,PHX,27:40,3,9,33.333,1,4,25.000,7,7,100.000,14,9.2,3
29,29,2009-12-26,OKC,CHARLOTTE BOBCATS,25:26,3,6,50.000,1,2,50.000,1,3,33.333,8,7.7,0
30,30,2009-12-28,OKC,NEW JERSEY NETS,22:39,0,10,0.000,0,4,0.000,3,4,75.000,3,-0.2,7
31,31,2009-12-29,OKC,WAS,16:01,3,7,42.857,1,1,100.000,4,6,66.667,11,6.0,9
32,32,2009-12-31,OKC,UTA,13:15,2,5,40.000,1,2,50.000,0,0,0.000,5,1.9,0
33,33,2010-01-02,OKC,MIL,17:32,1,4,25.000,0,3,0.000,1,2,50.000,3,-2.4,-7
34,34,2010-01-04,OKC,CHI,26:32,5,11,45.455,3,5,60.000,0,0,0.000,13,7.4,5
35,35,2010-01-06,OKC,NEW ORLEANS HORNETS,24:29,3,8,37.500,1,3,33.333,2,4,50.000,9,3.4,-3
36,36,2010-01-09,OKC,IND,26:02,3,7,42.857,3,4,75.000,4,6,66.667,13,11.0,-9
37,37,2010-01-11,OKC,NYK,28:23,3,9,33.333,0,4,0.000,1,1,100.000,7,4.2,2
38,38,2010-01-13,OKC,SAS,32:48,3,5,60.000,1,2,50.000,5,6,83.333,12,10.9,8
39,39,2010-01-15,OKC,DAL,25:32,4,8,50.000,2,4,50.000,1,2,50.000,11,5.6,-2
40,40,2010-01-16,OKC,MIA,21:23,4,9,44.444,2,3,66.667,4,4,100.000,14,8.4,5
41,41,2010-01-18,OKC,ATL,23:26,5,11,45.455,1,3,33.333,0,0,0.000,11,4.3,-3
42,42,2010-01-20,OKC,MIN,25:38,5,11,45.455,2,7,28.571,0,0,0.000,12,9.5,5
43,43,2010-01-22,OKC,MEM,28:14,3,6,50.000,3,4,75.000,4,4,100.000,13,16.2,1
44,44,2010-01-23,OKC,CLE,27:09,1,8,12.500,1,3,33.333,6,6,100.000,9,6.7,4
45,45,2010-01-27,OKC,CHI,18:30,3,10,30.000,2,4,50.000,0,0,0.000,8,1.7,1
46,46,2010-01-29,OKC,DEN,19:43,4,8,50.000,3,5,60.000,1,2,50.000,12,6.4,6
47,47,2010-01-31,OKC,GSW,19:38,1,7,14.286,0,2,0.000,3,4,75.000,5,1.8,1
48,48,2010-02-02,OKC,ATL,20:10,2,6,33.333,1,4,25.000,4,5,80.000,9,5.7,-2
49,49,2010-02-03,OKC,NEW ORLEANS HORNETS,16:24,1,3,33.333,1,3,33.333,2,2,100.000,5,2.4,-1
50,50,2010-02-06,OKC,GSW,22:00,3,8,37.500,1,3,33.333,0,0,0.000,7,-0.4,1
51,51,2010-02-09,OKC,POR,24:11,4,9,44.444,2,5,40.000,3,4,75.000,13,11.8,2
52,52,2010-02-16,OKC,DAL,31:22,5,7,71.429,3,4,75.000,4,4,100.000,17,15.8,16
53,53,2010-02-20,OKC,NYK,31:20,4,9,44.444,1,3,33.333,5,7,71.429,14,7.5,4
54,54,2010-02-21,OKC,MIN,20:50,3,6,50.000,2,3,66.667,0,0,0.000,8,5.5,-10
55,55,2010-02-23,OKC,PHX,27:20,2,7,28.571,0,4,0.000,1,2,50.000,5,-0.4,13
56,56,2010-02-24,OKC,SAS,27:02,3,7,42.857,2,4,50.000,0,0,0.000,8,6.6,-6
57,57,2010-02-26,OKC,MIN,18:19,2,9,22.222,0,3,0.000,2,5,40.000,6,-1.1,-3
58,58,2010-02-28,OKC,TOR,25:30,4,8,50.000,0,3,0.000,4,4,100.000,12,7.5,2
59,59,2010-03-02,OKC,SAC,18:00,1,5,20.000,1,2,50.000,0,0,0.000,3,-1.8,-15
60,60,2010-03-03,OKC,DEN,28:48,3,8,37.500,3,5,60.000,10,11,90.909,19,16.4,-8
61,61,2010-03-05,OKC,LAC,28:16,5,11,45.455,3,6,50.000,4,4,100.000,17,17.4,11
62,62,2010-03-07,OKC,SAC,19:32,5,10,50.000,1,3,33.333,3,3,100.000,14,8.5,-1
63,63,2010-03-10,OKC,NEW ORLEANS HORNETS,13:38,1,5,20.000,0,3,0.000,4,4,100.000,6,5.6,8
64,64,2010-03-24,OKC,HOU,25:55,6,10,60.000,3,4,75.000,8,8,100.000,23,20.9,23
65,65,2010-03-26,OKC,LAL,22:45,1,6,16.667,1,4,25.000,3,4,75.000,6,4.3,-2
66,66,2010-03-28,OKC,POR,16:17,1,5,20.000,0,4,0.000,1,2,50.000,3,-1.7,-2
67,67,2010-03-30,OKC,PHI,21:26,5,7,71.429,2,2,100.000,0,0,0.000,12,14.0,14
68,68,2010-03-31,OKC,BOS,25:47,1,2,50.000,0,1,0.000,3,4,75.000,5,5.4,10
69,69,2010-04-03,OKC,DAL,19:14,3,5,60.000,1,3,33.333,4,4,100.000,11,8.2,16
70,70,2010-04-04,OKC,MIN,14:51,3,6,50.000,0,0,0.000,1,2,50.000,7,5.0,-2
71,71,2010-04-06,OKC,UTA,28:39,4,7,57.143,2,5,40.000,5,6,83.333,15,10.3,13
72,72,2010-04-07,OKC,DEN,20:39,1,7,14.286,0,2,0.000,0,0,0.000,2,-3.3,10
73,73,2010-04-09,OKC,PHX,16:00,0,4,0.000,0,2,0.000,2,4,50.000,2,-3.1,-2
74,74,2010-04-11,OKC,GSW,31:26,7,11,63.636,3,6,50.000,1,2,50.000,18,14.6,-12
75,75,2010-04-12,OKC,POR,23:09,5,8,62.500,1,2,50.000,1,2,50.000,12,8.8,5
76,76,2010-04-14,OKC,MEM,26:16,4,9,44.444,2,6,33.333,2,2,100.000,12,5.6,-1
1,1,2010-10-27,OKC,CHI,20:15,2,4,50.000,1,2,50.000,1,2,50.000,6,6.1,4
2,2,2010-10-29,OKC,DET,16:25,0,5,0.000,0,1,0.000,1,2,50.000,1,-2.7,-10
3,3,2010-10-31,OKC,UTA,32:48,1,7,14.286,0,5,0.000,5,6,83.333,7,-0.2,-4
4,4,2010-11-03,OKC,LAC,19:43,1,7,14.286,0,2,0.000,0,0,0.000,2,-2.3,-4
5,5,2010-11-04,OKC,POR,25:11,3,5,60.000,0,1,0.000,1,1,100.000,7,4.9,1
6,6,2010-11-07,OKC,BOS,19:51,2,2,100.000,2,2,100.000,0,0,0.000,6,4.5,-15
7,7,2010-11-10,OKC,PHI,22:10,3,7,42.857,1,4,25.000,2,2,100.000,9,4.4,-2
8,8,2010-11-12,OKC,POR,20:46,3,5,60.000,2,3,66.667,4,4,100.000,12,11.6,-9
9,9,2010-11-14,OKC,SAS,36:43,5,10,50.000,2,5,40.000,2,2,100.000,14,12.0,-11
10,10,2010-11-15,OKC,UTA,16:23,1,5,20.000,0,1,0.000,3,4,75.000,5,2.4,1
