Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2019-10-23,MIA,MEM,33:54,6,14,42.857,1,2,50.000,1,1,100.000,14,9.9,10
2,2,2019-10-26,MIA,MIL,32:20,6,16,37.500,2,7,28.571,0,0,0.000,14,2.5,-9
3,3,2019-10-27,MIA,MIN,35:02,3,9,33.333,1,6,16.667,1,1,100.000,8,2.0,0
4,4,2019-10-29,MIA,ATL,29:07,7,9,77.778,3,4,75.000,12,16,75.000,29,25.4,9
5,5,2019-10-31,MIA,ATL,30:27,7,16,43.750,3,9,33.333,0,0,0.000,17,11.9,-1
6,6,2019-11-03,MIA,HOU,34:38,3,10,30.000,2,5,40.000,4,4,100.000,12,13.2,2
7,7,2019-11-05,MIA,DEN,15:06,1,4,25.000,0,1,0.000,0,0,0.000,2,-1.2,-6
8,8,2019-11-07,MIA,PHX,28:55,6,12,50.000,3,4,75.000,0,0,0.000,15,11.6,14
9,9,2019-11-08,MIA,LAL,23:30,2,8,25.000,1,5,20.000,2,2,100.000,7,3.8,2
10,10,2019-11-14,MIA,CLE,22:26,4,7,57.143,2,4,50.000,6,6,100.000,16,10.0,9
11,11,2019-11-16,MIA,NOP,32:25,6,12,50.000,0,1,0.000,0,0,0.000,12,7.3,12
12,12,2019-11-20,MIA,CLE,30:58,9,13,69.231,4,7,57.143,0,0,0.000,22,13.7,16
13,13,2019-11-22,MIA,CHI,27:43,3,11,27.273,2,8,25.000,1,2,50.000,9,5.0,-1
14,14,2019-11-23,MIA,PHI,36:27,7,17,41.176,4,9,44.444,2,4,50.000,20,11.1,1
15,15,2019-11-25,MIA,CHA,29:43,6,13,46.154,2,7,28.571,4,4,100.000,18,11.4,2
16,16,2019-11-27,MIA,HOU,35:33,8,18,44.444,3,8,37.500,3,4,75.000,22,13.7,-1
17,17,2019-11-29,MIA,GSW,26:56,7,11,63.636,5,6,83.333,0,0,0.000,19,13.2,12
18,18,2019-12-01,MIA,BKN,20:53,2,6,33.333,0,1,0.000,0,0,0.000,4,0.5,-2
19,19,2019-12-03,MIA,TOR,17:34,2,7,28.571,1,4,25.000,1,1,100.000,6,2.4,-8
20,20,2019-12-04,MIA,BOS,20:23,2,8,25.000,1,4,25.000,0,0,0.000,5,0.5,-13
21,21,2019-12-06,MIA,WAS,32:01,10,18,55.556,2,7,28.571,0,0,0.000,22,17.5,7
22,22,2019-12-08,MIA,CHI,40:47,10,22,45.455,5,11,45.455,2,2,100.000,27,17.7,6
23,23,2019-12-10,MIA,ATL,22:45,0,6,0.000,0,4,0.000,0,0,0.000,0,-4.5,-30
24,24,2019-12-13,MIA,LAL,23:46,3,12,25.000,1,6,16.667,0,0,0.000,7,0.4,6
25,25,2019-12-14,MIA,DAL,38:58,4,14,28.571,3,6,50.000,8,8,100.000,19,14.4,1
26,26,2019-12-16,MIA,MEM,37:53,7,20,35.000,2,5,40.000,6,6,100.000,22,14.4,-6
27,27,2019-12-18,MIA,PHI,24:54,4,11,36.364,1,3,33.333,0,0,0.000,9,8.4,4
28,28,2019-12-20,MIA,NYK,25:24,5,10,50.000,2,4,50.000,0,0,0.000,12,6.6,-9
29,29,2019-12-23,MIA,UTA,27:06,7,13,53.846,3,5,60.000,0,0,0.000,17,12.1,7
30,30,2019-12-27,MIA,IND,22:24,4,11,36.364,2,6,33.333,0,0,0.000,10,6.4,1
31,31,2019-12-28,MIA,PHI,34:09,6,14,42.857,4,8,50.000,0,0,0.000,16,9.1,-11
32,32,2019-12-30,MIA,WAS,20:29,2,7,28.571,1,4,25.000,1,2,50.000,6,0.0,-2
33,33,2020-01-02,MIA,TOR,33:20,5,10,50.000,3,6,50.000,0,0,0.000,13,10.7,5
34,34,2020-01-03,MIA,ORL,24:43,2,11,18.182,0,6,0.000,0,1,0.000,4,-2.1,-18
35,35,2020-01-05,MIA,POR,28:21,4,9,44.444,2,5,40.000,1,1,100.000,11,9.5,5
36,36,2020-01-08,MIA,IND,25:44,7,16,43.750,5,8,62.500,0,0,0.000,19,12.1,-1
37,37,2020-01-10,MIA,BKN,29:20,4,9,44.444,1,4,25.000,0,0,0.000,9,9.2,2
38,38,2020-01-12,MIA,NYK,21:55,5,12,41.667,3,8,37.500,2,2,100.000,15,9.3,-14
39,39,2020-01-19,MIA,SAS,8:59,0,2,0.000,0,0,0.000,0,0,0.000,0,-1.2,-14
40,40,2020-01-20,MIA,SAC,17:26,2,6,33.333,2,4,50.000,0,0,0.000,6,4.2,-1
41,41,2020-01-22,MIA,WAS,33:02,8,14,57.143,7,9,77.778,2,2,100.000,25,21.3,11
42,42,2020-01-24,MIA,LAC,40:18,8,19,42.105,2,10,20.000,1,4,25.000,19,8.5,-6
43,43,2020-01-27,MIA,ORL,30:02,4,11,36.364,2,5,40.000,3,3,100.000,13,8.9,12
44,44,2020-01-28,MIA,BOS,28:27,3,13,23.077,0,4,0.000,0,0,0.000,6,1.7,-20
45,45,2020-02-01,MIA,ORL,26:00,7,12,58.333,6,10,60.000,3,3,100.000,23,17.5,7
46,46,2020-02-03,MIA,PHI,10:20,1,6,16.667,0,2,0.000,0,0,0.000,2,-1.1,4
47,47,2020-03-11,MIA,CHA,7:18,1,3,33.333,0,1,0.000,0,0,0.000,2,1.2,-13
48,48,2020-08-01,MIA,DEN,20:08,3,7,42.857,1,4,25.000,0,0,0.000,7,4.8,2
49,49,2020-08-03,MIA,TOR,25:26,5,11,45.455,2,5,40.000,0,0,0.000,12,9.1,3
50,50,2020-08-04,MIA,BOS,21:57,4,10,40.000,3,7,42.857,0,0,0.000,11,8.2,-8
51,51,2020-08-06,MIA,MIL,33:16,6,12,50.000,1,5,20.000,7,7,100.000,20,13.5,9
52,52,2020-08-08,MIA,PHX,35:55,10,16,62.500,1,4,25.000,4,4,100.000,25,24.4,3
