Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2019-10-24,ATL,DET,25:27,5,8,62.500,2,3,66.667,2,2,100.000,14,9.0,12
2,2,2019-10-26,ATL,ORL,22:01,3,5,60.000,0,1,0.000,0,0,0.000,6,4.4,21
3,3,2019-10-28,ATL,PHI,30:13,4,8,50.000,2,4,50.000,4,7,57.143,14,8.8,10
4,4,2019-10-29,ATL,MIA,27:56,2,8,25.000,0,3,0.000,0,0,0.000,4,-0.5,-10
5,5,2019-10-31,ATL,MIA,28:23,1,9,11.111,0,5,0.000,2,2,100.000,4,-0.8,-14
6,6,2019-11-05,ATL,SAS,36:10,6,13,46.154,2,6,33.333,2,2,100.000,16,12.4,11
7,7,2019-11-06,ATL,CHI,26:40,1,7,14.286,0,2,0.000,2,2,100.000,4,1.0,-23
8,8,2019-11-08,ATL,SAC,22:12,2,7,28.571,0,2,0.000,0,0,0.000,4,0.5,-9
9,9,2019-11-10,ATL,POR,38:58,5,14,35.714,4,9,44.444,0,0,0.000,14,6.9,5
10,10,2019-11-12,ATL,DEN,40:19,4,9,44.444,2,3,66.667,2,4,50.000,12,9.2,-1
11,11,2019-11-14,ATL,PHX,33:54,5,15,33.333,2,6,33.333,2,2,100.000,14,9.0,-3
12,12,2019-11-16,ATL,LAC,25:43,5,14,35.714,1,5,20.000,1,3,33.333,12,2.5,-20
13,13,2019-11-17,ATL,LAL,33:52,4,9,44.444,2,3,66.667,1,3,33.333,11,7.8,-10
14,14,2019-11-20,ATL,MIL,28:32,8,12,66.667,3,3,100.000,8,9,88.889,27,23.5,-7
15,15,2019-11-22,ATL,DET,35:17,7,17,41.176,1,5,20.000,3,3,100.000,18,11.2,-10
16,16,2019-11-23,ATL,TOR,34:53,10,17,58.824,6,10,60.000,0,0,0.000,26,16.0,4
17,17,2019-11-25,ATL,MIN,37:16,3,10,30.000,1,4,25.000,0,0,0.000,7,-2.0,-9
18,18,2019-11-27,ATL,MIL,35:20,2,11,18.182,2,6,33.333,4,4,100.000,10,2.1,-4
19,19,2019-11-29,ATL,IND,40:44,3,8,37.500,1,4,25.000,0,0,0.000,7,-1.3,10
20,20,2019-11-30,ATL,HOU,29:03,5,15,33.333,3,9,33.333,1,1,100.000,14,7.1,-25
21,21,2019-12-02,ATL,GSW,31:39,6,14,42.857,2,6,33.333,4,4,100.000,18,12.5,3
22,22,2019-12-08,ATL,CHA,27:51,3,9,33.333,1,6,16.667,3,3,100.000,10,8.1,6
23,23,2019-12-10,ATL,MIA,40:16,11,17,64.706,5,10,50.000,1,4,25.000,28,22.5,-17
24,24,2019-12-11,ATL,CHI,23:54,2,9,22.222,2,5,40.000,0,0,0.000,6,2.5,-1
25,25,2019-12-13,ATL,IND,36:58,7,16,43.750,0,4,0.000,7,9,77.778,21,15.0,-16
26,26,2019-12-15,ATL,LAL,36:50,2,10,20.000,2,6,33.333,2,2,100.000,8,1.1,-12
27,27,2019-12-17,ATL,NYK,31:23,8,19,42.105,0,5,0.000,3,4,75.000,19,11.8,-4
28,28,2019-12-19,ATL,UTA,23:01,2,6,33.333,1,1,100.000,0,0,0.000,5,-0.4,-10
29,29,2019-12-21,ATL,BKN,38:18,5,12,41.667,2,6,33.333,2,2,100.000,14,10.3,-2
30,30,2019-12-23,ATL,CLE,39:20,10,19,52.632,1,7,14.286,2,4,50.000,23,14.2,1
31,31,2019-12-27,ATL,MIL,22:42,2,8,25.000,1,4,25.000,0,0,0.000,5,-0.9,-36
32,32,2019-12-28,ATL,CHI,30:12,2,9,22.222,2,4,50.000,0,0,0.000,6,-0.9,-29
33,33,2019-12-30,ATL,ORL,35:04,6,14,42.857,3,6,50.000,1,1,100.000,16,8.4,3
34,34,2020-01-03,ATL,BOS,26:45,5,8,62.500,1,2,50.000,0,0,0.000,11,4.7,-3
35,35,2020-01-04,ATL,IND,30:10,0,3,0.000,0,2,0.000,0,0,0.000,0,-3.9,3
36,36,2020-01-06,ATL,DEN,36:57,5,11,45.455,4,8,50.000,2,2,100.000,16,12.5,-11
37,37,2020-01-08,ATL,HOU,25:42,2,8,25.000,1,5,20.000,0,0,0.000,5,-1.8,4
38,38,2020-01-10,ATL,WAS,30:19,5,9,55.556,1,3,33.333,2,3,66.667,13,11.8,-11
39,39,2020-01-12,ATL,BKN,17:28,1,5,20.000,0,4,0.000,0,0,0.000,2,-2.3,-20
40,40,2020-01-14,ATL,PHX,24:12,6,12,50.000,1,3,33.333,2,2,100.000,15,8.7,8
41,41,2020-01-17,ATL,SAS,29:07,1,5,20.000,0,2,0.000,4,6,66.667,6,3.5,3
42,42,2020-01-18,ATL,DET,30:32,8,15,53.333,2,6,33.333,1,1,100.000,19,17.8,-27
43,43,2020-01-20,ATL,TOR,27:19,4,8,50.000,2,4,50.000,3,4,75.000,13,10.6,13
44,44,2020-01-22,ATL,LAC,36:23,3,16,18.750,1,6,16.667,1,2,50.000,8,-3.3,-2
45,45,2020-01-24,ATL,OKC,30:01,5,12,41.667,0,3,0.000,0,0,0.000,10,2.7,-19
46,46,2020-01-26,ATL,WAS,27:38,8,11,72.727,2,4,50.000,7,8,87.500,25,20.8,28
47,47,2020-01-28,ATL,TOR,33:03,6,13,46.154,3,8,37.500,0,0,0.000,15,11.7,-10
48,48,2020-01-30,ATL,PHI,36:28,6,12,50.000,2,5,40.000,1,2,50.000,15,8.4,9
49,49,2020-02-05,ATL,MIN,29:46,4,7,57.143,2,3,66.667,2,2,100.000,12,8.5,8
50,50,2020-02-07,ATL,BOS,34:49,1,7,14.286,1,4,25.000,1,2,50.000,4,1.3,-11
51,51,2020-02-09,ATL,NYK,47:53,7,15,46.667,3,7,42.857,2,3,66.667,19,18.1,1
52,52,2020-02-10,ATL,ORL,33:29,4,8,50.000,2,2,100.000,0,0,0.000,10,8.5,-14
53,53,2020-02-12,ATL,CLE,35:31,4,13,30.769,3,8,37.500,1,2,50.000,12,7.6,-16
54,54,2020-02-20,ATL,MIA,29:57,7,12,58.333,3,3,100.000,0,0,0.000,17,13.8,26
55,55,2020-02-24,ATL,PHI,39:03,6,15,40.000,1,6,16.667,9,10,90.000,22,14.6,-7
56,56,2020-02-26,ATL,ORL,35:30,0,8,0.000,0,4,0.000,2,2,100.000,2,-2.6,-5
57,57,2020-02-28,ATL,BKN,32:00,6,10,60.000,4,8,50.000,2,2,100.000,18,17.0,22
58,58,2020-02-29,ATL,POR,38:15,8,12,66.667,6,9,66.667,0,0,0.000,22,14.5,12
59,59,2020-03-02,ATL,MEM,30:27,3,11,27.273,0,4,0.000,0,0,0.000,6,4.9,-35
60,60,2020-03-06,ATL,WAS,37:01,4,11,36.364,1,5,20.000,1,4,25.000,10,3.6,-6
61,61,2020-03-07,ATL,MEM,28:15,2,11,18.182,0,4,0.000,2,3,66.667,6,-4.3,-8
62,62,2020-03-09,ATL,CHA,37:19,3,5,60.000,3,4,75.000,4,5,80.000,13,12.4,3
63,63,2020-03-11,ATL,NYK,36:13,5,12,41.667,3,5,60.000,2,2,100.000,15,10.1,-10
1,1,2020-12-23,ATL,CHI,25:54,5,6,83.333,1,1,100.000,0,0,0.000,11,7.2,40
2,2,2020-12-26,ATL,MEM,35:19,5,11,45.455,2,4,50.000,3,3,100.000,15,14.3,13
3,3,2020-12-28,ATL,DET,32:01,4,11,36.364,3,7,42.857,0,2,0.000,11,4.4,-1
4,4,2020-12-30,ATL,BKN,33:26,4,13,30.769,3,9,33.333,0,0,0.000,11,7.4,3
5,5,2021-01-01,ATL,BKN,31:11,9,10,90.000,3,4,75.000,2,2,100.000,23,21.7,0
6,6,2021-01-02,ATL,CLE,30:55,5,11,45.455,2,4,50.000,5,6,83.333,17,13.5,5
7,7,2021-01-04,ATL,NYK,37:02,9,15,60.000,3,6,50.000,2,3,66.667,23,19.1,-3
8,8,2021-01-06,ATL,CHA,33:50,6,15,40.000,1,7,14.286,4,4,100.000,17,14.4,-4
9,9,2021-01-09,ATL,CHA,33:41,6,10,60.000,1,2,50.000,7,7,100.000,20,19.9,4
10,10,2021-01-11,ATL,PHI,22:59,4,8,50.000,1,2,50.000,6,7,85.714,15,13.4,15
11,11,2021-01-15,ATL,UTA,28:06,6,13,46.154,0,3,0.000,2,2,100.000,14,6.8,-23
12,12,2021-01-16,ATL,POR,35:51,3,9,33.333,1,5,20.000,8,9,88.889,15,9.8,-13
13,13,2021-01-18,ATL,MIN,36:45,8,15,53.333,3,6,50.000,6,7,85.714,25,15.3,17
14,14,2021-01-22,ATL,MIN,26:52,4,7,57.143,1,4,25.000,2,2,100.000,11,10.2,11
15,15,2021-01-24,ATL,MIL,41:35,13,21,61.905,2,5,40.000,5,6,83.333,33,24.5,-1
16,16,2021-01-26,ATL,LAC,36:06,7,16,43.750,2,7,28.571,6,6,100.000,22,18.0,9
17,17,2021-01-27,ATL,BKN,45:05,7,12,58.333,1,4,25.000,6,7,85.714,21,20.7,-1
18,18,2021-01-29,ATL,WAS,12:05,3,7,42.857,0,2,0.000,0,0,0.000,6,5.0,7
19,19,2021-03-22,ATL,LAC,20:29,3,6,50.000,1,3,33.333,1,2,50.000,8,6.2,-16
20,20,2021-03-24,ATL,SAC,25:45,1,7,14.286,0,2,0.000,0,0,0.000,2,-3.9,8
21,21,2021-05-10,ATL,WAS,13:31,3,7,42.857,0,2,0.000,0,0,0.000,6,3.2,2
22,22,2021-05-13,ATL,ORL,15:19,1,7,14.286,0,3,0.000,2,2,100.000,4,2.8,4
