Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2023-10-25,MIA,DET,13:11,3,3,100.000,0,0,0.000,0,0,0.000,6,7.3,4
2,2,2023-10-27,MIA,BOS,14:19,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.2,-8
3,3,2023-10-28,MIA,MIN,18:14,3,4,75.000,1,2,50.000,0,0,0.000,7,4.0,5
4,4,2023-10-30,MIA,MIL,22:42,3,9,33.333,2,5,40.000,0,0,0.000,8,6.9,-7
5,5,2023-11-01,MIA,BKN,19:08,1,9,11.111,0,6,0.000,0,0,0.000,2,-2.1,7
6,6,2023-11-03,MIA,WAS,21:36,4,5,80.000,0,1,0.000,1,1,100.000,9,12.5,3
7,7,2023-11-06,MIA,LAL,18:18,4,7,57.143,1,4,25.000,0,0,0.000,9,7.0,0
8,8,2023-11-08,MIA,MEM,21:08,4,5,80.000,1,1,100.000,2,3,66.667,11,11.0,-6
9,9,2023-11-11,MIA,ATL,38:28,8,17,47.059,2,7,28.571,2,2,100.000,20,12.2,2
10,10,2023-11-12,MIA,SAS,32:16,4,10,40.000,1,2,50.000,2,2,100.000,11,12.2,10
11,11,2023-11-14,MIA,CHA,32:54,8,13,61.538,1,3,33.333,0,0,0.000,17,12.7,6
12,12,2023-11-16,MIA,BKN,33:19,4,9,44.444,2,5,40.000,0,0,0.000,10,7.8,4
13,13,2023-11-18,MIA,CHI,27:01,2,4,50.000,1,1,100.000,1,2,50.000,6,0.3,-25
14,14,2023-11-20,MIA,CHI,32:42,8,13,61.538,3,4,75.000,0,0,0.000,19,19.2,24
15,15,2023-11-22,MIA,CLE,28:02,7,10,70.000,4,4,100.000,4,5,80.000,22,15.9,16
16,16,2023-11-24,MIA,NYK,34:52,6,17,35.294,1,6,16.667,2,2,100.000,15,10.8,-18
17,17,2023-11-25,MIA,BKN,31:14,8,15,53.333,2,3,66.667,0,0,0.000,18,14.0,-18
18,18,2023-11-28,MIA,MIL,32:50,7,9,77.778,0,1,0.000,0,0,0.000,14,15.0,5
19,19,2023-11-30,MIA,IND,33:04,8,13,61.538,1,3,33.333,7,7,100.000,24,17.1,18
20,20,2023-12-02,MIA,IND,28:40,4,9,44.444,1,2,50.000,2,5,40.000,11,9.7,-6
21,21,2023-12-06,MIA,TOR,32:07,6,13,46.154,1,4,25.000,2,2,100.000,15,6.9,-16
22,22,2023-12-08,MIA,CLE,34:52,7,13,53.846,0,2,0.000,0,0,0.000,14,7.6,1
23,23,2023-12-11,MIA,CHA,24:13,5,8,62.500,2,3,66.667,6,6,100.000,18,10.7,-2
24,24,2023-12-13,MIA,CHA,33:10,7,16,43.750,2,2,100.000,1,1,100.000,17,15.8,-3
25,25,2023-12-14,MIA,CHI,34:19,6,14,42.857,1,4,25.000,9,10,90.000,22,14.6,3
26,26,2023-12-16,MIA,CHI,34:34,8,14,57.143,1,3,33.333,1,1,100.000,18,15.7,8
27,27,2023-12-18,MIA,MIN,30:08,3,8,37.500,0,1,0.000,2,2,100.000,8,3.7,-1
28,28,2023-12-20,MIA,ORL,33:52,3,10,30.000,0,3,0.000,4,6,66.667,10,6.1,-8
29,29,2023-12-22,MIA,ATL,37:16,7,14,50.000,1,1,100.000,4,5,80.000,19,14.1,11
30,30,2023-12-25,MIA,PHI,39:29,11,15,73.333,1,3,33.333,8,8,100.000,31,31.4,-1
31,31,2023-12-28,MIA,GSW,38:41,7,15,46.667,2,5,40.000,1,2,50.000,17,13.2,8
32,32,2023-12-30,MIA,UTA,35:08,2,9,22.222,0,4,0.000,5,5,100.000,9,0.9,-16
33,33,2024-01-01,MIA,LAC,38:29,6,13,46.154,0,3,0.000,3,4,75.000,15,12.9,-17
34,34,2024-01-03,MIA,LAL,39:03,7,14,50.000,2,6,33.333,0,0,0.000,16,13.9,24
35,35,2024-01-05,MIA,PHX,35:28,5,7,71.429,0,2,0.000,0,0,0.000,10,6.5,-18
36,36,2024-01-08,MIA,HOU,38:37,5,11,45.455,1,2,50.000,3,4,75.000,14,10.5,6
37,37,2024-01-10,MIA,OKC,33:56,6,9,66.667,3,5,60.000,6,9,66.667,21,14.2,-4
38,38,2024-01-12,MIA,ORL,36:58,8,16,50.000,0,2,0.000,3,3,100.000,19,13.6,-4
39,39,2024-01-14,MIA,CHA,14:37,7,11,63.636,0,0,0.000,1,1,100.000,15,14.0,8
40,40,2024-01-27,MIA,NYK,23:41,1,3,33.333,1,2,50.000,3,4,75.000,6,8.1,-18
