Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2015-10-28,DEN,HOU,3:55,1,1,100.000,0,0,0.000,0,0,0.000,2,0.7,1
2,2,2015-10-30,DEN,MIN,18:09,5,8,62.500,0,0,0.000,0,0,0.000,10,7.8,10
3,3,2015-11-01,DEN,OKC,24:26,4,9,44.444,0,0,0.000,0,0,0.000,8,3.9,-2
4,4,2015-11-05,DEN,UTA,17:44,1,4,25.000,0,0,0.000,3,4,75.000,5,2.8,-6
5,5,2015-11-06,DEN,GSW,17:00,2,4,50.000,0,0,0.000,0,2,0.000,4,4.2,-5
6,6,2015-11-09,DEN,POR,15:37,3,3,100.000,0,0,0.000,4,4,100.000,10,10.6,-1
7,7,2015-11-11,DEN,MIL,14:26,4,7,57.143,0,0,0.000,0,1,0.000,8,9.8,9
8,8,2015-11-13,DEN,HOU,5:48,1,3,33.333,0,1,0.000,1,2,50.000,3,1.4,5
9,9,2015-11-14,DEN,PHX,18:17,2,3,66.667,0,0,0.000,0,0,0.000,4,7.1,2
10,10,2015-11-17,DEN,NOP,0:40,0,0,0.000,0,0,0.000,0,0,0.000,0,0.7,0
11,11,2015-11-18,DEN,SAS,31:54,8,13,61.538,1,1,100.000,6,6,100.000,23,26.4,-2
12,12,2015-11-20,DEN,PHX,17:51,2,6,33.333,0,1,0.000,2,2,100.000,6,5.1,-9
13,13,2015-11-22,DEN,GSW,27:21,3,7,42.857,0,0,0.000,5,7,71.429,11,14.5,-12
14,14,2015-11-24,DEN,LAC,24:27,7,13,53.846,0,1,0.000,2,3,66.667,16,9.9,-4
15,15,2015-11-27,DEN,SAS,12:24,3,4,75.000,0,0,0.000,0,0,0.000,6,0.8,5
16,16,2015-11-28,DEN,DAL,18:34,2,3,66.667,1,1,100.000,3,4,75.000,8,5.7,-7
17,17,2015-11-30,DEN,MIL,25:22,4,7,57.143,0,1,0.000,0,2,0.000,8,7.5,-14
18,18,2015-12-02,DEN,CHI,10:08,3,6,50.000,1,1,100.000,0,0,0.000,7,5.2,-1
19,19,2015-12-03,DEN,TOR,13:54,4,7,57.143,0,0,0.000,0,0,0.000,8,6.9,3
20,20,2015-12-08,DEN,ORL,17:04,2,6,33.333,0,0,0.000,0,0,0.000,4,2.5,2
21,21,2015-12-11,DEN,MIN,24:31,5,10,50.000,1,2,50.000,8,8,100.000,19,16.8,9
22,22,2015-12-14,DEN,HOU,22:05,3,3,100.000,0,0,0.000,3,3,100.000,9,10.5,24
23,23,2015-12-15,DEN,MIN,20:33,3,4,75.000,0,0,0.000,0,0,0.000,6,7.7,12
24,24,2015-12-18,DEN,UTA,21:01,1,5,20.000,0,2,0.000,5,6,83.333,7,5.5,-5
25,25,2015-12-20,DEN,NOP,22:53,6,8,75.000,0,1,0.000,1,2,50.000,13,12.0,11
26,26,2015-12-22,DEN,LAL,29:59,5,7,71.429,0,0,0.000,5,6,83.333,15,17.2,3
27,27,2015-12-23,DEN,PHX,21:32,5,7,71.429,1,2,50.000,2,2,100.000,13,14.0,18
28,28,2015-12-26,DEN,SAS,26:09,10,19,52.632,1,2,50.000,1,2,50.000,22,17.0,7
29,29,2015-12-27,DEN,OKC,17:21,3,7,42.857,1,1,100.000,0,0,0.000,7,3.4,4
30,30,2015-12-29,DEN,CLE,22:25,4,11,36.364,0,0,0.000,2,3,66.667,10,4.4,4
31,31,2015-12-30,DEN,POR,18:22,3,6,50.000,0,0,0.000,4,4,100.000,10,10.1,0
32,32,2016-01-02,DEN,GSW,5:24,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.8,-17
33,33,2016-01-03,DEN,POR,21:54,3,7,42.857,0,1,0.000,3,4,75.000,9,9.6,0
34,34,2016-01-06,DEN,MIN,25:45,2,5,40.000,0,1,0.000,0,0,0.000,4,3.3,-7
35,35,2016-01-08,DEN,MEM,18:31,4,4,100.000,1,1,100.000,0,0,0.000,9,9.4,4
36,36,2016-01-10,DEN,CHA,23:08,2,4,50.000,0,1,0.000,0,0,0.000,4,9.7,4
37,37,2016-01-13,DEN,GSW,15:45,3,6,50.000,0,1,0.000,0,0,0.000,6,8.1,13
38,38,2016-01-15,DEN,MIA,17:40,4,7,57.143,0,0,0.000,1,1,100.000,9,10.7,3
39,39,2016-01-17,DEN,IND,24:14,6,11,54.545,1,3,33.333,5,6,83.333,18,18.0,4
40,40,2016-01-19,DEN,OKC,19:09,2,4,50.000,0,1,0.000,2,2,100.000,6,5.2,3
41,41,2016-01-21,DEN,MEM,13:43,2,3,66.667,0,0,0.000,5,5,100.000,9,10.9,-1
42,42,2016-01-23,DEN,DET,31:50,7,11,63.636,1,1,100.000,2,2,100.000,17,19.0,6
43,43,2016-01-25,DEN,ATL,18:15,5,7,71.429,0,1,0.000,5,6,83.333,15,19.9,12
44,44,2016-01-27,DEN,BOS,19:12,1,6,16.667,0,0,0.000,1,2,50.000,3,2.8,-7
45,45,2016-01-28,DEN,WAS,25:28,7,12,58.333,0,1,0.000,1,3,33.333,15,15.4,6
46,46,2016-01-30,DEN,IND,35:18,7,15,46.667,1,2,50.000,1,1,100.000,16,14.6,11
47,47,2016-02-01,DEN,TOR,29:57,12,18,66.667,1,3,33.333,2,4,50.000,27,24.1,12
48,48,2016-02-03,DEN,UTA,29:01,3,9,33.333,1,2,50.000,1,2,50.000,8,8.3,-3
49,49,2016-02-05,DEN,CHI,25:42,6,14,42.857,2,2,100.000,2,2,100.000,16,13.9,5
50,50,2016-02-07,DEN,NYK,18:34,4,9,44.444,1,1,100.000,4,4,100.000,13,10.1,-4
51,51,2016-02-08,DEN,BKN,13:57,1,5,20.000,0,1,0.000,0,0,0.000,2,-0.6,-10
52,52,2016-02-10,DEN,DET,24:55,2,7,28.571,0,1,0.000,1,1,100.000,5,4.1,5
53,53,2016-02-19,DEN,SAC,3:40,0,0,0.000,0,0,0.000,0,0,0.000,0,-2.3,-3
54,54,2016-02-21,DEN,BOS,30:12,10,15,66.667,1,2,50.000,2,2,100.000,23,20.8,-11
55,55,2016-02-23,DEN,SAC,20:11,4,8,50.000,1,2,50.000,4,4,100.000,13,16.7,-5
56,56,2016-02-24,DEN,LAC,26:13,3,9,33.333,1,4,25.000,0,0,0.000,7,6.8,8
57,57,2016-02-26,DEN,DAL,10:58,2,4,50.000,0,0,0.000,1,2,50.000,5,4.2,4
58,58,2016-02-29,DEN,MEM,19:06,3,4,75.000,0,0,0.000,4,4,100.000,10,10.2,-2
59,59,2016-03-02,DEN,LAL,28:23,3,8,37.500,1,2,50.000,7,8,87.500,14,11.9,17
60,60,2016-03-04,DEN,BKN,33:52,6,14,42.857,0,2,0.000,3,3,100.000,15,12.5,-1
61,61,2016-03-06,DEN,DAL,20:39,4,11,36.364,0,2,0.000,5,5,100.000,13,11.5,9
62,62,2016-03-08,DEN,NYK,33:52,9,20,45.000,0,1,0.000,2,4,50.000,20,15.5,10
63,63,2016-03-10,DEN,PHX,27:24,6,8,75.000,1,2,50.000,5,5,100.000,18,23.9,20
64,64,2016-03-12,DEN,WAS,16:31,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-4
65,65,2016-03-14,DEN,MIA,27:48,5,10,50.000,1,2,50.000,1,2,50.000,12,13.9,4
66,66,2016-03-15,DEN,ORL,25:19,5,8,62.500,1,1,100.000,3,3,100.000,14,14.7,-5
67,67,2016-03-17,DEN,ATL,22:06,4,7,57.143,0,1,0.000,0,0,0.000,8,7.9,-25
68,68,2016-03-19,DEN,CHA,24:45,5,16,31.250,1,2,50.000,0,0,0.000,11,8.5,6
69,69,2016-03-21,DEN,CLE,22:36,4,12,33.333,0,1,0.000,3,3,100.000,11,8.1,-24
70,70,2016-03-23,DEN,PHI,27:00,5,6,83.333,0,0,0.000,8,12,66.667,18,20.1,9
71,71,2016-03-25,DEN,LAL,21:42,4,9,44.444,0,2,0.000,0,0,0.000,8,8.3,-2
72,72,2016-03-27,DEN,LAC,20:51,2,7,28.571,0,1,0.000,1,2,50.000,5,6.4,-18
73,73,2016-03-28,DEN,DAL,23:55,1,7,14.286,0,2,0.000,0,0,0.000,2,-0.5,10
74,74,2016-03-30,DEN,MEM,28:41,4,6,66.667,1,1,100.000,0,0,0.000,9,11.0,3
75,75,2016-03-31,DEN,NOP,23:06,4,7,57.143,1,3,33.333,0,0,0.000,9,11.3,-8
76,76,2016-04-02,DEN,SAC,32:14,2,6,33.333,0,1,0.000,2,2,100.000,6,13.2,-1
77,77,2016-04-05,DEN,OKC,19:03,3,5,60.000,1,3,33.333,0,0,0.000,7,7.3,-9
78,78,2016-04-08,DEN,SAS,32:13,3,9,33.333,0,2,0.000,2,2,100.000,8,12.3,24
