Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2022-10-26,MIA,POR,13:43,1,3,33.333,0,1,0.000,0,0,0.000,2,-0.7,3
2,2,2022-10-27,MIA,GSW,7:36,2,4,50.000,0,2,0.000,0,0,0.000,4,3.7,-2
3,3,2022-10-29,MIA,SAC,0:50,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-5
4,4,2022-11-12,MIA,CHA,1:38,1,1,100.000,1,1,100.000,0,0,0.000,3,1.7,0
5,5,2022-11-16,MIA,TOR,23:49,4,8,50.000,1,3,33.333,4,4,100.000,13,9.6,-3
6,6,2022-11-18,MIA,WAS,30:14,4,10,40.000,1,3,33.333,9,10,90.000,18,14.0,6
7,7,2022-11-20,MIA,CLE,32:13,2,9,22.222,1,6,16.667,2,2,100.000,7,6.2,-7
8,8,2022-11-21,MIA,MIN,22:53,1,5,20.000,0,3,0.000,2,2,100.000,4,4.5,-2
9,9,2022-11-23,MIA,WAS,12:28,3,7,42.857,1,3,33.333,0,0,0.000,7,2.8,-8
10,10,2022-11-25,MIA,WAS,14:28,3,6,50.000,0,3,0.000,1,1,100.000,7,5.6,-1
11,11,2022-12-06,MIA,DET,9:00,2,4,50.000,1,3,33.333,0,0,0.000,5,2.3,-9
12,12,2022-12-17,MIA,SAS,14:47,1,3,33.333,1,2,50.000,0,0,0.000,3,0.8,10
13,13,2022-12-20,MIA,CHI,1:21,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,4
14,14,2022-12-26,MIA,MIN,18:57,4,8,50.000,1,4,25.000,0,0,0.000,9,5.4,-2
15,15,2022-12-28,MIA,LAL,0:27,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
1,1,2023-10-28,MIA,MIN,21:06,3,6,50.000,2,4,50.000,0,0,0.000,8,11.3,6
2,2,2023-10-30,MIA,MIL,7:23,1,2,50.000,1,1,100.000,2,2,100.000,5,3.2,9
3,3,2023-11-25,MIA,BKN,16:34,0,3,0.000,0,1,0.000,1,2,50.000,1,0.2,-5
4,4,2023-12-06,MIA,TOR,3:18,0,1,0.000,0,1,0.000,0,0,0.000,0,-1.9,-3
5,5,2023-12-28,MIA,GSW,19:32,4,5,80.000,0,1,0.000,3,5,60.000,11,12.6,10
6,6,2023-12-30,MIA,UTA,9:50,2,2,100.000,2,2,100.000,0,0,0.000,6,4.1,2
7,7,2024-01-01,MIA,LAC,2:55,1,2,50.000,1,2,50.000,0,0,0.000,3,2.7,3
8,8,2024-01-03,MIA,LAL,28:05,6,11,54.545,3,5,60.000,0,0,0.000,15,12.6,3
9,9,2024-01-05,MIA,PHX,24:16,1,3,33.333,1,3,33.333,0,0,0.000,3,3.6,-10
10,10,2024-01-08,MIA,HOU,21:23,2,9,22.222,1,5,20.000,1,4,25.000,6,7.3,7
11,11,2024-01-10,MIA,OKC,32:35,5,8,62.500,3,5,60.000,2,2,100.000,15,15.2,13
12,12,2024-01-12,MIA,ORL,24:59,1,8,12.500,1,4,25.000,1,2,50.000,4,-0.7,-1
13,13,2024-01-14,MIA,CHA,27:52,2,6,33.333,1,2,50.000,0,0,0.000,5,2.7,13
14,14,2024-01-15,MIA,BKN,18:44,2,4,50.000,1,3,33.333,0,0,0.000,5,5.3,17
15,15,2024-01-17,MIA,TOR,21:01,4,9,44.444,1,2,50.000,1,2,50.000,10,7.9,6
16,16,2024-01-19,MIA,ATL,14:58,1,5,20.000,0,1,0.000,0,0,0.000,2,-0.2,4
17,17,2024-01-21,MIA,ORL,15:02,1,4,25.000,0,1,0.000,0,1,0.000,2,-1.7,-2
18,18,2024-01-25,MIA,BOS,6:37,1,4,25.000,1,2,50.000,0,0,0.000,3,1.3,-1
19,19,2024-01-27,MIA,NYK,1:11,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,4
20,20,2024-02-07,MIA,SAS,2:26,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.0,-5
21,21,2024-02-13,MIA,MIL,30:29,8,13,61.538,5,8,62.500,3,4,75.000,24,22.5,14
22,22,2024-02-14,MIA,PHI,14:06,1,2,50.000,1,2,50.000,0,0,0.000,3,1.4,-2
23,23,2024-02-23,MIA,NOP,20:41,1,3,33.333,1,1,100.000,0,0,0.000,3,2.9,7
24,24,2024-02-27,MIA,POR,15:11,3,5,60.000,2,4,50.000,0,2,0.000,8,5.1,2
25,25,2024-02-29,MIA,DEN,24:35,3,8,37.500,1,4,25.000,0,0,0.000,7,4.1,-16
26,26,2024-03-02,MIA,UTA,18:52,3,6,50.000,2,5,40.000,0,0,0.000,8,8.9,7
27,27,2024-03-05,MIA,DET,21:22,3,5,60.000,1,2,50.000,1,2,50.000,8,9.1,8
28,28,2024-03-07,MIA,DAL,15:57,2,6,33.333,0,3,0.000,0,0,0.000,4,-0.5,0
29,29,2024-03-08,MIA,OKC,29:34,2,5,40.000,1,3,33.333,2,2,100.000,7,8.8,4
