Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2016-12-07,BKN,DEN,9:07,0,3,0.000,0,1,0.000,0,0,0.000,0,2.5,-2
2,2,2016-12-10,BKN,SAS,15:17,1,5,20.000,0,3,0.000,0,0,0.000,2,-0.8,-10
3,3,2016-12-12,BKN,HOU,14:36,2,5,40.000,2,4,50.000,1,2,50.000,7,4.5,-6
4,4,2016-12-14,BKN,LAL,10:34,1,3,33.333,0,2,0.000,1,2,50.000,3,4.5,3
5,5,2016-12-16,BKN,ORL,10:52,2,3,66.667,1,2,50.000,0,0,0.000,5,6.9,4
6,6,2016-12-18,BKN,PHI,11:28,1,3,33.333,0,1,0.000,0,0,0.000,2,0.3,-9
7,7,2016-12-20,BKN,TOR,18:40,1,6,16.667,1,3,33.333,0,0,0.000,3,-1.9,8
8,8,2016-12-22,BKN,GSW,12:56,2,6,33.333,0,1,0.000,1,2,50.000,5,4.3,4
9,9,2016-12-23,BKN,CLE,23:45,2,7,28.571,2,5,40.000,3,4,75.000,9,8.7,4
10,10,2016-12-26,BKN,CHA,14:40,2,3,66.667,1,2,50.000,0,0,0.000,5,2.9,3
11,11,2016-12-28,BKN,CHI,20:17,1,4,25.000,1,4,25.000,0,0,0.000,3,3.2,1
12,12,2016-12-30,BKN,WAS,24:11,4,5,80.000,2,3,66.667,2,2,100.000,12,12.5,-13
13,13,2017-01-02,BKN,UTA,14:02,0,2,0.000,0,2,0.000,0,0,0.000,0,-2.2,-7
14,14,2017-01-05,BKN,IND,21:14,2,3,66.667,2,3,66.667,0,0,0.000,6,7.0,4
15,15,2017-01-06,BKN,CLE,27:23,7,12,58.333,2,7,28.571,3,3,100.000,19,15.9,10
16,16,2017-01-08,BKN,PHI,21:06,3,5,60.000,0,1,0.000,0,1,0.000,6,2.8,9
17,17,2017-01-10,BKN,ATL,23:02,4,9,44.444,1,4,25.000,2,3,66.667,11,6.2,-17
18,18,2017-01-12,BKN,NOP,25:28,4,8,50.000,1,5,20.000,1,2,50.000,10,8.4,3
19,19,2017-01-13,BKN,TOR,18:30,1,5,20.000,1,5,20.000,0,0,0.000,3,-2.2,-6
20,20,2017-01-15,BKN,HOU,22:28,2,8,25.000,2,6,33.333,2,2,100.000,8,6.2,7
21,21,2017-01-17,BKN,TOR,23:16,6,8,75.000,2,3,66.667,0,0,0.000,14,14.3,9
22,22,2017-01-20,BKN,NOP,24:57,6,6,100.000,3,3,100.000,2,2,100.000,17,18.8,3
23,23,2017-01-21,BKN,CHA,18:25,2,4,50.000,0,2,0.000,5,6,83.333,9,10.7,-9
24,24,2017-01-25,BKN,MIA,26:03,4,8,50.000,1,5,20.000,3,4,75.000,12,9.3,-11
25,25,2017-01-28,BKN,MIN,27:25,4,8,50.000,1,2,50.000,2,3,66.667,11,9.0,-10
26,26,2017-01-30,BKN,MIA,26:46,2,8,25.000,0,2,0.000,0,0,0.000,4,1.6,7
27,27,2017-02-01,BKN,NYK,26:34,4,9,44.444,2,4,50.000,0,0,0.000,10,6.5,0
28,28,2017-02-03,BKN,IND,29:42,1,9,11.111,0,4,0.000,2,2,100.000,4,-0.5,-24
29,29,2017-02-08,BKN,WAS,26:10,2,6,33.333,1,3,33.333,4,6,66.667,9,8.0,-2
30,30,2017-02-10,BKN,MIA,18:34,4,7,57.143,1,1,100.000,0,1,0.000,9,3.7,-3
31,31,2017-02-13,BKN,MEM,21:26,1,6,16.667,0,4,0.000,0,0,0.000,2,-2.0,-5
32,32,2017-02-15,BKN,MIL,13:26,0,3,0.000,0,2,0.000,2,2,100.000,2,1.1,-15
33,33,2017-02-24,BKN,DEN,26:23,4,9,44.444,1,5,20.000,1,2,50.000,10,7.2,-7
34,34,2017-03-01,BKN,SAC,24:39,6,9,66.667,1,1,100.000,0,0,0.000,13,14.4,12
35,35,2017-03-03,BKN,UTA,20:03,2,6,33.333,0,4,0.000,0,0,0.000,4,2.2,-19
36,36,2017-03-04,BKN,POR,24:17,3,7,42.857,0,2,0.000,1,2,50.000,7,7.9,-6
37,37,2017-03-06,BKN,MEM,25:00,5,6,83.333,2,3,66.667,2,5,40.000,14,9.8,9
38,38,2017-03-08,BKN,ATL,23:42,3,6,50.000,1,4,25.000,0,0,0.000,7,6.9,-2
39,39,2017-03-10,BKN,DAL,21:51,1,5,20.000,0,2,0.000,0,0,0.000,2,1.2,-9
40,40,2017-03-12,BKN,NYK,26:18,4,4,100.000,2,2,100.000,3,4,75.000,13,16.6,-4
41,41,2017-03-14,BKN,OKC,23:04,4,6,66.667,1,2,50.000,7,8,87.500,16,16.8,-2
42,42,2017-03-16,BKN,NYK,25:20,5,9,55.556,1,3,33.333,2,2,100.000,13,9.4,9
43,43,2017-03-17,BKN,BOS,24:56,1,6,16.667,1,4,25.000,2,2,100.000,5,4.4,1
44,44,2017-03-19,BKN,DAL,25:23,2,6,33.333,1,3,33.333,0,0,0.000,5,2.0,5
45,45,2017-03-21,BKN,DET,25:19,5,8,62.500,3,4,75.000,2,2,100.000,15,13.0,9
46,46,2017-03-23,BKN,PHX,20:29,3,6,50.000,1,3,33.333,1,3,33.333,8,4.8,-3
47,47,2017-03-24,BKN,WAS,18:12,2,4,50.000,0,1,0.000,0,0,0.000,4,3.2,-7
48,48,2017-03-26,BKN,ATL,25:50,4,9,44.444,0,2,0.000,0,0,0.000,8,3.9,-5
49,49,2017-03-28,BKN,PHI,26:20,3,9,33.333,2,6,33.333,1,2,50.000,9,2.2,1
50,50,2017-03-30,BKN,DET,24:34,3,9,33.333,1,1,100.000,0,0,0.000,7,7.0,8
51,51,2017-04-01,BKN,ORL,20:21,4,8,50.000,1,4,25.000,0,0,0.000,9,5.5,-6
52,52,2017-04-02,BKN,ATL,18:13,3,8,37.500,1,4,25.000,2,2,100.000,9,3.5,-4
53,53,2017-04-04,BKN,PHI,19:26,3,5,60.000,1,3,33.333,0,0,0.000,7,10.1,26
54,54,2017-04-06,BKN,ORL,26:49,7,12,58.333,2,4,50.000,4,4,100.000,20,15.9,-10
55,55,2017-04-08,BKN,CHI,25:26,7,11,63.636,4,7,57.143,1,4,25.000,19,12.9,10
56,56,2017-04-10,BKN,BOS,27:43,4,12,33.333,2,6,33.333,2,2,100.000,12,6.4,-5
57,57,2017-04-12,BKN,CHI,24:55,5,13,38.462,0,5,0.000,0,0,0.000,10,4.4,-22
1,1,2017-10-18,BKN,IND,27:45,5,15,33.333,1,4,25.000,1,1,100.000,12,7.4,-2
2,2,2017-10-20,BKN,ORL,27:18,4,11,36.364,0,4,0.000,1,3,33.333,9,2.7,12
