Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2008-10-29,MIN,SAC,18:31,5,8,62.500,0,0,0.000,2,2,100.000,12,12.9,20
2,2,2008-11-01,MIN,DAL,22:32,3,7,42.857,0,2,0.000,3,3,100.000,9,5.9,0
3,3,2008-11-02,MIN,OKC,17:34,1,2,50.000,0,1,0.000,2,2,100.000,4,6.2,-9
4,4,2008-11-05,MIN,SAS,36:38,4,13,30.769,1,2,50.000,5,6,83.333,14,13.1,2
5,5,2008-11-07,MIN,SAC,30:13,6,7,85.714,0,0,0.000,8,10,80.000,20,18.1,0
6,6,2008-11-08,MIN,POR,26:14,0,7,0.000,0,0,0.000,2,4,50.000,2,-0.3,-6
7,7,2008-11-11,MIN,GSW,26:28,3,6,50.000,0,1,0.000,0,0,0.000,6,5.8,10
8,8,2008-11-15,MIN,POR,24:50,2,9,22.222,0,0,0.000,4,4,100.000,8,3.4,-12
9,9,2008-11-16,MIN,DEN,16:27,2,9,22.222,0,0,0.000,0,0,0.000,4,0.0,-11
10,10,2008-11-19,MIN,PHI,19:46,2,6,33.333,0,0,0.000,5,5,100.000,9,7.5,5
11,11,2008-11-21,MIN,BOS,25:56,3,10,30.000,0,3,0.000,3,4,75.000,9,3.9,-1
12,12,2008-11-23,MIN,DET,17:39,0,2,0.000,0,0,0.000,2,2,100.000,2,2.1,2
13,13,2008-11-26,MIN,PHX,15:18,0,3,0.000,0,0,0.000,3,4,75.000,3,2.4,-8
14,14,2008-11-28,MIN,OKC,17:37,4,7,57.143,0,0,0.000,1,3,33.333,9,5.7,-1
15,15,2008-11-29,MIN,DEN,28:37,7,9,77.778,0,0,0.000,4,4,100.000,18,21.4,-3
16,16,2008-12-01,MIN,CHARLOTTE BOBCATS,22:24,3,7,42.857,0,1,0.000,4,6,66.667,10,8.2,-7
17,17,2008-12-03,MIN,ORL,26:45,6,10,60.000,0,0,0.000,4,4,100.000,16,17.9,4
18,18,2008-12-05,MIN,NEW JERSEY NETS,24:59,3,6,50.000,0,0,0.000,0,0,0.000,6,6.3,-18
19,19,2008-12-06,MIN,LAC,33:08,5,12,41.667,0,0,0.000,3,4,75.000,13,9.2,-13
20,20,2008-12-09,MIN,UTA,26:57,3,9,33.333,0,0,0.000,2,9,22.222,8,4.9,-3
21,21,2008-12-10,MIN,DEN,31:06,4,9,44.444,0,0,0.000,6,6,100.000,14,15.6,-2
22,22,2008-12-12,MIN,SAS,25:18,2,8,25.000,0,0,0.000,0,2,0.000,4,3.6,-12
23,23,2008-12-14,MIN,LAL,20:55,1,5,20.000,0,0,0.000,0,0,0.000,2,1.7,-2
24,24,2008-12-15,MIN,SAC,26:16,3,7,42.857,0,0,0.000,1,2,50.000,7,7.7,-4
25,25,2008-12-17,MIN,CLE,19:12,0,4,0.000,0,0,0.000,0,0,0.000,0,0.5,-18
26,26,2008-12-20,MIN,HOU,6:55,0,1,0.000,0,0,0.000,0,0,0.000,0,0.4,-10
27,27,2008-12-23,MIN,SAS,14:48,0,3,0.000,0,0,0.000,1,2,50.000,1,0.9,4
28,28,2008-12-26,MIN,NYK,8:13,0,1,0.000,0,0,0.000,3,4,75.000,3,-0.4,2
29,29,2008-12-27,MIN,ORL,20:34,2,4,50.000,0,1,0.000,1,2,50.000,5,4.1,1
30,30,2008-12-29,MIN,MEM,31:17,5,7,71.429,0,0,0.000,7,8,87.500,17,16.9,8
31,31,2008-12-30,MIN,DAL,18:49,0,4,0.000,0,0,0.000,0,0,0.000,0,1.0,4
32,32,2009-01-02,MIN,GSW,25:30,6,9,66.667,0,0,0.000,7,8,87.500,19,15.8,8
33,33,2009-01-03,MIN,CHI,21:27,7,15,46.667,0,1,0.000,4,7,57.143,18,14.6,-3
34,34,2009-01-06,MIN,MEM,20:15,3,5,60.000,0,0,0.000,0,0,0.000,6,3.5,-5
35,35,2009-01-07,MIN,OKC,22:56,4,5,80.000,0,0,0.000,8,10,80.000,16,18.7,18
36,36,2009-01-10,MIN,MIL,22:37,2,4,50.000,0,0,0.000,1,2,50.000,5,7.7,9
37,37,2009-01-13,MIN,MIA,24:22,3,7,42.857,0,1,0.000,2,2,100.000,8,9.7,1
38,38,2009-01-16,MIN,PHX,25:57,5,12,41.667,0,0,0.000,3,5,60.000,13,12.2,4
39,39,2009-01-19,MIN,LAC,21:06,2,9,22.222,0,0,0.000,2,3,66.667,6,4.3,-16
40,40,2009-01-20,MIN,UTA,23:56,5,7,71.429,0,0,0.000,2,2,100.000,12,9.6,3
41,41,2009-01-23,MIN,NEW ORLEANS HORNETS,22:09,5,6,83.333,0,0,0.000,1,2,50.000,11,10.4,1
42,42,2009-01-25,MIN,CHI,33:22,8,11,72.727,0,0,0.000,3,6,50.000,19,18.7,16
43,43,2009-01-26,MIN,MIL,23:20,2,7,28.571,0,0,0.000,8,8,100.000,12,9.0,-2
44,44,2009-01-28,MIN,DET,25:49,6,11,54.545,0,0,0.000,5,5,100.000,17,16.7,-15
45,45,2009-01-30,MIN,LAL,23:05,5,8,62.500,0,0,0.000,4,4,100.000,14,11.5,-16
46,46,2009-02-01,MIN,BOS,25:30,1,4,25.000,0,0,0.000,4,4,100.000,6,4.9,-14
47,47,2009-02-03,MIN,IND,22:40,5,8,62.500,1,1,100.000,4,4,100.000,15,16.1,9
48,48,2009-02-04,MIN,ATL,30:12,6,10,60.000,0,0,0.000,4,5,80.000,16,16.0,-1
49,49,2009-02-07,MIN,HOU,33:26,1,7,14.286,0,0,0.000,2,2,100.000,4,2.3,-3
50,50,2009-02-08,MIN,NEW ORLEANS HORNETS,27:15,5,7,71.429,0,0,0.000,2,2,100.000,12,15.0,-6
51,51,2009-02-10,MIN,TOR,38:00,6,14,42.857,0,0,0.000,3,4,75.000,15,13.3,-4
52,52,2009-02-17,MIN,WAS,28:52,3,7,42.857,0,0,0.000,11,12,91.667,17,15.9,-8
53,53,2009-02-18,MIN,MIA,30:30,6,10,60.000,0,0,0.000,4,4,100.000,16,10.7,-9
54,54,2009-02-20,MIN,IND,21:39,1,5,20.000,0,0,0.000,3,6,50.000,5,6.3,-15
55,55,2009-02-22,MIN,LAL,22:08,3,7,42.857,0,0,0.000,5,6,83.333,11,6.9,9
56,56,2009-02-24,MIN,TOR,23:07,6,9,66.667,0,0,0.000,3,3,100.000,15,12.9,-11
57,57,2009-02-25,MIN,UTA,36:09,10,12,83.333,0,0,0.000,4,5,80.000,24,24.7,0
58,58,2009-02-27,MIN,POR,28:51,1,4,25.000,0,0,0.000,0,0,0.000,2,0.7,-16
59,59,2009-03-01,MIN,HOU,22:36,4,12,33.333,0,0,0.000,1,2,50.000,9,4.5,-21
60,60,2009-03-03,MIN,GSW,26:14,7,14,50.000,0,0,0.000,4,4,100.000,18,14.6,-22
