Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2019-10-24,LAC,GSW,4:06,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.5,-3
2,2,2019-10-26,LAC,PHX,0:14,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
3,3,2019-10-28,LAC,CHA,1:12,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.7,-2
4,4,2019-10-30,LAC,UTA,10:00,2,3,66.667,0,0,0.000,0,0,0.000,4,7.1,9
5,5,2019-11-03,LAC,UTA,0:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
6,6,2019-11-11,LAC,TOR,0:18,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
7,7,2019-11-13,LAC,HOU,0:24,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,2
8,8,2019-11-14,LAC,NOP,24:59,2,6,33.333,1,3,33.333,0,0,0.000,5,2.2,-2
9,9,2019-11-16,LAC,ATL,33:20,6,8,75.000,0,0,0.000,1,1,100.000,13,13.6,41
10,10,2019-11-18,LAC,OKC,20:46,0,5,0.000,0,2,0.000,3,4,75.000,3,-0.8,-8
11,11,2019-11-20,LAC,BOS,0:54,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-2
12,12,2019-11-24,LAC,NOP,3:20,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,5
13,13,2019-11-26,LAC,DAL,3:00,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.7,-9
14,14,2019-11-27,LAC,MEM,13:44,2,3,66.667,0,1,0.000,2,2,100.000,6,5.5,-1
15,15,2019-11-29,LAC,SAS,3:47,0,0,0.000,0,0,0.000,0,0,0.000,0,1.7,1
16,16,2019-12-01,LAC,WAS,14:53,3,4,75.000,0,0,0.000,1,1,100.000,7,5.2,2
17,17,2019-12-03,LAC,POR,10:21,2,5,40.000,1,3,33.333,0,0,0.000,5,3.4,2
18,18,2019-12-06,LAC,MIL,10:07,1,1,100.000,0,0,0.000,0,0,0.000,2,1.6,3
