Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2019-10-25,CHA,MIN,17:21,1,4,25.000,0,2,0.000,2,2,100.000,4,5.1,-3
2,2,2019-10-27,CHA,LAL,1:44,1,1,100.000,0,0,0.000,1,2,50.000,3,2.3,-4
3,3,2019-10-28,CHA,LAC,3:44,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,7
4,4,2019-10-30,CHA,SAC,4:51,0,0,0.000,0,0,0.000,0,0,0.000,0,1.0,-8
5,5,2019-11-02,CHA,GSW,4:28,0,0,0.000,0,0,0.000,1,2,50.000,1,2.3,4
6,6,2019-11-05,CHA,IND,33:28,0,2,0.000,0,0,0.000,0,0,0.000,0,3.2,27
7,7,2019-11-07,CHA,BOS,16:26,2,4,50.000,0,1,0.000,3,3,100.000,7,9.6,-2
8,8,2019-11-09,CHA,NOP,21:08,4,7,57.143,0,2,0.000,1,2,50.000,9,7.0,6
9,9,2019-11-10,CHA,PHI,10:42,2,3,66.667,1,1,100.000,0,0,0.000,5,2.1,-3
10,10,2019-11-13,CHA,MEM,21:07,1,5,20.000,0,4,0.000,4,4,100.000,6,3.9,-15
11,11,2019-11-15,CHA,DET,26:18,2,6,33.333,0,2,0.000,3,6,50.000,7,11.5,14
12,12,2019-11-16,CHA,NYK,1:46,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,-7
13,13,2019-11-18,CHA,TOR,10:01,0,3,0.000,0,3,0.000,0,0,0.000,0,-1.9,-13
14,14,2019-11-23,CHA,CHI,5:02,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.7,-2
15,15,2019-11-25,CHA,MIA,6:10,2,2,100.000,0,0,0.000,0,1,0.000,4,3.3,11
16,16,2019-11-27,CHA,DET,5:01,0,3,0.000,0,1,0.000,0,0,0.000,0,-1.8,1
17,17,2019-12-08,CHA,ATL,3:00,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,6
18,18,2019-12-11,CHA,BKN,23:40,2,7,28.571,1,3,33.333,1,1,100.000,6,3.8,8
19,19,2019-12-13,CHA,CHI,15:57,1,2,50.000,1,2,50.000,0,0,0.000,3,1.6,-1
20,20,2019-12-15,CHA,IND,27:36,2,4,50.000,1,1,100.000,4,6,66.667,9,8.6,-9
21,21,2019-12-17,CHA,SAC,25:13,3,4,75.000,1,1,100.000,0,1,0.000,7,7.1,2
22,22,2019-12-18,CHA,CLE,28:34,2,6,33.333,0,2,0.000,1,1,100.000,5,7.6,19
23,23,2019-12-21,CHA,UTA,21:33,5,7,71.429,1,1,100.000,0,0,0.000,11,10.1,-1
