Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2021-10-20,SAC,POR,24:26,1,6,16.667,0,2,0.000,0,0,0.000,2,0.0,-10
2,2,2021-10-22,SAC,UTA,31:34,1,8,12.500,0,4,0.000,1,2,50.000,3,3.7,-11
3,3,2021-10-24,SAC,GSW,32:02,9,16,56.250,3,8,37.500,1,2,50.000,22,15.1,-14
4,4,2021-10-27,SAC,PHX,19:14,2,7,28.571,1,4,25.000,0,0,0.000,5,3.1,9
5,5,2021-10-29,SAC,NOP,29:17,3,9,33.333,2,7,28.571,0,0,0.000,8,4.8,0
6,6,2021-10-31,SAC,DAL,25:40,3,8,37.500,0,3,0.000,0,0,0.000,6,0.8,-2
7,7,2021-11-02,SAC,UTA,29:36,7,15,46.667,2,7,28.571,2,4,50.000,18,9.2,-1
8,8,2021-11-03,SAC,NOP,26:04,6,12,50.000,0,2,0.000,0,0,0.000,12,11.4,12
9,9,2021-11-05,SAC,CHA,24:50,6,11,54.545,4,5,80.000,3,3,100.000,19,15.9,15
10,10,2021-11-07,SAC,IND,28:21,1,7,14.286,0,1,0.000,0,0,0.000,2,3.3,6
11,11,2021-11-08,SAC,PHX,31:18,5,11,45.455,2,2,100.000,0,0,0.000,12,6.3,11
12,12,2021-11-10,SAC,SAS,25:46,6,15,40.000,1,8,12.500,0,0,0.000,13,5.8,-13
13,13,2021-11-12,SAC,OKC,20:35,2,6,33.333,1,2,50.000,0,0,0.000,5,4.6,-15
14,14,2021-11-15,SAC,DET,19:19,3,6,50.000,1,2,50.000,0,0,0.000,7,9.0,11
15,15,2021-11-17,SAC,MIN,21:53,2,7,28.571,1,5,20.000,2,2,100.000,7,8.9,10
16,16,2021-11-19,SAC,TOR,25:42,2,10,20.000,1,5,20.000,0,2,0.000,5,0.9,-13
17,17,2021-11-20,SAC,UTA,16:04,2,8,25.000,1,4,25.000,1,2,50.000,6,2.2,-11
