Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2021-10-20,CLE,MEM,38:18,7,13,53.846,1,2,50.000,2,3,66.667,17,18.1,-18
2,2,2021-10-22,CLE,CHA,32:27,4,7,57.143,0,0,0.000,5,6,83.333,13,11.2,-7
3,3,2021-10-23,CLE,ATL,35:09,7,12,58.333,0,2,0.000,3,3,100.000,17,18.8,6
4,4,2021-10-25,CLE,DEN,26:13,4,8,50.000,0,0,0.000,2,2,100.000,10,7.5,16
5,5,2021-10-27,CLE,LAC,34:07,3,10,30.000,0,0,0.000,6,6,100.000,12,11.2,11
6,6,2021-10-29,CLE,LAL,36:16,10,16,62.500,1,2,50.000,2,5,40.000,23,21.3,0
7,7,2021-10-30,CLE,PHX,21:20,1,6,16.667,0,1,0.000,0,0,0.000,2,2.2,-6
8,8,2021-11-01,CLE,CHA,40:03,7,15,46.667,0,2,0.000,1,2,50.000,15,10.7,-2
9,9,2021-11-03,CLE,POR,39:39,5,11,45.455,0,1,0.000,1,2,50.000,11,4.9,-11
10,10,2021-11-05,CLE,TOR,38:22,7,14,50.000,0,3,0.000,4,4,100.000,18,11.8,-7
11,11,2021-11-07,CLE,NYK,35:36,11,15,73.333,2,4,50.000,2,2,100.000,26,27.6,26
12,12,2021-11-10,CLE,WAS,25:30,7,15,46.667,1,3,33.333,4,5,80.000,19,11.9,-11
13,13,2021-11-12,CLE,DET,34:51,6,10,60.000,2,2,100.000,2,4,50.000,16,15.2,29
14,14,2021-11-13,CLE,BOS,39:42,8,13,61.538,1,2,50.000,2,2,100.000,19,20.6,16
15,15,2021-11-15,CLE,BOS,28:40,0,11,0.000,0,2,0.000,1,2,50.000,1,-1.7,-8
16,16,2021-11-27,CLE,ORL,33:18,5,12,41.667,2,4,50.000,1,2,50.000,13,13.2,3
17,17,2021-11-29,CLE,DAL,35:24,5,10,50.000,0,2,0.000,2,3,66.667,12,6.3,5
18,18,2021-12-01,CLE,MIA,31:35,5,10,50.000,2,3,66.667,5,5,100.000,17,18.7,1
19,19,2021-12-03,CLE,WAS,35:59,3,12,25.000,0,1,0.000,0,0,0.000,6,4.8,21
20,20,2021-12-05,CLE,UTA,37:25,6,15,40.000,1,2,50.000,1,1,100.000,14,14.2,0
21,21,2021-12-06,CLE,MIL,31:20,3,10,30.000,1,4,25.000,5,6,83.333,12,9.6,-7
22,22,2021-12-08,CLE,CHI,31:35,8,11,72.727,0,0,0.000,0,0,0.000,16,19.4,28
23,23,2021-12-10,CLE,MIN,24:20,4,6,66.667,0,0,0.000,3,4,75.000,11,9.3,18
24,24,2021-12-11,CLE,SAC,37:57,7,14,50.000,0,0,0.000,1,2,50.000,15,13.8,20
25,25,2021-12-13,CLE,MIA,34:50,3,11,27.273,0,0,0.000,3,4,75.000,9,6.1,3
26,26,2021-12-28,CLE,NOP,30:09,9,12,75.000,1,2,50.000,3,3,100.000,22,17.1,-8
27,27,2021-12-30,CLE,WAS,32:08,10,20,50.000,0,2,0.000,1,2,50.000,21,14.6,-10
28,28,2021-12-31,CLE,ATL,35:50,8,12,66.667,0,0,0.000,0,0,0.000,16,17.4,1
29,29,2022-01-02,CLE,IND,34:43,11,16,68.750,0,2,0.000,2,4,50.000,24,18.1,-8
30,30,2022-01-04,CLE,MEM,38:17,6,12,50.000,0,1,0.000,5,6,83.333,17,13.3,-7
31,31,2022-01-07,CLE,POR,33:59,7,14,50.000,0,0,0.000,4,8,50.000,18,16.5,-1
32,32,2022-01-09,CLE,GSW,35:32,5,12,41.667,0,1,0.000,1,3,33.333,11,4.3,-2
33,33,2022-01-10,CLE,SAC,42:18,8,14,57.143,0,1,0.000,1,1,100.000,17,15.4,7
34,34,2022-01-12,CLE,UTA,35:34,7,9,77.778,0,0,0.000,1,3,33.333,15,16.1,11
35,35,2022-01-14,CLE,SAS,39:03,7,15,46.667,0,0,0.000,1,3,33.333,15,9.5,14
36,36,2022-01-15,CLE,OKC,33:02,8,14,57.143,0,1,0.000,4,5,80.000,20,14.6,1
37,37,2022-01-17,CLE,BKN,37:12,5,11,45.455,0,1,0.000,2,2,100.000,12,7.5,0
38,38,2022-01-19,CLE,CHI,30:55,8,12,66.667,1,1,100.000,1,4,25.000,18,15.1,5
39,39,2022-01-22,CLE,OKC,38:47,6,12,50.000,1,1,100.000,2,6,33.333,15,11.8,10
40,40,2022-01-24,CLE,NYK,38:27,6,12,50.000,0,1,0.000,3,7,42.857,15,12.5,-10
41,41,2022-01-26,CLE,MIL,33:54,5,12,41.667,1,3,33.333,5,7,71.429,16,13.0,11
