Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2016-10-26,DEN,NOP,13:15,0,2,0.000,0,1,0.000,1,2,50.000,1,0.1,8
2,2,2016-10-29,DEN,POR,11:48,0,2,0.000,0,0,0.000,0,0,0.000,0,0.9,-5
3,3,2016-10-31,DEN,TOR,11:47,0,4,0.000,0,1,0.000,1,1,100.000,1,-2.0,3
4,4,2016-11-03,DEN,MIN,29:27,0,8,0.000,0,4,0.000,0,0,0.000,0,-3.7,5
5,5,2016-11-05,DEN,DET,27:29,4,10,40.000,1,4,25.000,0,0,0.000,9,2.3,-11
6,6,2016-11-06,DEN,BOS,13:14,3,7,42.857,2,4,50.000,1,1,100.000,9,5.6,-2
7,7,2016-11-08,DEN,MEM,17:17,4,7,57.143,2,4,50.000,0,0,0.000,10,6.6,-3
8,8,2016-11-10,DEN,GSW,29:04,5,15,33.333,2,7,28.571,2,2,100.000,14,7.9,-3
9,9,2016-11-12,DEN,DET,19:55,3,6,50.000,1,3,33.333,0,0,0.000,7,4.9,-12
10,10,2016-11-13,DEN,POR,27:45,6,12,50.000,5,9,55.556,2,3,66.667,19,8.0,17
11,11,2016-11-16,DEN,PHX,20:08,3,8,37.500,3,4,75.000,0,0,0.000,9,5.2,4
12,12,2016-11-18,DEN,TOR,18:37,2,8,25.000,0,3,0.000,1,2,50.000,5,3.1,-2
13,13,2016-11-20,DEN,UTA,22:30,6,9,66.667,3,4,75.000,3,4,75.000,18,17.1,14
14,14,2016-11-22,DEN,CHI,21:43,9,13,69.231,3,4,75.000,3,3,100.000,24,21.7,9
15,15,2016-11-23,DEN,UTA,35:10,8,19,42.105,5,8,62.500,2,2,100.000,23,12.9,-6
16,16,2016-11-25,DEN,OKC,34:26,5,16,31.250,2,7,28.571,8,10,80.000,20,11.0,-1
17,17,2016-11-27,DEN,PHX,21:38,3,8,37.500,1,4,25.000,2,2,100.000,9,5.0,4
18,18,2016-11-30,DEN,MIA,23:18,3,10,30.000,2,6,33.333,1,1,100.000,9,3.3,3
19,19,2016-12-02,DEN,HOU,17:08,1,7,14.286,0,5,0.000,0,0,0.000,2,-3.3,2
20,20,2016-12-03,DEN,UTA,17:58,0,4,0.000,0,1,0.000,0,0,0.000,0,-3.2,-12
21,21,2016-12-05,DEN,PHI,23:32,8,12,66.667,3,7,42.857,3,3,100.000,22,18.1,12
22,22,2016-12-07,DEN,BKN,33:33,4,14,28.571,2,8,25.000,2,2,100.000,12,7.6,21
23,23,2016-12-08,DEN,WAS,17:10,2,5,40.000,2,4,50.000,0,0,0.000,6,0.9,-6
24,24,2016-12-10,DEN,ORL,22:01,1,6,16.667,0,3,0.000,0,0,0.000,2,-0.2,16
