Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2016-10-26,TOR,DET,12:47,1,4,25.000,0,0,0.000,0,0,0.000,2,-1.0,-4
2,2,2016-10-28,TOR,CLE,10:49,3,5,60.000,0,0,0.000,1,1,100.000,7,8.0,9
3,3,2016-10-31,TOR,DEN,17:24,0,3,0.000,0,0,0.000,1,2,50.000,1,0.6,-3
4,4,2016-11-02,TOR,WAS,17:23,0,0,0.000,0,0,0.000,0,0,0.000,0,0.2,8
5,5,2016-11-04,TOR,MIA,20:04,1,4,25.000,0,0,0.000,2,2,100.000,4,4.2,6
6,6,2016-11-06,TOR,SAC,18:26,3,4,75.000,0,0,0.000,0,0,0.000,6,5.4,-7
7,7,2016-11-09,TOR,OKC,19:02,2,4,50.000,0,0,0.000,0,0,0.000,4,1.9,-20
8,8,2016-11-18,TOR,DEN,15:52,2,2,100.000,0,0,0.000,2,3,66.667,6,7.8,-2
9,9,2016-11-28,TOR,PHI,3:34,0,0,0.000,0,0,0.000,2,4,50.000,2,0.5,0
10,10,2016-12-02,TOR,LAL,5:38,0,1,0.000,0,0,0.000,0,0,0.000,0,0.9,7
11,11,2016-12-03,TOR,ATL,4:10,1,2,50.000,0,0,0.000,0,1,0.000,2,3.0,6
12,12,2016-12-12,TOR,MIL,2:36,1,1,100.000,0,0,0.000,0,0,0.000,2,2.4,2
13,13,2016-12-14,TOR,PHI,6:52,0,1,0.000,0,0,0.000,0,0,0.000,0,-1.9,-7
14,14,2016-12-18,TOR,ORL,5:23,0,1,0.000,0,0,0.000,0,2,0.000,0,0.5,-3
15,15,2016-12-20,TOR,BKN,5:03,0,1,0.000,0,0,0.000,0,2,0.000,0,-0.5,-5
16,16,2017-01-01,TOR,LAL,8:47,1,1,100.000,0,0,0.000,2,2,100.000,4,3.9,15
17,17,2017-01-03,TOR,SAS,25:34,1,4,25.000,0,0,0.000,2,4,50.000,4,5.1,-8
18,18,2017-01-05,TOR,UTA,6:18,0,0,0.000,0,0,0.000,0,0,0.000,0,1.0,-5
19,19,2017-01-07,TOR,CHI,1:25,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,5
20,20,2017-01-10,TOR,BOS,6:28,1,1,100.000,0,0,0.000,0,0,0.000,2,0.3,-8
21,21,2017-01-13,TOR,BKN,8:23,1,2,50.000,0,0,0.000,2,2,100.000,4,3.5,-5
22,22,2017-01-15,TOR,NYK,3:56,0,1,0.000,0,0,0.000,0,0,0.000,0,-3.7,-14
23,23,2017-01-17,TOR,BKN,14:49,1,1,100.000,0,0,0.000,0,0,0.000,2,1.9,5
24,24,2017-01-18,TOR,PHI,3:52,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.5,-3
25,25,2017-01-20,TOR,CHA,9:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0.1,-12
26,26,2017-02-01,TOR,BOS,9:27,2,2,100.000,0,0,0.000,0,0,0.000,4,5.4,-4
27,27,2017-02-05,TOR,BKN,7:20,0,1,0.000,0,0,0.000,0,0,0.000,0,-1.5,-5
28,28,2017-02-06,TOR,LAC,9:19,1,2,50.000,0,0,0.000,1,1,100.000,3,1.5,1
29,29,2017-02-08,TOR,MIN,15:37,2,2,100.000,0,0,0.000,0,0,0.000,4,6.3,3
30,30,2017-02-12,TOR,DET,19:31,2,3,66.667,0,0,0.000,1,2,50.000,5,5.5,8
31,31,2017-02-14,TOR,CHI,17:52,2,2,100.000,0,0,0.000,0,0,0.000,4,3.7,-3
32,32,2017-02-15,TOR,CHA,12:00,1,3,33.333,0,0,0.000,0,0,0.000,2,1.5,22
33,33,2017-02-26,TOR,POR,5:56,0,1,0.000,0,0,0.000,0,2,0.000,0,-2.0,5
34,34,2017-02-27,TOR,NYK,0:54,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,-5
35,35,2017-03-01,TOR,WAS,6:47,1,1,100.000,0,0,0.000,0,0,0.000,2,2.7,-4
36,36,2017-03-04,TOR,MIL,1:52,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-4
37,37,2017-03-08,TOR,NOP,8:22,1,1,100.000,0,0,0.000,0,2,0.000,2,1.9,-6
38,38,2017-03-11,TOR,MIA,19:08,3,8,37.500,0,0,0.000,0,2,0.000,6,4.7,3
39,39,2017-03-13,TOR,DAL,12:22,1,1,100.000,0,0,0.000,2,2,100.000,4,3.5,7
40,40,2017-03-16,TOR,OKC,16:42,2,3,66.667,0,0,0.000,2,2,100.000,6,6.3,-11
41,41,2017-03-17,TOR,DET,13:05,0,2,0.000,0,0,0.000,0,0,0.000,0,-1.6,-6
42,42,2017-03-19,TOR,IND,23:23,4,6,66.667,0,0,0.000,4,4,100.000,12,12.5,14
43,43,2017-03-21,TOR,CHI,13:01,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.5,-1
44,44,2017-03-23,TOR,MIA,23:29,2,4,50.000,0,0,0.000,0,0,0.000,4,1.4,30
45,45,2017-03-25,TOR,DAL,17:58,2,2,100.000,0,0,0.000,0,0,0.000,4,4.2,7
46,46,2017-03-27,TOR,ORL,12:57,5,6,83.333,0,0,0.000,2,4,50.000,12,9.0,-7
47,47,2017-03-29,TOR,CHA,6:08,0,1,0.000,0,0,0.000,0,0,0.000,0,1.3,-9
48,48,2017-03-31,TOR,IND,14:15,0,1,0.000,0,0,0.000,0,2,0.000,0,-2.0,-1
49,49,2017-04-02,TOR,PHI,19:57,5,6,83.333,0,0,0.000,2,4,50.000,12,12.1,-3
50,50,2017-04-04,TOR,IND,11:51,3,3,100.000,0,0,0.000,2,3,66.667,8,10.4,-5
51,51,2017-04-05,TOR,DET,12:53,2,4,50.000,0,0,0.000,0,0,0.000,4,1.5,0
52,52,2017-04-07,TOR,MIA,3:29,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.1,-4
53,53,2017-04-09,TOR,NYK,14:15,4,4,100.000,0,0,0.000,0,0,0.000,8,7.5,16
54,54,2017-04-12,TOR,CLE,22:53,3,3,100.000,0,0,0.000,1,2,50.000,7,8.1,-3
1,1,2017-10-19,TOR,CHI,17:30,1,2,50.000,0,0,0.000,0,0,0.000,2,-0.7,19
2,2,2017-10-21,TOR,PHI,16:37,6,7,85.714,0,0,0.000,2,4,50.000,14,14.1,22
3,3,2017-10-23,TOR,SAS,25:45,4,5,80.000,0,0,0.000,2,3,66.667,10,13.2,13
4,4,2017-10-25,TOR,GSW,26:40,6,11,54.545,0,0,0.000,0,0,0.000,12,14.8,-2
5,5,2017-10-27,TOR,LAL,18:46,3,5,60.000,0,0,0.000,1,1,100.000,7,8.9,-13
6,6,2017-10-30,TOR,POR,17:39,3,5,60.000,0,0,0.000,0,0,0.000,6,4.7,1
7,7,2017-11-01,TOR,DEN,12:16,2,3,66.667,0,0,0.000,1,2,50.000,5,5.1,-4
8,8,2017-11-03,TOR,UTA,12:29,2,2,100.000,0,0,0.000,0,3,0.000,4,1.8,4
9,9,2017-11-05,TOR,WAS,5:48,1,1,100.000,0,0,0.000,0,2,0.000,2,1.1,-3
10,10,2017-11-07,TOR,CHI,10:57,3,6,50.000,0,0,0.000,0,0,0.000,6,4.7,-3
11,11,2017-11-09,TOR,NOP,19:11,3,5,60.000,0,0,0.000,0,0,0.000,6,9.1,-10
12,12,2017-11-12,TOR,BOS,3:42,1,2,50.000,0,0,0.000,0,0,0.000,2,1.0,-4
13,13,2017-11-14,TOR,HOU,13:36,3,4,75.000,0,0,0.000,1,1,100.000,7,6.6,5
14,14,2017-11-15,TOR,NOP,16:05,1,2,50.000,0,0,0.000,1,2,50.000,3,3.6,5
15,15,2017-11-17,TOR,NYK,11:31,4,5,80.000,0,0,0.000,0,0,0.000,8,4.9,15
16,16,2017-11-19,TOR,WAS,10:11,1,2,50.000,0,0,0.000,3,6,50.000,5,4.8,6
17,17,2017-11-22,TOR,NYK,10:30,0,1,0.000,0,0,0.000,0,0,0.000,0,-2.9,-18
