Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2019-10-31,DEN,NOP,20:52,5,8,62.500,1,3,33.333,4,6,66.667,15,11.1,1
2,2,2019-11-02,DEN,ORL,7:26,1,2,50.000,0,0,0.000,1,2,50.000,3,2.2,0
3,3,2019-11-05,DEN,MIA,3:13,2,2,100.000,0,0,0.000,0,0,0.000,4,3.7,-1
4,4,2019-11-08,DEN,PHI,8:01,1,2,50.000,0,1,0.000,0,0,0.000,2,1.0,-9
5,5,2019-11-10,DEN,MIN,9:03,2,5,40.000,1,1,100.000,0,0,0.000,5,3.3,-6
6,6,2019-11-12,DEN,ATL,6:40,1,2,50.000,0,0,0.000,0,0,0.000,2,0.9,-6
7,7,2019-11-14,DEN,BKN,3:40,0,2,0.000,0,1,0.000,0,0,0.000,0,-0.7,-4
8,8,2019-11-17,DEN,MEM,13:14,0,4,0.000,0,1,0.000,0,0,0.000,0,-2.7,13
9,9,2019-11-22,DEN,BOS,10:04,2,5,40.000,0,2,0.000,0,0,0.000,4,1.7,-9
10,10,2019-11-24,DEN,PHX,7:51,1,2,50.000,0,1,0.000,0,0,0.000,2,1.3,-7
11,11,2019-12-05,DEN,NYK,5:16,2,4,50.000,2,3,66.667,0,0,0.000,6,3.2,-2
12,12,2019-12-06,DEN,BOS,7:57,4,7,57.143,1,2,50.000,0,0,0.000,9,7.4,10
13,13,2019-12-10,DEN,PHI,13:42,2,7,28.571,0,0,0.000,2,2,100.000,6,3.7,-9
14,14,2019-12-12,DEN,POR,9:59,2,4,50.000,2,4,50.000,0,0,0.000,6,1.3,1
15,15,2019-12-14,DEN,OKC,4:23,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.1,-5
16,16,2019-12-15,DEN,NYK,10:56,4,8,50.000,0,1,0.000,1,1,100.000,9,10.1,-4
17,17,2019-12-18,DEN,ORL,8:49,2,3,66.667,0,1,0.000,0,0,0.000,4,4.9,-4
18,18,2019-12-20,DEN,MIN,10:24,1,6,16.667,0,2,0.000,0,0,0.000,2,0.4,-3
19,19,2019-12-22,DEN,LAL,5:06,1,2,50.000,0,0,0.000,0,0,0.000,2,1.2,-2
20,20,2019-12-23,DEN,PHX,6:11,1,1,100.000,1,1,100.000,0,0,0.000,3,1.2,1
21,21,2019-12-25,DEN,NOP,5:45,2,3,66.667,1,2,50.000,0,0,0.000,5,3.9,6
22,22,2019-12-28,DEN,MEM,18:43,4,7,57.143,3,5,60.000,0,0,0.000,11,10.6,7
23,23,2019-12-29,DEN,SAC,26:07,8,10,80.000,1,3,33.333,2,2,100.000,19,17.3,5
24,24,2019-12-31,DEN,HOU,10:53,3,6,50.000,1,3,33.333,0,0,0.000,7,4.9,-13
25,25,2020-01-02,DEN,IND,22:46,11,12,91.667,2,3,66.667,1,2,50.000,25,20.6,13
26,26,2020-01-04,DEN,WAS,12:09,3,5,60.000,0,2,0.000,1,2,50.000,7,2.2,-16
27,27,2020-01-06,DEN,ATL,20:03,2,3,66.667,0,0,0.000,0,0,0.000,4,5.0,17
28,28,2020-01-08,DEN,DAL,14:29,1,3,33.333,0,1,0.000,0,0,0.000,2,-2.0,2
29,29,2020-01-11,DEN,CLE,3:17,0,1,0.000,0,1,0.000,0,0,0.000,0,-2.1,-6
30,30,2020-01-12,DEN,LAC,19:03,6,8,75.000,1,1,100.000,0,0,0.000,13,11.7,10
31,31,2020-01-15,DEN,CHA,27:38,7,13,53.846,2,5,40.000,3,5,60.000,19,16.1,10
32,32,2020-01-16,DEN,GSW,29:18,6,10,60.000,3,3,100.000,3,3,100.000,18,22.6,11
33,33,2020-01-19,DEN,IND,22:42,3,9,33.333,0,2,0.000,4,4,100.000,10,8.5,-4
34,34,2020-01-20,DEN,MIN,29:41,7,12,58.333,4,8,50.000,2,2,100.000,20,20.3,17
35,35,2020-01-24,DEN,NOP,24:06,5,15,33.333,3,7,42.857,2,2,100.000,15,10.6,7
36,36,2020-01-26,DEN,HOU,23:45,6,12,50.000,4,6,66.667,1,2,50.000,17,13.8,4
37,37,2020-01-28,DEN,MEM,22:06,3,9,33.333,2,4,50.000,0,0,0.000,8,8.6,-6
38,38,2020-01-30,DEN,UTA,25:12,5,11,45.455,2,4,50.000,0,0,0.000,12,10.6,8
39,39,2020-01-31,DEN,MIL,25:08,5,11,45.455,1,3,33.333,4,4,100.000,15,14.3,11
40,40,2020-02-21,DEN,OKC,7:41,2,5,40.000,0,1,0.000,0,0,0.000,4,1.3,-14
41,41,2020-02-23,DEN,MIN,9:42,1,4,25.000,0,1,0.000,0,0,0.000,2,-0.7,-10
42,42,2020-02-25,DEN,DET,22:29,6,9,66.667,1,3,33.333,0,0,0.000,13,10.6,9
43,43,2020-02-28,DEN,LAC,9:28,3,4,75.000,1,1,100.000,0,0,0.000,7,8.5,-5
44,44,2020-03-01,DEN,TOR,19:10,4,8,50.000,1,3,33.333,2,4,50.000,11,12.3,-1
45,45,2020-03-03,DEN,GSW,13:29,1,6,16.667,1,1,100.000,0,0,0.000,3,-1.6,-7
46,46,2020-03-07,DEN,CLE,15:45,3,6,50.000,1,3,33.333,0,0,0.000,7,5.3,-3
47,47,2020-03-09,DEN,MIL,11:54,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.5,3
48,48,2020-03-11,DEN,DAL,4:44,0,3,0.000,0,0,0.000,0,0,0.000,0,-1.2,1
49,49,2020-08-01,DEN,MIA,24:31,4,11,36.364,2,8,25.000,1,1,100.000,11,3.4,-15
50,50,2020-08-03,DEN,OKC,43:43,12,16,75.000,4,6,66.667,9,9,100.000,37,32.8,25
51,51,2020-08-05,DEN,SAS,36:00,11,19,57.895,5,9,55.556,3,4,75.000,30,23.9,13
52,52,2020-08-06,DEN,POR,34:29,10,18,55.556,4,7,57.143,3,3,100.000,27,26.1,-12
53,53,2020-08-08,DEN,UTA,45:02,7,18,38.889,1,8,12.500,8,8,100.000,23,19.2,13
54,54,2020-08-10,DEN,LAL,24:03,6,6,100.000,3,3,100.000,0,0,0.000,15,11.3,2
55,55,2020-08-12,DEN,LAC,25:27,4,10,40.000,0,4,0.000,3,4,75.000,11,7.6,-16
1,1,2020-12-23,DEN,SAC,29:36,9,15,60.000,3,7,42.857,3,3,100.000,24,21.3,0
2,2,2020-12-25,DEN,LAC,23:20,4,9,44.444,2,6,33.333,0,0,0.000,10,8.8,-14
3,3,2020-12-28,DEN,HOU,23:38,5,11,45.455,2,6,33.333,2,3,66.667,14,11.9,2
4,4,2020-12-29,DEN,SAC,40:20,12,18,66.667,4,7,57.143,2,2,100.000,30,27.3,-9
5,5,2021-01-22,DEN,PHX,19:33,3,7,42.857,1,4,25.000,0,0,0.000,7,7.1,9
6,6,2021-01-23,DEN,PHX,35:04,5,9,55.556,3,4,75.000,1,1,100.000,14,11.7,19
7,7,2021-01-25,DEN,DAL,27:37,10,18,55.556,6,10,60.000,4,5,80.000,30,24.8,10
8,8,2021-01-27,DEN,MIA,24:59,7,12,58.333,3,7,42.857,0,0,0.000,17,13.4,8
9,9,2021-01-29,DEN,SAS,18:52,3,5,60.000,2,2,100.000,1,2,50.000,9,5.9,-16
10,10,2021-01-31,DEN,UTA,19:30,4,7,57.143,1,1,100.000,2,2,100.000,11,6.3,8
11,11,2021-02-04,DEN,LAL,19:44,3,10,30.000,0,4,0.000,2,2,100.000,8,4.1,-9
12,12,2021-02-06,DEN,SAC,33:42,3,11,27.273,1,7,14.286,1,2,50.000,8,6.7,-20
13,13,2021-02-08,DEN,MIL,26:46,3,9,33.333,2,5,40.000,0,0,0.000,8,6.5,-3
14,14,2021-02-10,DEN,CLE,27:38,6,10,60.000,4,7,57.143,3,4,75.000,19,19.9,28
15,15,2021-02-12,DEN,OKC,31:24,7,13,53.846,1,6,16.667,0,0,0.000,15,11.3,9
16,16,2021-02-14,DEN,LAL,29:57,3,11,27.273,1,7,14.286,1,2,50.000,8,1.5,9
17,17,2021-02-16,DEN,BOS,24:08,0,8,0.000,0,5,0.000,0,0,0.000,0,-0.7,2
18,18,2021-02-17,DEN,WAS,30:33,5,11,45.455,2,7,28.571,2,2,100.000,14,8.8,1
19,19,2021-02-19,DEN,CLE,32:57,8,16,50.000,3,6,50.000,3,4,75.000,22,14.8,9
20,20,2021-02-21,DEN,ATL,19:06,4,7,57.143,1,3,33.333,1,1,100.000,10,7.8,-4
21,21,2021-02-23,DEN,POR,39:34,4,9,44.444,2,4,50.000,2,3,66.667,12,10.5,8
22,22,2021-02-25,DEN,WAS,40:36,7,13,53.846,3,7,42.857,1,2,50.000,18,14.1,0
23,23,2021-02-27,DEN,OKC,27:54,7,11,63.636,5,8,62.500,1,2,50.000,20,15.3,29
24,24,2021-03-01,DEN,CHI,35:08,7,10,70.000,2,4,50.000,1,1,100.000,17,19.1,7
25,25,2021-03-02,DEN,MIL,24:46,4,9,44.444,3,6,50.000,0,0,0.000,11,8.9,8
26,26,2021-03-04,DEN,IND,37:41,9,14,64.286,5,9,55.556,1,2,50.000,24,20.6,3
27,27,2021-03-12,DEN,MEM,34:56,8,13,61.538,2,4,50.000,3,4,75.000,21,17.9,9
28,28,2021-03-13,DEN,DAL,23:04,7,9,77.778,4,5,80.000,5,7,71.429,23,20.3,0
29,29,2021-03-15,DEN,IND,30:32,9,15,60.000,0,4,0.000,2,2,100.000,20,17.3,15
30,30,2021-03-17,DEN,CHA,28:52,11,17,64.706,3,6,50.000,3,4,75.000,28,23.1,20
31,31,2021-03-19,DEN,CHI,41:50,7,14,50.000,1,5,20.000,4,5,80.000,19,15.2,12
32,32,2021-03-21,DEN,NOP,35:29,7,14,50.000,2,5,40.000,1,2,50.000,17,12.3,4
33,33,2021-03-23,DEN,ORL,32:37,8,14,57.143,2,5,40.000,0,0,0.000,18,14.3,7
34,34,2021-03-24,DEN,TOR,28:59,7,13,53.846,5,6,83.333,0,0,0.000,19,14.9,-10
35,35,2021-03-26,DEN,NOP,39:31,10,17,58.824,5,6,83.333,0,1,0.000,25,19.1,16
36,36,2021-03-28,DEN,ATL,26:42,6,12,50.000,2,5,40.000,1,1,100.000,15,16.1,18
37,37,2021-03-30,DEN,PHI,36:12,11,16,68.750,5,7,71.429,0,2,0.000,27,25.5,11
38,38,2021-04-01,DEN,LAC,32:08,7,11,63.636,1,2,50.000,5,5,100.000,20,16.0,6
39,39,2021-04-04,DEN,ORL,35:54,8,14,57.143,2,5,40.000,2,2,100.000,20,18.3,11
40,40,2021-04-06,DEN,DET,28:51,11,16,68.750,3,4,75.000,0,0,0.000,25,19.7,11
41,41,2021-04-07,DEN,SAS,31:03,7,14,50.000,1,3,33.333,3,3,100.000,18,15.4,3
42,42,2021-04-09,DEN,SAS,40:13,8,15,53.333,2,7,28.571,4,5,80.000,22,18.0,6
43,43,2021-04-11,DEN,BOS,35:01,9,23,39.130,1,12,8.333,3,3,100.000,22,14.9,8
44,44,2021-04-12,DEN,GSW,37:50,11,21,52.381,1,7,14.286,1,2,50.000,24,16.6,-14
45,45,2021-04-14,DEN,MIA,32:54,10,14,71.429,3,6,50.000,2,2,100.000,25,22.5,17
46,46,2021-04-16,DEN,HOU,31:08,7,13,53.846,4,7,57.143,3,4,75.000,21,17.1,22
47,47,2021-04-19,DEN,MEM,43:05,7,13,53.846,5,8,62.500,2,2,100.000,21,14.4,17
48,48,2021-04-21,DEN,POR,30:37,8,12,66.667,1,4,25.000,0,0,0.000,17,12.9,2
49,49,2021-04-23,DEN,GSW,36:39,8,18,44.444,7,14,50.000,3,5,60.000,26,20.0,-5
50,50,2021-04-24,DEN,HOU,35:45,13,21,61.905,8,12,66.667,5,5,100.000,39,33.4,12
51,51,2021-04-26,DEN,MEM,35:49,12,19,63.158,3,6,50.000,4,5,80.000,31,26.1,7
52,52,2021-04-28,DEN,NOP,39:54,12,21,57.143,3,8,37.500,1,2,50.000,28,19.3,7
53,53,2021-04-29,DEN,TOR,35:23,8,19,42.105,3,8,37.500,4,4,100.000,23,14.0,16
54,54,2021-05-01,DEN,LAC,36:51,10,16,62.500,4,7,57.143,1,1,100.000,25,19.8,-7
55,55,2021-05-03,DEN,LAL,39:30,8,15,53.333,2,7,28.571,1,2,50.000,19,11.3,0
56,56,2021-05-05,DEN,NYK,25:26,7,12,58.333,3,6,50.000,0,0,0.000,17,13.1,24
57,57,2021-05-07,DEN,UTA,38:12,10,19,52.632,4,9,44.444,7,7,100.000,31,26.0,3
58,58,2021-05-08,DEN,BKN,33:42,11,17,64.706,6,10,60.000,0,0,0.000,28,21.5,-1
59,59,2021-05-11,DEN,CHA,34:54,12,18,66.667,6,10,60.000,0,0,0.000,30,20.5,23
60,60,2021-05-14,DEN,DET,23:24,3,11,27.273,1,7,14.286,2,2,100.000,9,6.4,9
61,61,2021-05-16,DEN,POR,15:13,3,8,37.500,3,6,50.000,0,0,0.000,9,4.5,-13
1,1,2021-10-20,DEN,PHX,33:59,6,10,60.000,2,3,66.667,1,1,100.000,15,14.9,24
2,2,2021-10-22,DEN,SAS,27:10,3,10,30.000,1,5,20.000,0,0,0.000,7,-0.1,0
3,3,2021-10-25,DEN,CLE,27:17,4,14,28.571,3,9,33.333,0,0,0.000,11,6.1,-10
4,4,2021-10-26,DEN,UTA,38:38,5,18,27.778,3,11,27.273,0,0,0.000,13,6.7,2
5,5,2021-10-29,DEN,DAL,24:46,5,12,41.667,1,6,16.667,1,1,100.000,12,5.8,14
6,6,2021-10-30,DEN,MIN,34:35,3,14,21.429,0,6,0.000,1,2,50.000,7,4.1,10
7,7,2021-11-01,DEN,MEM,36:09,4,9,44.444,0,3,0.000,2,4,50.000,10,9.7,3
8,8,2021-11-03,DEN,MEM,35:17,6,12,50.000,0,3,0.000,0,1,0.000,12,8.3,7
9,9,2021-11-06,DEN,HOU,7:10,1,4,25.000,0,2,0.000,0,0,0.000,2,0.8,8
1,1,2022-10-19,DEN,UTA,35:22,5,10,50.000,2,4,50.000,3,4,75.000,15,8.6,1
2,2,2022-10-21,DEN,GSW,27:54,6,12,50.000,5,10,50.000,0,0,0.000,17,13.2,-7
3,3,2022-10-22,DEN,OKC,27:39,8,15,53.333,5,10,50.000,1,1,100.000,22,15.1,20
4,4,2022-10-24,DEN,POR,25:31,7,14,50.000,4,8,50.000,0,0,0.000,18,11.0,-3
5,5,2022-10-28,DEN,UTA,30:03,7,15,46.667,4,5,80.000,4,5,80.000,22,19.3,22
6,6,2022-10-30,DEN,LAL,27:50,5,15,33.333,3,10,30.000,4,5,80.000,17,12.1,10
7,7,2022-11-03,DEN,OKC,28:36,4,10,40.000,3,6,50.000,0,0,0.000,11,7.8,7
8,8,2022-11-05,DEN,SAS,29:48,6,10,60.000,3,6,50.000,0,0,0.000,15,11.3,27
9,9,2022-11-07,DEN,SAS,30:19,9,16,56.250,4,8,50.000,2,2,100.000,24,19.8,3
