Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2015-11-01,TOR,MIL,2:22,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.7,-2
2,2,2015-11-03,TOR,DAL,3:04,1,2,50.000,0,1,0.000,0,0,0.000,2,0.9,-5
3,3,2015-11-08,TOR,MIA,4:38,0,3,0.000,0,0,0.000,0,0,0.000,0,-1.4,0
4,4,2015-11-10,TOR,NYK,1:35,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,-5
5,5,2015-11-11,TOR,PHI,24:37,4,10,40.000,0,1,0.000,0,0,0.000,8,4.5,6
6,6,2015-11-13,TOR,NOP,10:59,0,2,0.000,0,0,0.000,0,0,0.000,0,-0.3,0
7,7,2015-11-15,TOR,SAC,4:09,0,0,0.000,0,0,0.000,0,0,0.000,0,-2.0,-3
8,8,2015-11-18,TOR,UTA,3:22,0,3,0.000,0,0,0.000,0,0,0.000,0,-1.1,-1
9,9,2015-12-07,TOR,LAL,4:56,0,1,0.000,0,1,0.000,0,0,0.000,0,-1.5,1
10,10,2015-12-13,TOR,PHI,1:30,1,1,100.000,0,0,0.000,0,0,0.000,2,4.4,4
11,11,2015-12-14,TOR,IND,6:31,2,5,40.000,1,2,50.000,0,1,0.000,5,4.5,7
12,12,2015-12-17,TOR,CHA,3:20,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,2
13,13,2016-01-04,TOR,CLE,2:56,0,0,0.000,0,0,0.000,0,0,0.000,0,0.7,-4
14,14,2016-01-06,TOR,BKN,1:07,1,2,50.000,0,0,0.000,0,0,0.000,2,1.0,-1
15,15,2016-01-09,TOR,PHI,1:52,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,-4
16,16,2016-01-14,TOR,ORL,2:49,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,-2
17,17,2016-01-18,TOR,BKN,0:46,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,0
18,18,2016-01-26,TOR,WAS,2:13,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.4,2
19,19,2016-01-28,TOR,NYK,3:46,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.4,1
20,20,2016-02-01,TOR,DEN,13:14,0,5,0.000,0,2,0.000,2,2,100.000,2,1.5,1
21,21,2016-02-02,TOR,PHX,14:54,0,3,0.000,0,0,0.000,0,0,0.000,0,-0.9,-1
22,22,2016-02-04,TOR,POR,13:28,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.5,2
23,23,2016-02-08,TOR,DET,15:50,0,1,0.000,0,1,0.000,1,2,50.000,1,-2.1,5
24,24,2016-02-10,TOR,MIN,11:36,4,6,66.667,0,2,0.000,0,0,0.000,8,5.2,-11
25,25,2016-02-22,TOR,NYK,1:49,0,2,0.000,0,1,0.000,0,0,0.000,0,-0.7,3
26,26,2016-02-24,TOR,MIN,5:28,0,1,0.000,0,0,0.000,0,0,0.000,0,1.3,3
27,27,2016-02-28,TOR,DET,5:52,3,5,60.000,0,1,0.000,0,0,0.000,6,6.3,13
28,28,2016-03-04,TOR,POR,21:30,3,5,60.000,2,3,66.667,2,2,100.000,10,8.8,6
29,29,2016-03-06,TOR,HOU,3:13,1,2,50.000,0,1,0.000,0,0,0.000,2,1.7,5
30,30,2016-03-08,TOR,BKN,20:32,1,4,25.000,1,2,50.000,2,2,100.000,5,5.0,-1
31,31,2016-03-10,TOR,ATL,16:37,1,3,33.333,0,1,0.000,0,0,0.000,2,4.3,-5
32,32,2016-03-14,TOR,CHI,3:54,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.5,0
33,33,2016-03-15,TOR,MIL,34:30,6,15,40.000,3,7,42.857,2,2,100.000,17,12.4,10
34,34,2016-03-17,TOR,IND,20:13,3,9,33.333,0,1,0.000,0,0,0.000,6,2.7,7
35,35,2016-03-18,TOR,BOS,21:34,3,5,60.000,2,3,66.667,2,2,100.000,10,5.9,-3
36,36,2016-03-20,TOR,ORL,23:04,1,6,16.667,1,4,25.000,0,0,0.000,3,-0.7,-9
37,37,2016-03-23,TOR,BOS,12:14,1,3,33.333,0,2,0.000,0,0,0.000,2,2.3,-2
38,38,2016-03-25,TOR,HOU,38:58,5,13,38.462,3,6,50.000,0,0,0.000,13,6.0,5
39,39,2016-03-26,TOR,NOP,33:45,5,11,45.455,2,6,33.333,3,3,100.000,15,9.6,23
40,40,2016-03-28,TOR,OKC,27:49,7,13,53.846,4,7,57.143,0,0,0.000,18,13.9,-22
41,41,2016-03-30,TOR,ATL,25:02,3,6,50.000,2,3,66.667,2,2,100.000,10,9.8,4
42,42,2016-04-01,TOR,MEM,30:30,4,4,100.000,2,2,100.000,4,4,100.000,14,16.2,10
43,43,2016-04-02,TOR,SAS,32:20,6,10,60.000,1,2,50.000,4,5,80.000,17,11.1,0
44,44,2016-04-05,TOR,CHA,22:52,2,6,33.333,0,4,0.000,0,0,0.000,4,3.1,7
45,45,2016-04-07,TOR,ATL,31:02,4,8,50.000,2,4,50.000,0,0,0.000,10,7.1,-6
46,46,2016-04-08,TOR,IND,41:12,5,11,45.455,3,4,75.000,14,19,73.684,27,21.1,11
47,47,2016-04-10,TOR,NYK,20:43,1,6,16.667,0,2,0.000,0,0,0.000,2,-0.2,0
48,48,2016-04-12,TOR,PHI,38:22,6,10,60.000,2,4,50.000,4,4,100.000,18,15.5,15
49,49,2016-04-13,TOR,BKN,36:35,12,18,66.667,5,6,83.333,1,3,33.333,30,27.2,0
1,1,2016-10-26,TOR,DET,2:10,0,2,0.000,0,2,0.000,0,0,0.000,0,-1.1,1
2,2,2016-10-31,TOR,DEN,2:27,1,1,100.000,0,0,0.000,0,0,0.000,2,1.6,-1
3,3,2016-11-02,TOR,WAS,14:35,2,3,66.667,1,2,50.000,0,0,0.000,5,7.0,18
