Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2015-11-05,MIA,MIN,6:50,0,1,0.000,0,0,0.000,0,0,0.000,0,-2.5,-10
2,2,2015-11-10,MIA,LAL,14:45,0,1,0.000,0,1,0.000,1,2,50.000,1,1.9,-13
3,3,2015-11-12,MIA,UTA,20:46,3,5,60.000,2,3,66.667,0,0,0.000,8,5.0,2
4,4,2015-11-21,MIA,PHI,4:24,0,1,0.000,0,0,0.000,0,0,0.000,0,-1.7,-12
5,5,2015-11-25,MIA,DET,5:39,0,1,0.000,0,0,0.000,0,0,0.000,0,0.3,5
6,6,2015-11-27,MIA,NYK,1:48,1,2,50.000,1,2,50.000,0,0,0.000,3,2.3,1
7,7,2015-12-03,MIA,OKC,8:20,0,0,0.000,0,0,0.000,1,2,50.000,1,1.6,1
8,8,2015-12-05,MIA,CLE,7:34,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.5,-11
9,9,2015-12-07,MIA,WAS,8:15,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.5,-6
10,10,2015-12-09,MIA,CHA,15:26,1,3,33.333,1,3,33.333,2,4,50.000,5,4.7,7
11,11,2015-12-11,MIA,IND,8:45,0,1,0.000,0,1,0.000,0,0,0.000,0,-2.6,3
12,12,2015-12-18,MIA,TOR,3:26,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.1,-2
13,13,2015-12-22,MIA,DET,14:02,1,4,25.000,0,0,0.000,2,2,100.000,4,3.6,-13
14,14,2016-01-03,MIA,WAS,3:43,0,1,0.000,0,0,0.000,0,0,0.000,0,-2.5,-5
15,15,2016-01-11,MIA,GSW,3:50,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,-6
16,16,2016-01-13,MIA,LAC,3:18,0,0,0.000,0,0,0.000,2,2,100.000,2,3.1,2
17,17,2016-01-15,MIA,DEN,10:26,1,4,25.000,0,1,0.000,0,0,0.000,2,-0.9,-11
18,18,2016-01-17,MIA,OKC,19:48,1,4,25.000,1,1,100.000,0,0,0.000,3,1.2,-14
