Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2018-10-24,MIA,NYK,9:51,1,3,33.333,1,3,33.333,0,0,0.000,3,3.5,-2
2,2,2018-11-09,MIA,IND,5:33,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,4
3,3,2018-11-14,MIA,BKN,1:13,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-2
4,4,2018-11-20,MIA,BKN,12:25,1,3,33.333,1,3,33.333,0,0,0.000,3,0.9,-1
5,5,2019-02-08,MIA,SAC,5:16,1,1,100.000,0,0,0.000,0,0,0.000,2,1.7,-5
6,6,2019-02-11,MIA,DEN,1:53,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.1,2
7,7,2019-02-23,MIA,DET,12:49,1,2,50.000,1,2,50.000,1,2,50.000,4,2.9,1
8,8,2019-02-25,MIA,PHX,22:17,2,6,33.333,1,5,20.000,0,0,0.000,5,1.4,-3
9,9,2019-03-02,MIA,BKN,5:46,2,4,50.000,2,3,66.667,0,0,0.000,6,4.3,2
10,10,2019-03-17,MIA,CHA,0:11,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
11,11,2019-03-22,MIA,MIL,6:23,1,2,50.000,0,1,0.000,0,0,0.000,2,1.3,-6
12,12,2019-03-28,MIA,DAL,21:31,2,9,22.222,1,7,14.286,1,1,100.000,6,2.4,1
13,13,2019-03-30,MIA,NYK,8:51,0,1,0.000,0,1,0.000,0,0,0.000,0,-2.9,-11
14,14,2019-04-09,MIA,PHI,10:57,2,2,100.000,0,0,0.000,0,0,0.000,4,3.7,-3
15,15,2019-04-10,MIA,BKN,36:00,5,12,41.667,3,9,33.333,2,3,66.667,15,11.4,-10
1,1,2019-10-23,MIA,MEM,22:56,1,5,20.000,1,5,20.000,0,0,0.000,3,-0.9,-3
2,2,2019-10-26,MIA,MIL,23:18,3,6,50.000,3,5,60.000,0,0,0.000,9,5.5,11
3,3,2019-10-27,MIA,MIN,23:14,8,12,66.667,4,7,57.143,1,1,100.000,21,17.3,-8
4,4,2019-10-29,MIA,ATL,1:27,0,0,0.000,0,0,0.000,0,0,0.000,0,0.3,1
5,5,2019-10-31,MIA,ATL,26:53,5,10,50.000,2,6,33.333,0,0,0.000,12,6.5,-3
6,6,2019-11-03,MIA,HOU,35:57,8,12,66.667,7,11,63.636,0,0,0.000,23,20.7,20
7,7,2019-11-05,MIA,DEN,11:17,1,6,16.667,0,4,0.000,0,0,0.000,2,-1.2,-3
8,8,2019-11-07,MIA,PHX,27:37,1,5,20.000,1,4,25.000,3,3,100.000,6,5.5,29
9,9,2019-11-08,MIA,LAL,24:28,1,7,14.286,1,6,16.667,0,0,0.000,3,0.6,-9
10,10,2019-11-12,MIA,DET,29:17,4,10,40.000,3,8,37.500,0,0,0.000,11,0.2,0
11,11,2019-11-14,MIA,CLE,26:27,4,8,50.000,3,7,42.857,0,0,0.000,11,8.1,-12
12,12,2019-11-16,MIA,NOP,30:33,6,10,60.000,3,6,50.000,0,0,0.000,15,13.0,4
13,13,2019-11-20,MIA,CLE,34:07,9,15,60.000,9,15,60.000,2,2,100.000,29,21.9,11
14,14,2019-11-22,MIA,CHI,31:17,3,9,33.333,2,8,25.000,0,0,0.000,8,6.2,-8
15,15,2019-11-23,MIA,PHI,32:30,0,6,0.000,0,5,0.000,4,4,100.000,4,-0.4,-26
16,16,2019-11-25,MIA,CHA,22:23,2,6,33.333,2,6,33.333,0,0,0.000,6,4.9,9
17,17,2019-11-27,MIA,HOU,21:24,4,8,50.000,3,7,42.857,2,2,100.000,13,8.6,-17
18,18,2019-11-29,MIA,GSW,20:37,5,7,71.429,5,7,71.429,2,3,66.667,17,12.2,9
19,19,2019-12-01,MIA,BKN,33:07,3,6,50.000,3,6,50.000,1,1,100.000,10,8.8,14
20,20,2019-12-03,MIA,TOR,27:00,8,11,72.727,6,9,66.667,0,0,0.000,22,16.9,11
21,21,2019-12-04,MIA,BOS,28:45,4,8,50.000,2,6,33.333,0,0,0.000,10,9.2,-4
22,22,2019-12-06,MIA,WAS,41:34,2,9,22.222,2,7,28.571,0,0,0.000,6,1.0,15
23,23,2019-12-08,MIA,CHI,21:39,3,9,33.333,3,8,37.500,0,0,0.000,9,6.9,2
24,24,2019-12-10,MIA,ATL,43:04,12,16,75.000,10,14,71.429,0,0,0.000,34,30.8,26
25,25,2019-12-13,MIA,LAL,36:28,3,8,37.500,3,7,42.857,0,0,0.000,9,4.3,-1
26,26,2019-12-14,MIA,DAL,36:22,3,10,30.000,3,10,30.000,0,0,0.000,9,4.9,-6
27,27,2019-12-16,MIA,MEM,23:16,4,6,66.667,4,6,66.667,0,0,0.000,12,7.3,8
28,28,2019-12-18,MIA,PHI,38:14,5,11,45.455,3,9,33.333,2,2,100.000,15,12.2,-6
29,29,2019-12-20,MIA,NYK,22:36,6,10,60.000,6,10,60.000,0,0,0.000,18,14.7,24
30,30,2019-12-23,MIA,UTA,20:16,1,3,33.333,1,3,33.333,2,2,100.000,5,2.2,-3
31,31,2019-12-27,MIA,IND,28:07,6,11,54.545,6,10,60.000,0,0,0.000,18,14.2,-6
32,32,2019-12-28,MIA,PHI,18:52,6,6,100.000,4,4,100.000,0,0,0.000,16,12.4,16
33,33,2019-12-30,MIA,WAS,31:11,5,11,45.455,3,8,37.500,3,3,100.000,16,11.4,-13
34,34,2020-01-02,MIA,TOR,18:48,2,4,50.000,2,3,66.667,0,0,0.000,6,4.5,2
35,35,2020-01-03,MIA,ORL,30:48,3,11,27.273,3,11,27.273,0,0,0.000,9,1.7,-9
36,36,2020-01-05,MIA,POR,35:31,2,11,18.182,2,11,18.182,0,0,0.000,6,0.0,0
37,37,2020-01-08,MIA,IND,29:23,5,12,41.667,4,11,36.364,3,4,75.000,17,12.8,14
38,38,2020-01-10,MIA,BKN,27:03,3,7,42.857,2,6,33.333,0,0,0.000,8,3.7,-10
39,39,2020-01-12,MIA,NYK,27:41,3,10,30.000,3,10,30.000,2,2,100.000,11,7.0,6
40,40,2020-01-15,MIA,SAS,39:01,4,10,40.000,3,9,33.333,0,0,0.000,11,6.5,5
41,41,2020-01-17,MIA,OKC,35:47,5,12,41.667,4,11,36.364,0,0,0.000,14,9.0,10
42,42,2020-01-19,MIA,SAS,34:57,4,11,36.364,4,10,40.000,0,0,0.000,12,6.9,16
43,43,2020-01-20,MIA,SAC,37:32,4,11,36.364,4,10,40.000,0,0,0.000,12,4.4,4
44,44,2020-01-22,MIA,WAS,15:59,4,7,57.143,4,7,57.143,1,2,50.000,13,8.1,-5
45,45,2020-01-24,MIA,LAC,34:14,5,8,62.500,5,8,62.500,1,1,100.000,16,16.6,20
46,46,2020-01-27,MIA,ORL,33:25,7,11,63.636,6,9,66.667,1,1,100.000,21,13.7,25
47,47,2020-01-28,MIA,BOS,38:45,4,12,33.333,4,11,36.364,0,0,0.000,12,6.1,4
48,48,2020-02-01,MIA,ORL,22:00,3,7,42.857,3,7,42.857,0,0,0.000,9,6.7,6
49,49,2020-02-03,MIA,PHI,33:58,4,9,44.444,4,8,50.000,7,9,77.778,19,14.6,24
