Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2015-10-28,BOS,PHI,1:58,0,2,0.000,0,0,0.000,0,0,0.000,0,-0.7,0
2,2,2015-11-04,BOS,IND,6:09,0,4,0.000,0,1,0.000,0,0,0.000,0,-3.3,0
3,3,2015-11-06,BOS,WAS,19:22,2,8,25.000,1,3,33.333,0,0,0.000,5,2.2,4
4,4,2015-11-10,BOS,MIL,0:49,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.7,-2
5,5,2015-11-11,BOS,IND,16:05,2,9,22.222,0,4,0.000,0,0,0.000,4,-0.9,3
6,6,2015-11-16,BOS,HOU,5:44,1,3,33.333,0,1,0.000,0,0,0.000,2,0.0,-13
7,7,2015-11-22,BOS,BKN,5:02,1,2,50.000,1,1,100.000,0,0,0.000,3,1.0,-7
8,8,2015-11-24,BOS,ATL,3:11,1,1,100.000,0,0,0.000,0,0,0.000,2,3.1,0
9,9,2015-11-25,BOS,PHI,2:22,0,1,0.000,0,0,0.000,0,0,0.000,0,-2.0,0
10,10,2015-11-27,BOS,WAS,10:21,0,3,0.000,0,0,0.000,0,0,0.000,0,-1.5,8
11,11,2015-11-29,BOS,ORL,12:00,3,5,60.000,0,0,0.000,1,1,100.000,7,4.5,-2
12,12,2015-11-30,BOS,MIA,5:15,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.0,-4
13,13,2015-12-03,BOS,SAC,2:58,1,2,50.000,0,0,0.000,0,0,0.000,2,0.0,2
14,14,2015-12-07,BOS,NOP,2:35,1,3,33.333,0,1,0.000,0,0,0.000,2,1.6,1
15,15,2015-12-15,BOS,CLE,1:26,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.4,3
16,16,2015-12-21,BOS,MIN,1:02,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.4,-1
17,17,2016-01-24,BOS,PHI,5:47,0,2,0.000,0,1,0.000,2,2,100.000,2,0.9,-1
18,18,2016-01-25,BOS,WAS,3:55,0,1,0.000,0,0,0.000,0,0,0.000,0,1.3,1
19,19,2016-02-19,BOS,UTA,3:06,0,0,0.000,0,0,0.000,0,0,0.000,0,0.4,-1
20,20,2016-02-21,BOS,DEN,2:30,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.7,0
21,21,2016-02-27,BOS,MIA,0:03,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
22,22,2016-03-02,BOS,POR,6:09,1,7,14.286,0,1,0.000,0,0,0.000,2,-0.1,-2
23,23,2016-03-05,BOS,CLE,1:26,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.7,-2
24,24,2016-03-09,BOS,MEM,1:51,0,0,0.000,0,0,0.000,0,0,0.000,0,1.3,0
25,25,2016-03-11,BOS,HOU,10:16,1,3,33.333,1,2,50.000,0,0,0.000,3,5.7,-1
26,26,2016-03-15,BOS,IND,11:40,1,3,33.333,0,1,0.000,0,0,0.000,2,2.7,-9
27,27,2016-03-16,BOS,OKC,14:40,1,3,33.333,1,1,100.000,2,2,100.000,5,5.7,4
28,28,2016-03-18,BOS,TOR,10:11,3,4,75.000,1,1,100.000,0,0,0.000,7,9.8,8
29,29,2016-03-20,BOS,PHI,13:25,0,2,0.000,0,0,0.000,0,0,0.000,0,1.0,-3
30,30,2016-03-21,BOS,ORL,14:10,0,2,0.000,0,0,0.000,0,0,0.000,0,0.3,-13
31,31,2016-03-23,BOS,TOR,13:11,2,4,50.000,1,2,50.000,0,1,0.000,5,3.2,-8
32,32,2016-03-26,BOS,PHX,13:11,1,3,33.333,0,0,0.000,0,0,0.000,2,0.9,4
33,33,2016-03-28,BOS,LAC,20:29,1,4,25.000,0,1,0.000,0,0,0.000,2,-1.6,-4
34,34,2016-04-01,BOS,GSW,16:39,0,3,0.000,0,0,0.000,1,2,50.000,1,0.4,-4
35,35,2016-04-03,BOS,LAL,21:11,3,6,50.000,0,2,0.000,0,0,0.000,6,8.6,10
36,36,2016-04-06,BOS,NOP,16:37,1,6,16.667,0,2,0.000,0,0,0.000,2,-0.6,-12
37,37,2016-04-08,BOS,MIL,6:21,2,3,66.667,0,0,0.000,0,0,0.000,4,0.3,-8
