Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2013-10-30,ATL,DAL,18:29,2,5,40.000,1,2,50.000,0,0,0.000,5,3.8,10
2,2,2013-11-01,ATL,TOR,15:57,2,5,40.000,0,0,0.000,0,0,0.000,4,0.0,-11
3,3,2013-11-03,ATL,LAL,21:34,4,11,36.364,0,2,0.000,2,4,50.000,10,5.4,-7
4,4,2013-11-05,ATL,SAC,19:05,3,7,42.857,0,1,0.000,0,0,0.000,6,6.2,1
5,5,2013-11-09,ATL,ORL,9:58,0,8,0.000,0,1,0.000,0,0,0.000,0,-5.9,-5
6,6,2013-11-11,ATL,CHARLOTTE BOBCATS,9:38,2,2,100.000,0,0,0.000,0,0,0.000,4,3.2,8
7,7,2013-11-13,ATL,NYK,8:48,0,1,0.000,0,1,0.000,0,0,0.000,0,-3.7,-18
8,8,2013-11-15,ATL,PHI,12:17,0,0,0.000,0,0,0.000,1,2,50.000,1,-1.0,-8
9,9,2013-11-19,ATL,MIA,5:12,0,0,0.000,0,0,0.000,1,2,50.000,1,0.6,0
10,10,2013-11-26,ATL,ORL,5:19,1,1,100.000,0,0,0.000,2,2,100.000,4,4.7,5
11,11,2013-11-27,ATL,HOU,27:03,2,5,40.000,0,2,0.000,2,2,100.000,6,4.3,-18
12,12,2013-12-20,ATL,UTA,8:04,1,3,33.333,0,0,0.000,0,0,0.000,2,1.0,6
13,13,2013-12-26,ATL,CLE,0:05,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.0,-2
14,14,2013-12-29,ATL,ORL,13:08,2,3,66.667,0,1,0.000,2,3,66.667,6,4.4,-3
15,15,2013-12-31,ATL,BOS,6:01,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.0,-12
16,16,2014-01-16,ATL,BKN,19:03,4,7,57.143,0,0,0.000,0,0,0.000,8,5.4,1
17,17,2014-01-24,ATL,SAS,23:03,1,4,25.000,0,0,0.000,2,2,100.000,4,2.2,-10
18,18,2014-01-25,ATL,MIL,17:38,1,6,16.667,0,1,0.000,2,2,100.000,4,0.5,-5
19,19,2014-01-27,ATL,OKC,13:14,4,6,66.667,2,2,100.000,0,0,0.000,10,8.1,-1
20,20,2014-01-31,ATL,PHI,16:54,3,5,60.000,0,0,0.000,3,3,100.000,9,6.0,-4
21,21,2014-02-01,ATL,MIN,6:09,0,0,0.000,0,0,0.000,0,0,0.000,0,2.0,-1
22,22,2014-02-04,ATL,IND,9:43,2,3,66.667,0,0,0.000,0,0,0.000,4,2.0,8
23,23,2014-02-12,ATL,TOR,20:24,0,5,0.000,0,1,0.000,1,2,50.000,1,-0.5,-12
24,24,2014-02-18,ATL,IND,8:19,0,2,0.000,0,1,0.000,2,2,100.000,2,0.2,3
25,25,2014-02-19,ATL,WAS,11:24,1,2,50.000,0,0,0.000,0,0,0.000,2,0.6,-1
26,26,2014-02-22,ATL,NYK,6:29,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,-1
27,27,2014-02-26,ATL,BOS,17:18,2,3,66.667,0,0,0.000,0,0,0.000,4,2.5,-14
28,28,2014-03-02,ATL,PHX,1:50,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.0,-4
29,29,2014-03-05,ATL,POR,23:03,2,7,28.571,0,2,0.000,1,3,33.333,5,1.4,-11
30,30,2014-03-07,ATL,GSW,19:17,3,8,37.500,1,3,33.333,0,0,0.000,7,5.5,-6
31,31,2014-03-08,ATL,LAC,13:28,2,2,100.000,0,0,0.000,0,0,0.000,4,3.7,-3
32,32,2014-03-10,ATL,UTA,13:44,2,5,40.000,0,0,0.000,0,0,0.000,4,3.7,-7
33,33,2014-03-13,ATL,MIL,15:05,4,6,66.667,0,0,0.000,0,0,0.000,8,9.2,4
34,34,2014-03-15,ATL,DEN,11:32,2,7,28.571,1,1,100.000,0,2,0.000,5,-1.2,-20
35,35,2014-03-17,ATL,CHARLOTTE BOBCATS,13:01,2,3,66.667,1,2,50.000,1,1,100.000,6,4.8,0
36,36,2014-03-18,ATL,TOR,12:48,2,6,33.333,1,3,33.333,0,0,0.000,5,4.6,4
37,37,2014-03-21,ATL,NOP,12:16,2,5,40.000,0,1,0.000,0,0,0.000,4,3.2,-9
38,38,2014-03-23,ATL,TOR,12:24,2,6,33.333,1,2,50.000,1,1,100.000,6,3.5,-8
39,39,2014-03-24,ATL,PHX,10:03,0,0,0.000,0,0,0.000,0,0,0.000,0,-1.3,5
40,40,2014-03-26,ATL,MIN,10:43,1,2,50.000,0,1,0.000,0,0,0.000,2,-1.3,-8
41,41,2014-03-27,ATL,POR,10:52,0,2,0.000,0,1,0.000,0,0,0.000,0,-3.2,-5
42,42,2014-03-29,ATL,WAS,14:42,2,5,40.000,1,2,50.000,3,6,50.000,8,3.3,-18
43,43,2014-03-31,ATL,PHI,14:34,2,5,40.000,0,0,0.000,0,0,0.000,4,4.0,-7
44,44,2014-04-02,ATL,CHI,12:56,2,5,40.000,0,1,0.000,1,2,50.000,5,0.0,-14
45,45,2014-04-04,ATL,CLE,11:36,1,5,20.000,0,2,0.000,0,0,0.000,2,-3.2,8
46,46,2014-04-08,ATL,DET,6:53,1,3,33.333,0,1,0.000,0,0,0.000,2,1.0,0
47,47,2014-04-11,ATL,BKN,12:25,1,4,25.000,0,1,0.000,0,0,0.000,2,3.0,-6
48,48,2014-04-14,ATL,CHARLOTTE BOBCATS,23:41,1,4,25.000,1,3,33.333,0,0,0.000,3,2.2,-12
49,49,2014-04-16,ATL,MIL,14:16,1,4,25.000,0,1,0.000,2,2,100.000,4,2.6,9
1,1,2014-10-29,ATL,TOR,3:37,0,0,0.000,0,0,0.000,1,2,50.000,1,-0.3,-6
2,2,2014-11-05,ATL,SAS,8:11,4,6,66.667,1,3,33.333,0,0,0.000,9,7.7,4
3,3,2014-11-07,ATL,CHA,13:52,3,4,75.000,0,0,0.000,4,4,100.000,10,11.0,-11
4,4,2014-11-08,ATL,NYK,20:22,4,5,80.000,0,0,0.000,3,4,75.000,11,14.0,4
5,5,2014-11-10,ATL,NYK,27:55,4,8,50.000,0,1,0.000,6,6,100.000,14,11.4,12
6,6,2014-11-12,ATL,UTA,18:07,2,4,50.000,0,0,0.000,1,2,50.000,5,1.7,-10
7,7,2014-11-14,ATL,MIA,25:09,4,10,40.000,0,3,0.000,2,2,100.000,10,11.4,4
8,8,2014-11-15,ATL,CLE,14:49,2,5,40.000,0,2,0.000,2,2,100.000,6,4.6,-23
9,9,2014-11-18,ATL,LAL,17:24,2,3,66.667,0,0,0.000,1,2,50.000,5,4.0,-1
10,10,2014-11-21,ATL,DET,14:08,3,9,33.333,0,2,0.000,0,0,0.000,6,0.6,-16
11,11,2014-11-25,ATL,WAS,16:48,2,6,33.333,0,3,0.000,0,0,0.000,4,4.4,8
12,12,2014-11-26,ATL,TOR,15:55,5,6,83.333,1,1,100.000,2,2,100.000,13,13.3,-12
13,13,2014-11-28,ATL,NOP,17:11,5,9,55.556,0,1,0.000,1,2,50.000,11,4.1,-3
14,14,2014-11-29,ATL,CHA,17:01,4,8,50.000,2,2,100.000,2,2,100.000,12,8.6,10
15,15,2014-12-02,ATL,BOS,22:48,6,12,50.000,0,2,0.000,3,5,60.000,15,8.5,4
16,16,2014-12-03,ATL,MIA,22:26,6,9,66.667,2,3,66.667,2,2,100.000,16,14.1,9
17,17,2014-12-05,ATL,BKN,17:44,5,9,55.556,1,2,50.000,2,3,66.667,13,15.3,20
18,18,2014-12-07,ATL,DEN,17:55,2,7,28.571,1,1,100.000,2,2,100.000,7,4.9,7
19,19,2014-12-08,ATL,IND,13:37,3,4,75.000,0,0,0.000,0,0,0.000,6,1.2,0
20,20,2014-12-10,ATL,PHI,20:55,2,9,22.222,0,2,0.000,1,2,50.000,5,6.0,11
