Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2022-10-26,MIA,POR,5:37,1,3,33.333,0,2,0.000,0,0,0.000,2,1.2,-5
2,2,2022-11-25,MIA,WAS,15:55,1,3,33.333,0,0,0.000,0,0,0.000,2,1.3,-2
3,3,2022-11-27,MIA,ATL,20:41,2,3,66.667,1,1,100.000,0,0,0.000,5,7.0,-2
4,4,2022-12-06,MIA,DET,2:35,0,0,0.000,0,0,0.000,0,0,0.000,0,0.7,-1
5,5,2022-12-08,MIA,LAC,22:07,1,5,20.000,0,3,0.000,0,0,0.000,2,0.7,-7
6,6,2023-02-06,BKN,LAC,13:17,1,3,33.333,0,2,0.000,0,0,0.000,2,4.9,-13
7,7,2023-02-07,BKN,PHX,11:59,2,3,66.667,1,1,100.000,0,0,0.000,5,4.5,4
8,8,2023-02-13,BKN,NYK,4:19,2,3,66.667,0,1,0.000,0,0,0.000,4,4.4,1
9,9,2023-02-28,BKN,MIL,4:39,1,3,33.333,1,2,50.000,0,0,0.000,3,2.3,1
10,10,2023-03-09,BKN,MIL,22:27,7,13,53.846,2,6,33.333,1,1,100.000,17,15.4,15
11,11,2023-03-25,BKN,MIA,3:30,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.1,2
12,12,2023-03-26,BKN,ORL,3:53,0,1,0.000,0,1,0.000,0,0,0.000,0,-0.4,0
13,13,2023-04-05,BKN,DET,1:05,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,0
14,14,2023-04-07,BKN,ORL,2:36,0,1,0.000,0,0,0.000,0,0,0.000,0,0.9,1
15,15,2023-04-09,BKN,PHI,23:44,0,4,0.000,0,0,0.000,2,2,100.000,2,0.9,-22
1,1,2023-10-25,MIA,DET,8:40,1,2,50.000,0,1,0.000,0,0,0.000,2,1.3,-4
2,2,2023-10-27,MIA,BOS,23:07,3,6,50.000,3,4,75.000,0,0,0.000,9,11.0,-18
3,3,2023-10-28,MIA,MIN,22:23,2,4,50.000,1,1,100.000,0,0,0.000,5,5.7,-12
4,4,2023-11-08,MIA,MEM,14:35,1,3,33.333,0,2,0.000,0,0,0.000,2,4.7,-3
5,5,2023-11-11,MIA,ATL,28:01,4,8,50.000,1,3,33.333,0,0,0.000,9,7.9,-1
6,6,2023-11-12,MIA,SAS,26:50,4,9,44.444,2,5,40.000,2,2,100.000,12,9.6,5
7,7,2023-11-14,MIA,CHA,3:29,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.8,1
8,8,2023-11-20,MIA,CHI,2:28,0,1,0.000,0,1,0.000,0,0,0.000,0,0.6,-6
9,9,2023-11-22,MIA,CLE,1:21,0,0,0.000,0,0,0.000,0,0,0.000,0,-0.4,-5
