Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2021-10-20,ORL,SAS,30:17,3,14,21.429,1,6,16.667,3,3,100.000,10,-0.8,-13
2,2,2021-10-22,ORL,NYK,31:43,4,17,23.529,0,6,0.000,6,6,100.000,14,12.2,-4
3,3,2021-10-24,ORL,NYK,24:08,3,9,33.333,1,3,33.333,4,5,80.000,11,3.7,7
4,4,2021-10-25,ORL,MIA,27:51,5,12,41.667,4,8,50.000,1,2,50.000,15,4.8,-11
5,5,2021-10-27,ORL,CHA,35:54,3,11,27.273,0,5,0.000,2,4,50.000,8,0.8,4
6,6,2021-10-29,ORL,TOR,29:48,6,14,42.857,4,8,50.000,5,5,100.000,21,12.7,7
7,7,2021-10-30,ORL,DET,26:18,3,13,23.077,0,4,0.000,4,4,100.000,10,8.9,2
8,8,2021-11-01,ORL,MIN,32:26,5,14,35.714,1,6,16.667,4,4,100.000,15,3.6,4
9,9,2021-11-03,ORL,BOS,24:30,4,14,28.571,1,5,20.000,1,3,33.333,10,2.3,-10
10,10,2021-11-05,ORL,SAS,27:31,4,11,36.364,1,6,16.667,3,3,100.000,12,3.5,7
11,11,2021-11-07,ORL,UTA,25:17,3,10,30.000,0,2,0.000,0,0,0.000,6,-0.5,-2
12,12,2021-11-10,ORL,BKN,25:28,2,8,25.000,0,4,0.000,3,4,75.000,7,2.3,-10
13,13,2021-11-13,ORL,WAS,24:14,4,10,40.000,0,1,0.000,0,0,0.000,8,3.7,-7
14,14,2021-11-17,ORL,NYK,25:49,5,12,41.667,3,4,75.000,0,0,0.000,13,10.6,1
15,15,2021-11-19,ORL,BKN,32:08,8,18,44.444,4,9,44.444,1,2,50.000,21,14.8,-4
16,16,2021-11-20,ORL,MIL,25:26,4,15,26.667,2,7,28.571,4,5,80.000,14,6.5,-23
17,17,2021-11-22,ORL,MIL,16:51,2,8,25.000,0,4,0.000,1,3,33.333,5,-1.8,-28
18,18,2021-11-24,ORL,CHA,30:17,6,14,42.857,0,5,0.000,5,7,71.429,17,8.5,5
19,19,2021-11-26,ORL,CHI,26:06,5,10,50.000,2,4,50.000,2,4,50.000,14,9.1,-14
20,20,2021-11-27,ORL,CLE,31:17,3,10,30.000,1,4,25.000,3,4,75.000,10,8.6,-11
21,21,2021-11-29,ORL,PHI,29:20,5,13,38.462,1,1,100.000,6,8,75.000,17,12.5,5
22,22,2022-01-14,ORL,CHA,22:28,5,8,62.500,1,2,50.000,1,2,50.000,12,9.3,2
23,23,2022-01-15,ORL,DAL,23:56,7,11,63.636,0,2,0.000,2,3,66.667,16,8.0,-1
24,24,2022-01-17,ORL,POR,21:10,5,10,50.000,0,2,0.000,0,0,0.000,10,6.1,3
25,25,2022-01-19,ORL,PHI,33:49,5,14,35.714,1,1,100.000,3,6,50.000,14,10.2,-18
26,26,2022-01-21,ORL,LAL,34:34,6,16,37.500,1,7,14.286,9,10,90.000,22,16.5,-4
27,27,2022-01-23,ORL,CHI,32:46,4,10,40.000,0,1,0.000,7,8,87.500,15,15.3,1
28,28,2022-01-26,ORL,LAC,34:33,6,10,60.000,2,4,50.000,0,0,0.000,14,8.1,-7
29,29,2022-01-28,ORL,DET,27:18,3,9,33.333,0,1,0.000,0,0,0.000,6,1.9,11
30,30,2022-01-30,ORL,DAL,32:42,2,10,20.000,1,5,20.000,0,0,0.000,5,0.3,6
31,31,2022-02-01,ORL,CHI,33:19,4,14,28.571,1,6,16.667,0,0,0.000,9,7.4,-23
32,32,2022-02-02,ORL,IND,32:50,6,16,37.500,0,5,0.000,0,0,0.000,12,7.8,-2
33,33,2022-02-05,ORL,MEM,29:00,5,12,41.667,3,6,50.000,4,5,80.000,17,13.7,-18
34,34,2022-02-06,ORL,BOS,30:17,5,11,45.455,0,1,0.000,7,7,100.000,17,11.6,-21
35,35,2022-02-08,ORL,POR,7:23,0,2,0.000,0,2,0.000,1,2,50.000,1,-2.5,-4
36,36,2022-02-11,ORL,UTA,25:12,4,11,36.364,0,3,0.000,1,2,50.000,9,8.5,-1
37,37,2022-02-12,ORL,PHX,25:50,7,14,50.000,1,4,25.000,5,8,62.500,20,16.7,-5
38,38,2022-02-14,ORL,DEN,34:31,5,15,33.333,0,4,0.000,6,6,100.000,16,11.7,-5
39,39,2022-02-16,ORL,ATL,35:25,6,19,31.579,0,4,0.000,7,8,87.500,19,11.3,-16
40,40,2022-02-25,ORL,HOU,14:31,1,5,20.000,0,2,0.000,1,2,50.000,3,-7.6,-21
41,41,2022-02-28,ORL,IND,27:26,5,9,55.556,2,4,50.000,2,4,50.000,14,15.6,12
42,42,2022-03-02,ORL,IND,33:06,6,15,40.000,0,4,0.000,2,4,50.000,14,5.2,2
43,43,2022-03-04,ORL,TOR,29:36,4,16,25.000,1,5,20.000,6,6,100.000,15,10.6,13
44,44,2022-03-09,ORL,NOP,19:36,0,3,0.000,0,2,0.000,2,2,100.000,2,-4.3,6
45,45,2022-03-11,ORL,MIN,26:25,2,7,28.571,1,4,25.000,0,0,0.000,5,1.2,-4
46,46,2022-03-13,ORL,PHI,22:16,4,13,30.769,0,7,0.000,2,2,100.000,10,9.9,-9
47,47,2022-04-05,ORL,CLE,18:01,2,5,40.000,0,2,0.000,0,0,0.000,4,2.3,-1
48,48,2022-04-07,ORL,CHA,15:59,2,6,33.333,1,4,25.000,0,0,0.000,5,4.5,-7
1,1,2022-10-19,ORL,DET,25:14,8,11,72.727,4,6,66.667,1,1,100.000,21,14.9,3
2,2,2022-10-21,ORL,ATL,15:50,1,5,20.000,0,3,0.000,1,3,33.333,3,-0.4,-6
3,3,2022-11-01,ORL,OKC,28:26,3,14,21.429,1,9,11.111,2,2,100.000,9,2.1,-17
4,4,2022-11-03,ORL,GSW,36:13,9,17,52.941,2,6,33.333,6,11,54.545,26,21.7,-3
5,5,2022-11-05,ORL,SAC,34:36,2,6,33.333,0,3,0.000,2,2,100.000,6,1.9,10
6,6,2022-11-07,ORL,HOU,32:51,5,8,62.500,0,1,0.000,1,4,25.000,11,9.7,-1
7,7,2022-11-09,ORL,DAL,25:38,4,12,33.333,2,4,50.000,2,2,100.000,12,10.0,5
