Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2020-12-23,NYK,IND,23:33,3,12,25.000,3,7,42.857,0,0,0.000,9,4.8,-4
2,2,2021-01-13,NYK,BKN,0:57,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-2
3,3,2021-01-15,NYK,CLE,9:57,0,2,0.000,0,1,0.000,2,2,100.000,2,3.2,-2
4,4,2021-01-17,NYK,BOS,16:57,5,8,62.500,2,4,50.000,0,0,0.000,12,10.6,1
5,5,2021-01-18,NYK,ORL,8:36,1,3,33.333,0,2,0.000,0,0,0.000,2,0.9,-8
6,6,2021-01-21,NYK,GSW,11:47,2,4,50.000,0,0,0.000,1,2,50.000,5,4.1,1
7,7,2021-01-22,NYK,SAC,12:07,3,7,42.857,0,2,0.000,0,1,0.000,6,3.5,-4
8,8,2021-01-24,NYK,POR,15:03,2,5,40.000,0,2,0.000,0,0,0.000,4,0.8,-1
9,9,2021-01-26,NYK,UTA,13:00,2,2,100.000,0,0,0.000,0,0,0.000,4,3.0,0
10,10,2021-01-29,NYK,CLE,12:51,2,4,50.000,1,3,33.333,0,0,0.000,5,5.3,7
11,11,2021-01-31,NYK,LAC,12:52,0,2,0.000,0,2,0.000,2,2,100.000,2,-0.5,3
12,12,2021-02-01,NYK,CHI,8:46,1,1,100.000,0,0,0.000,2,2,100.000,4,2.6,1
13,13,2021-02-03,NYK,CHI,9:40,2,4,50.000,1,2,50.000,0,0,0.000,5,2.5,-10
14,14,2021-02-06,NYK,POR,9:17,1,2,50.000,0,1,0.000,0,0,0.000,2,1.5,0
15,15,2021-02-07,NYK,MIA,9:57,3,6,50.000,1,3,33.333,0,0,0.000,7,5.6,5
16,16,2021-02-09,NYK,MIA,11:20,2,3,66.667,0,0,0.000,0,1,0.000,4,2.6,2
17,17,2021-02-12,NYK,WAS,15:34,4,5,80.000,0,1,0.000,0,0,0.000,8,7.0,1
18,18,2021-02-13,NYK,HOU,14:46,5,9,55.556,1,4,25.000,0,0,0.000,11,7.5,16
19,19,2021-02-15,NYK,ATL,11:18,1,2,50.000,1,1,100.000,0,0,0.000,3,2.2,-9
20,20,2021-02-17,NYK,ORL,11:45,1,2,50.000,1,2,50.000,0,0,0.000,3,3.7,-17
21,21,2021-02-21,NYK,MIN,8:57,1,3,33.333,0,1,0.000,0,0,0.000,2,3.0,-7
22,22,2021-02-23,NYK,GSW,13:06,3,3,100.000,1,1,100.000,0,0,0.000,7,8.4,12
23,23,2021-02-25,NYK,SAC,17:11,1,3,33.333,0,1,0.000,1,2,50.000,3,0.6,10
24,24,2021-02-27,NYK,IND,6:00,0,1,0.000,0,0,0.000,2,2,100.000,2,1.2,3
25,25,2021-02-28,NYK,DET,18:38,2,5,40.000,0,1,0.000,0,0,0.000,4,2.0,4
26,26,2021-03-02,NYK,SAS,26:17,3,7,42.857,1,3,33.333,0,0,0.000,7,5.6,-19
27,27,2021-03-04,NYK,DET,11:39,2,2,100.000,0,0,0.000,0,0,0.000,4,2.6,1
28,28,2021-03-11,NYK,MIL,19:26,4,5,80.000,1,1,100.000,1,1,100.000,10,7.0,-14
29,29,2021-03-13,NYK,OKC,8:53,2,3,66.667,0,0,0.000,0,0,0.000,4,4.0,3
30,30,2021-03-15,NYK,BKN,3:43,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.1,-12
31,31,2021-03-16,NYK,PHI,7:25,0,1,0.000,0,0,0.000,0,0,0.000,0,-0.7,-4
32,32,2021-03-18,NYK,ORL,8:22,0,3,0.000,0,0,0.000,0,0,0.000,0,-2.1,-8
33,33,2021-03-21,NYK,PHI,6:51,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,-7
34,34,2021-03-23,NYK,WAS,8:20,0,2,0.000,0,1,0.000,0,0,0.000,0,-1.9,-3
35,35,2021-03-25,NYK,WAS,11:08,0,0,0.000,0,0,0.000,0,0,0.000,0,3.3,4
36,36,2021-03-27,NYK,MIL,7:09,3,4,75.000,0,1,0.000,0,0,0.000,6,4.4,-4
37,37,2021-03-29,NYK,MIA,12:07,1,4,25.000,0,2,0.000,1,2,50.000,3,1.7,6
38,38,2021-03-31,NYK,MIN,8:45,1,2,50.000,1,2,50.000,0,0,0.000,3,3.0,4
