Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2015-10-29,IND,MEM,17:58,4,6,66.667,0,0,0.000,0,2,0.000,8,5.3,3
2,2,2015-10-31,IND,UTA,22:41,4,8,50.000,0,0,0.000,2,2,100.000,10,6.9,-5
3,3,2015-11-03,IND,DET,15:29,3,4,75.000,0,0,0.000,0,0,0.000,6,7.5,2
4,4,2015-11-04,IND,BOS,18:29,2,6,33.333,0,0,0.000,3,4,75.000,7,6.6,0
5,5,2015-11-06,IND,MIA,12:45,1,4,25.000,0,0,0.000,0,0,0.000,2,-2.0,-22
6,6,2015-11-08,IND,CLE,18:17,3,4,75.000,0,0,0.000,0,0,0.000,6,4.6,-7
7,7,2015-11-09,IND,ORL,19:48,4,6,66.667,0,0,0.000,2,2,100.000,10,5.8,4
8,8,2015-11-11,IND,BOS,1:19,0,0,0.000,0,0,0.000,0,0,0.000,0,0.0,1
9,9,2015-12-30,IND,CHI,21:30,2,8,25.000,0,0,0.000,4,6,66.667,8,5.5,-5
10,10,2015-12-31,IND,MIL,17:08,2,6,33.333,0,0,0.000,4,6,66.667,8,5.5,-3
11,11,2016-01-02,IND,DET,10:19,1,5,20.000,0,0,0.000,2,2,100.000,4,2.1,3
12,12,2016-01-04,IND,MIA,6:46,0,2,0.000,0,0,0.000,0,0,0.000,0,-0.5,2
13,13,2016-01-06,IND,ORL,12:31,3,3,100.000,0,0,0.000,0,0,0.000,6,6.3,-2
14,14,2016-01-08,IND,NOP,10:40,2,3,66.667,0,0,0.000,1,2,50.000,5,5.6,-8
15,15,2016-01-10,IND,HOU,12:47,2,3,66.667,0,0,0.000,0,0,0.000,4,4.7,-2
16,16,2016-01-12,IND,PHX,2:27,2,2,100.000,0,0,0.000,0,0,0.000,4,3.0,0
17,17,2016-01-13,IND,BOS,10:22,3,5,60.000,0,0,0.000,3,5,60.000,9,7.0,1
18,18,2016-01-15,IND,WAS,18:15,4,8,50.000,0,0,0.000,2,2,100.000,10,6.6,5
19,19,2016-01-17,IND,DEN,28:45,11,13,84.615,0,0,0.000,3,6,50.000,25,24.0,-11
20,20,2016-01-19,IND,PHX,30:50,7,11,63.636,0,0,0.000,1,1,100.000,15,11.9,8
21,21,2016-01-22,IND,GSW,27:40,12,17,70.588,0,1,0.000,7,9,77.778,31,26.9,1
22,22,2016-01-23,IND,SAC,31:45,5,13,38.462,0,1,0.000,1,2,50.000,11,7.8,-11
23,23,2016-01-26,IND,LAC,18:08,7,11,63.636,0,0,0.000,2,4,50.000,16,11.0,-6
24,24,2016-01-28,IND,ATL,26:28,9,17,52.941,0,0,0.000,2,3,66.667,20,11.3,10
25,25,2016-01-30,IND,DEN,40:10,3,11,27.273,0,0,0.000,2,5,40.000,8,6.1,-2
26,26,2016-02-01,IND,CLE,36:30,7,16,43.750,0,0,0.000,0,0,0.000,14,12.8,-3
27,27,2016-02-03,IND,BKN,30:36,4,11,36.364,0,0,0.000,1,2,50.000,9,4.3,-1
28,28,2016-02-05,IND,ATL,22:57,6,11,54.545,0,0,0.000,0,0,0.000,12,9.5,-3
29,29,2016-02-06,IND,DET,31:59,8,13,61.538,0,0,0.000,0,0,0.000,16,12.3,4
30,30,2016-02-08,IND,LAL,29:52,6,8,75.000,0,0,0.000,2,4,50.000,14,10.4,18
31,31,2016-02-10,IND,CHA,23:00,4,11,36.364,0,0,0.000,2,2,100.000,10,5.2,-18
32,32,2016-02-19,IND,OKC,35:34,7,12,58.333,1,1,100.000,1,3,33.333,16,13.2,3
33,33,2016-02-21,IND,ORL,30:42,5,9,55.556,0,1,0.000,2,2,100.000,12,10.3,3
34,34,2016-02-22,IND,MIA,30:32,8,13,61.538,0,0,0.000,0,0,0.000,16,12.1,-2
35,35,2016-02-24,IND,NYK,29:43,10,20,50.000,0,1,0.000,4,5,80.000,24,14.6,12
36,36,2016-02-26,IND,CHA,28:05,7,13,53.846,0,0,0.000,1,1,100.000,15,5.3,-5
37,37,2016-02-28,IND,POR,28:25,4,12,33.333,0,0,0.000,0,0,0.000,8,5.3,-9
38,38,2016-02-29,IND,CLE,29:24,4,8,50.000,0,0,0.000,0,0,0.000,8,5.7,0
39,39,2016-03-02,IND,MIL,31:04,4,10,40.000,1,1,100.000,3,3,100.000,12,7.5,-7
