Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-
1,1,2021-10-20,ORL,SAS,32:16,6,9,66.667,0,2,0.000,0,0,0.000,12,13.1,-4
2,2,2021-10-22,ORL,NYK,33:48,6,12,50.000,4,5,80.000,0,0,0.000,16,8.2,-8
3,3,2021-10-24,ORL,NYK,38:38,4,11,36.364,1,6,16.667,1,2,50.000,10,7.2,10
4,4,2021-10-25,ORL,MIA,26:55,6,13,46.154,2,7,28.571,1,2,50.000,15,12.2,-5
5,5,2021-10-27,ORL,CHA,32:15,5,7,71.429,3,4,75.000,2,2,100.000,15,12.6,6
6,6,2021-10-29,ORL,TOR,33:41,4,12,33.333,1,2,50.000,1,1,100.000,10,4.4,1
7,7,2021-10-30,ORL,DET,28:25,8,15,53.333,3,6,50.000,0,0,0.000,19,14.0,-6
8,8,2021-11-01,ORL,MIN,30:36,10,18,55.556,5,9,55.556,3,5,60.000,28,24.7,14
9,9,2021-11-03,ORL,BOS,31:35,4,10,40.000,1,7,14.286,0,0,0.000,9,3.9,-15
10,10,2021-11-05,ORL,SAS,29:23,3,11,27.273,1,5,20.000,0,0,0.000,7,4.5,-7
11,11,2021-11-07,ORL,UTA,31:51,4,10,40.000,0,1,0.000,2,2,100.000,10,8.4,4
12,12,2021-11-10,ORL,BKN,31:48,4,11,36.364,0,4,0.000,2,2,100.000,10,9.1,-25
13,13,2021-11-13,ORL,WAS,34:52,2,11,18.182,0,1,0.000,4,4,100.000,8,3.2,8
14,14,2021-11-15,ORL,ATL,35:24,7,14,50.000,2,3,66.667,3,5,60.000,19,11.7,-19
15,15,2021-11-17,ORL,NYK,33:54,6,11,54.545,1,2,50.000,3,3,100.000,16,11.7,8
16,16,2021-11-19,ORL,BKN,28:43,5,13,38.462,2,6,33.333,5,6,83.333,17,12.3,-5
17,17,2021-11-20,ORL,MIL,20:42,1,4,25.000,1,2,50.000,0,0,0.000,3,1.6,-20
18,18,2021-11-22,ORL,MIL,23:42,0,9,0.000,0,3,0.000,0,0,0.000,0,-5.0,-38
19,19,2021-11-24,ORL,CHA,32:36,7,12,58.333,2,2,100.000,0,0,0.000,16,15.3,2
20,20,2021-11-26,ORL,CHI,29:25,6,14,42.857,0,3,0.000,3,4,75.000,15,9.8,-4
21,21,2021-11-27,ORL,CLE,34:17,4,13,30.769,1,3,33.333,3,4,75.000,12,11.4,1
22,22,2021-11-29,ORL,PHI,38:17,11,24,45.833,1,5,20.000,4,6,66.667,27,17.7,4
23,23,2021-12-01,ORL,DEN,32:59,6,9,66.667,1,1,100.000,2,2,100.000,15,15.4,8
24,24,2021-12-03,ORL,HOU,33:28,6,14,42.857,2,4,50.000,3,3,100.000,17,13.4,-1
25,25,2021-12-06,ORL,GSW,30:30,7,13,53.846,1,3,33.333,0,0,0.000,15,17.3,-16
26,26,2021-12-08,ORL,SAC,32:54,5,10,50.000,2,2,100.000,7,7,100.000,19,17.8,-6
27,27,2021-12-11,ORL,LAC,33:31,8,10,80.000,2,2,100.000,2,3,66.667,20,16.7,3
28,28,2021-12-12,ORL,LAL,39:11,8,18,44.444,2,5,40.000,2,4,50.000,20,8.1,-15
29,29,2021-12-15,ORL,ATL,34:19,5,14,35.714,0,3,0.000,0,0,0.000,10,3.6,-17
30,30,2021-12-17,ORL,MIA,36:05,11,23,47.826,0,3,0.000,5,6,83.333,27,20.3,-3
31,31,2021-12-18,ORL,BKN,28:29,4,14,28.571,0,2,0.000,6,6,100.000,14,11.5,8
32,32,2021-12-22,ORL,ATL,36:07,10,24,41.667,1,6,16.667,4,5,80.000,25,13.7,1
33,33,2021-12-23,ORL,NOP,34:16,7,16,43.750,1,4,25.000,5,6,83.333,20,13.4,-2
34,34,2021-12-26,ORL,MIA,31:36,4,11,36.364,1,1,100.000,4,5,80.000,13,6.8,-7
35,35,2021-12-28,ORL,MIL,38:17,12,20,60.000,4,8,50.000,10,10,100.000,38,32.3,4
36,36,2021-12-30,ORL,MIL,34:04,6,12,50.000,2,3,66.667,6,6,100.000,20,12.2,-5
37,37,2022-01-02,ORL,BOS,34:19,5,14,35.714,0,1,0.000,4,6,66.667,14,6.0,-16
38,38,2022-01-03,ORL,CHI,28:20,8,13,61.538,1,2,50.000,5,5,100.000,22,18.9,8
39,39,2022-01-05,ORL,PHI,29:19,6,11,54.545,1,3,33.333,2,2,100.000,15,9.2,0
40,40,2022-01-08,ORL,DET,27:42,4,10,40.000,1,3,33.333,0,0,0.000,9,4.2,-8
41,41,2022-01-09,ORL,WAS,28:45,6,13,46.154,0,2,0.000,4,4,100.000,16,11.2,-19
42,42,2022-01-12,ORL,WAS,32:27,6,16,37.500,0,2,0.000,2,2,100.000,14,15.8,-12
43,43,2022-01-14,ORL,CHA,36:53,8,11,72.727,1,3,33.333,2,2,100.000,19,18.2,24
44,44,2022-01-15,ORL,DAL,27:03,2,6,33.333,0,1,0.000,2,4,50.000,6,1.4,-13
45,45,2022-01-17,ORL,POR,31:44,7,18,38.889,0,5,0.000,0,0,0.000,14,4.7,-12
