Rk,G,Date,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,PTS,GmSc,+/-,Season
1,1,2022-10-18,LAL,GSW,30:41,7,12,58.333,1,3,33.333,4,5,80.000,19,15.4,-6,2022-23
2,2,2022-10-20,LAL,LAC,27:22,0,11,0.000,0,6,0.000,2,2,100.000,2,0.8,-6,2022-23
3,3,2022-10-23,LAL,POR,27:31,4,15,26.667,0,3,0.000,2,3,66.667,10,6.3,-4,2022-23
4,4,2022-10-28,LAL,MIN,32:39,6,17,35.294,1,4,25.000,5,10,50.000,18,6.5,0,2022-23
5,5,2022-10-30,LAL,DEN,31:38,6,12,50.000,2,4,50.000,4,4,100.000,18,17.4,18,2022-23
6,6,2022-11-02,LAL,NOP,25:15,6,10,60.000,1,4,25.000,0,0,0.000,13,11.1,4,2022-23
7,7,2022-11-04,LAL,UTA,29:25,9,14,64.286,3,5,60.000,5,5,100.000,26,22.5,-1,2022-23
8,8,2022-11-06,LAL,CLE,31:49,6,13,46.154,3,5,60.000,4,5,80.000,19,14.7,-8,2022-23
9,9,2022-11-07,LAL,UTA,24:11,8,14,57.143,2,3,66.667,4,4,100.000,22,17.9,-23,2022-23
10,10,2022-11-09,LAL,LAC,29:34,6,15,40.000,0,3,0.000,2,2,100.000,14,11.4,-12,2022-23
11,11,2022-11-11,LAL,SAC,34:03,6,17,35.294,4,7,57.143,5,6,83.333,21,14.2,-13,2022-23
12,12,2022-11-13,LAL,BKN,27:48,4,15,26.667,1,6,16.667,5,6,83.333,14,10.8,-6,2022-23
13,13,2022-11-18,LAL,DET,30:08,4,13,30.769,0,2,0.000,2,3,66.667,10,7.6,11,2022-23
14,14,2022-11-20,LAL,SAS,21:33,4,9,44.444,2,5,40.000,0,0,0.000,10,10.7,14,2022-23
15,15,2022-11-22,LAL,PHX,31:22,8,20,40.000,2,6,33.333,3,7,42.857,21,13.0,-1,2022-23
16,16,2022-11-25,LAL,SAS,19:25,1,7,14.286,0,3,0.000,1,2,50.000,3,3.1,-2,2022-23
17,17,2022-11-26,LAL,SAS,26:30,4,12,33.333,0,3,0.000,3,6,50.000,11,3.2,-2,2022-23
18,18,2022-11-28,LAL,IND,27:19,10,18,55.556,2,4,50.000,2,3,66.667,24,15.7,1,2022-23
19,19,2022-11-30,LAL,POR,22:54,4,14,28.571,2,6,33.333,0,2,0.000,10,6.3,12,2022-23
20,20,2022-12-02,LAL,MIL,28:34,6,11,54.545,0,2,0.000,3,7,42.857,15,17.1,4,2022-23
21,21,2022-12-04,LAL,WAS,28:38,3,8,37.500,0,1,0.000,0,0,0.000,6,7.4,0,2022-23
22,22,2022-12-06,LAL,CLE,26:03,6,13,46.154,0,1,0.000,4,5,80.000,16,8.9,-13,2022-23
23,23,2022-12-07,LAL,TOR,28:06,5,13,38.462,1,4,25.000,5,7,71.429,16,10.0,-18,2022-23
24,24,2022-12-09,LAL,PHI,36:15,4,14,28.571,1,5,20.000,3,4,75.000,12,13.6,-7,2022-23
25,25,2022-12-11,LAL,DET,21:23,5,9,55.556,0,1,0.000,1,2,50.000,11,10.4,-12,2022-23
26,26,2022-12-13,LAL,BOS,34:51,7,19,36.842,1,6,16.667,5,6,83.333,20,17.4,-1,2022-23
27,27,2022-12-16,LAL,DEN,29:45,5,13,38.462,0,3,0.000,5,8,62.500,15,16.4,25,2022-23
28,28,2022-12-18,LAL,WAS,22:51,4,12,33.333,0,2,0.000,1,4,25.000,9,8.8,-5,2022-23
29,29,2022-12-23,LAL,CHA,24:35,6,12,50.000,2,4,50.000,3,4,75.000,17,15.0,8,2022-23
30,30,2022-12-25,LAL,DAL,24:13,7,16,43.750,2,5,40.000,1,2,50.000,17,11.3,-30,2022-23
31,31,2022-12-27,LAL,ORL,29:21,6,11,54.545,1,3,33.333,2,2,100.000,15,17.5,18,2022-23
32,32,2022-12-28,LAL,MIA,32:22,6,16,37.500,2,7,28.571,1,3,33.333,15,9.9,-9,2022-23
33,33,2022-12-30,LAL,ATL,29:20,6,12,50.000,0,3,0.000,2,2,100.000,14,14.2,11,2022-23
34,34,2023-01-02,LAL,CHA,11:22,1,8,12.500,0,3,0.000,0,0,0.000,2,-4.0,8,2022-23
35,35,2023-01-04,LAL,MIA,35:55,8,18,44.444,2,6,33.333,3,6,50.000,21,14.3,12,2022-23
36,36,2023-01-06,LAL,ATL,30:39,7,14,50.000,2,4,50.000,2,2,100.000,18,20.1,15,2022-23
37,37,2023-01-07,LAL,SAC,33:31,7,14,50.000,2,5,40.000,7,10,70.000,23,22.7,15,2022-23
38,38,2023-01-09,LAL,DEN,30:51,10,21,47.619,1,4,25.000,4,7,57.143,25,13.7,-9,2022-23
39,39,2023-01-12,LAL,DAL,40:03,10,23,43.478,3,6,50.000,5,8,62.500,28,18.5,3,2022-23
40,40,2023-01-15,LAL,PHI,33:59,7,14,50.000,2,5,40.000,4,5,80.000,20,21.4,3,2022-23
41,41,2023-01-16,LAL,HOU,32:11,9,16,56.250,0,3,0.000,6,8,75.000,24,20.9,17,2022-23
42,42,2023-01-18,LAL,SAC,31:53,8,17,47.059,2,5,40.000,1,4,25.000,19,13.3,1,2022-23
43,43,2023-01-20,LAL,MEM,30:49,10,18,55.556,2,4,50.000,7,11,63.636,29,21.2,3,2022-23
44,44,2023-01-22,LAL,POR,25:52,3,13,23.077,0,4,0.000,0,0,0.000,6,0.6,-13,2022-23
45,45,2023-01-24,LAL,LAC,24:43,4,13,30.769,1,4,25.000,8,13,61.538,17,11.3,-11,2022-23
46,46,2023-01-25,LAL,SAS,27:53,7,15,46.667,0,3,0.000,0,0,0.000,14,6.1,-10,2022-23
47,47,2023-01-28,LAL,BOS,25:19,4,14,28.571,0,3,0.000,4,5,80.000,12,4.7,-10,2022-23
48,48,2023-01-30,LAL,BKN,29:40,5,15,33.333,3,6,50.000,4,7,57.143,17,12.4,-10,2022-23
49,49,2023-01-31,LAL,NYK,36:13,7,13,53.846,1,4,25.000,2,5,40.000,17,18.5,-5,2022-23
50,50,2023-02-02,LAL,IND,32:09,2,16,12.500,0,5,0.000,6,8,75.000,10,2.3,0,2022-23
51,51,2023-02-04,LAL,NOP,22:54,6,11,54.545,2,3,66.667,1,2,50.000,15,11.7,-4,2022-23
52,52,2023-02-07,LAL,OKC,28:00,10,19,52.632,4,7,57.143,3,6,50.000,27,19.6,4,2022-23
53,53,2023-02-24,LAC,SAC,39:27,7,13,53.846,1,4,25.000,2,2,100.000,17,14.0,3,2022-23
54,54,2023-02-26,LAC,DEN,25:21,6,10,60.000,1,2,50.000,4,4,100.000,17,18.5,-12,2022-23
55,55,2023-02-28,LAC,MIN,27:46,5,11,45.455,2,3,66.667,2,2,100.000,14,14.4,-5,2022-23
56,56,2023-03-02,LAC,GSW,27:41,3,12,25.000,0,5,0.000,2,2,100.000,8,-0.2,-10,2022-23
57,57,2023-03-03,LAC,SAC,35:30,12,16,75.000,1,2,50.000,2,5,40.000,27,24.0,10,2022-23
58,58,2023-03-05,LAC,MEM,34:07,4,9,44.444,0,2,0.000,1,1,100.000,9,5.8,9,2022-23
59,59,2023-03-08,LAC,TOR,23:16,3,6,50.000,1,3,33.333,0,0,0.000,7,7.8,12,2022-23
60,60,2023-03-11,LAC,NYK,22:57,3,8,37.500,0,2,0.000,1,3,33.333,7,2.6,1,2022-23
61,61,2023-03-15,LAC,GSW,27:05,6,16,37.500,2,5,40.000,1,2,50.000,15,16.6,10,2022-23
62,62,2023-03-18,LAC,ORL,37:05,5,14,35.714,0,3,0.000,4,7,57.143,14,7.8,-15,2022-23
63,63,2023-03-19,LAC,POR,33:36,3,12,25.000,1,2,50.000,2,2,100.000,9,9.6,13,2022-23
64,64,2023-03-21,LAC,OKC,26:10,6,10,60.000,0,3,0.000,3,5,60.000,15,13.7,9,2022-23
65,65,2023-03-23,LAC,OKC,29:37,8,13,61.538,2,4,50.000,6,8,75.000,24,19.1,-1,2022-23
66,66,2023-03-25,LAC,NOP,25:51,4,12,33.333,1,5,20.000,5,5,100.000,14,6.8,-17,2022-23
67,67,2023-03-27,LAC,CHI,32:44,6,11,54.545,0,3,0.000,0,3,0.000,12,14.4,16,2022-23
68,68,2023-03-29,LAC,MEM,35:30,13,18,72.222,5,5,100.000,5,9,55.556,36,34.6,3,2022-23
69,69,2023-03-31,LAC,MEM,25:48,2,8,25.000,0,3,0.000,0,0,0.000,4,4.8,0,2022-23
70,70,2023-04-01,LAC,NOP,39:39,9,18,50.000,3,6,50.000,3,5,60.000,24,20.8,-7,2022-23
71,71,2023-04-05,LAC,LAL,20:55,6,12,50.000,2,4,50.000,0,1,0.000,14,10.0,-1,2022-23
72,72,2023-04-08,LAC,POR,24:39,9,14,64.286,2,3,66.667,0,0,0.000,20,18.4,7,2022-23
73,73,2023-04-09,LAC,PHX,39:47,8,19,42.105,2,4,50.000,7,10,70.000,25,23.1,8,2022-23
1,1,2023-10-25,LAC,POR,28:48,5,8,62.500,1,2,50.000,0,0,0.000,11,14.6,30,2023-24
2,2,2023-10-27,LAC,UTA,36:49,2,4,50.000,0,1,0.000,0,0,0.000,4,3.0,-4,2023-24
3,3,2023-10-29,LAC,SAS,26:40,8,13,61.538,3,5,60.000,0,3,0.000,19,15.3,30,2023-24
4,4,2023-10-31,LAC,ORL,32:53,8,16,50.000,0,4,0.000,2,2,100.000,18,17.8,16,2023-24
5,5,2023-11-01,LAC,LAL,43:40,9,21,42.857,3,6,50.000,3,5,60.000,24,18.6,-8,2023-24
6,6,2023-11-06,LAC,NYK,31:14,8,13,61.538,1,3,33.333,0,0,0.000,17,10.3,-7,2023-24
7,7,2023-11-08,LAC,BKN,31:16,6,18,33.333,1,5,20.000,0,0,0.000,13,10.3,-5,2023-24
8,8,2023-11-10,LAC,DAL,20:27,5,11,45.455,0,1,0.000,4,5,80.000,14,12.2,-26,2023-24
9,9,2023-11-12,LAC,MEM,30:41,5,13,38.462,1,4,25.000,1,2,50.000,12,8.9,10,2023-24
10,10,2023-11-14,LAC,DEN,24:24,4,12,33.333,0,1,0.000,0,0,0.000,8,3.3,1,2023-24
11,11,2023-11-17,LAC,HOU,17:23,2,9,22.222,2,6,33.333,2,4,50.000,8,1.6,-9,2023-24
12,12,2023-11-20,LAC,SAS,25:28,4,11,36.364,0,1,0.000,2,4,50.000,10,10.5,7,2023-24
13,13,2023-11-22,LAC,SAS,27:01,3,8,37.500,0,1,0.000,2,2,100.000,8,7.1,3,2023-24
14,14,2023-11-24,LAC,NOP,13:53,1,8,12.500,0,2,0.000,1,2,50.000,3,0.3,-8,2023-24
15,15,2023-11-25,LAC,DAL,25:11,6,9,66.667,0,1,0.000,2,3,66.667,14,15.8,1,2023-24
16,16,2023-11-27,LAC,DEN,26:45,5,9,55.556,0,0,0.000,4,6,66.667,14,11.8,-11,2023-24
17,17,2023-11-29,LAC,SAC,19:10,2,6,33.333,0,1,0.000,5,6,83.333,9,11.9,-3,2023-24
18,18,2023-11-30,LAC,GSW,26:00,5,13,38.462,0,3,0.000,4,6,66.667,14,15.6,-10,2023-24
19,19,2023-12-02,LAC,GSW,18:52,2,5,40.000,2,4,50.000,2,4,50.000,8,8.4,-11,2023-24
20,20,2023-12-06,LAC,DEN,15:52,4,8,50.000,0,2,0.000,1,2,50.000,9,9.3,3,2023-24
21,21,2023-12-08,LAC,UTA,16:49,2,7,28.571,1,2,50.000,0,0,0.000,5,2.4,-5,2023-24
22,22,2023-12-11,LAC,POR,16:11,5,7,71.429,1,2,50.000,1,2,50.000,12,10.2,0,2023-24
23,23,2023-12-12,LAC,SAC,20:01,4,8,50.000,0,1,0.000,0,0,0.000,8,5.0,12,2023-24
24,24,2023-12-14,LAC,GSW,19:19,4,7,57.143,1,2,50.000,0,0,0.000,9,7.0,7,2023-24
25,25,2023-12-16,LAC,NYK,15:06,4,7,57.143,0,1,0.000,2,4,50.000,10,12.3,2,2023-24
26,26,2023-12-18,LAC,IND,17:03,4,6,66.667,0,0,0.000,2,4,50.000,10,12.4,-2,2023-24
27,27,2023-12-20,LAC,DAL,23:16,5,9,55.556,0,2,0.000,0,0,0.000,10,8.4,15,2023-24
28,28,2023-12-21,LAC,OKC,29:42,7,12,58.333,0,2,0.000,1,1,100.000,15,11.5,-5,2023-24
29,29,2023-12-23,LAC,BOS,20:35,4,11,36.364,0,2,0.000,4,4,100.000,12,9.8,0,2023-24
30,30,2023-12-26,LAC,CHA,27:30,5,8,62.500,2,2,100.000,2,3,66.667,14,17.8,4,2023-24
31,31,2023-12-29,LAC,MEM,20:16,6,9,66.667,2,4,50.000,0,0,0.000,14,12.1,2,2023-24
32,32,2024-01-01,LAC,MIA,17:53,4,10,40.000,0,1,0.000,0,0,0.000,8,6.7,-4,2023-24
33,33,2024-01-03,LAC,PHX,18:27,2,7,28.571,0,2,0.000,2,2,100.000,6,5.2,5,2023-24
34,34,2024-01-05,LAC,NOP,21:52,3,6,50.000,1,3,33.333,1,2,50.000,8,9.0,7,2023-24
